NAME,B01002B_001E,state,county,year
"Washington County, Mississippi",33.1,28,151,2018
"Perry County, Mississippi",35.7,28,111,2018
"Choctaw County, Mississippi",36.0,28,019,2018
"Itawamba County, Mississippi",22.6,28,057,2018
"Carroll County, Mississippi",41.8,28,015,2018
"Grenada County, Mississippi",34.6,28,043,2018
"Jefferson County, Mississippi",35.7,28,063,2018
"Greene County, Mississippi",37.3,28,041,2018
"Marshall County, Mississippi",35.5,28,093,2018
"Quitman County, Mississippi",35.7,28,119,2018
"Bolivar County, Mississippi",32.8,28,011,2018
"Lamar County, Mississippi",28.7,28,073,2018
"Lee County, Mississippi",30.5,28,081,2018
"Pike County, Mississippi",33.2,28,113,2018
"Tallahatchie County, Mississippi",31.2,28,135,2018
"Smith County, Mississippi",33.7,28,129,2018
"Stone County, Mississippi",35.1,28,131,2018
"Warren County, Mississippi",33.9,28,149,2018
"Clarke County, Mississippi",37.2,28,023,2018
"Kemper County, Mississippi",37.0,28,069,2018
"Montgomery County, Mississippi",36.6,28,097,2018
"Oktibbeha County, Mississippi",26.6,28,105,2018
"Pearl River County, Mississippi",30.9,28,109,2018
"Leake County, Mississippi",32.4,28,079,2018
"Noxubee County, Mississippi",35.0,28,103,2018
"Neshoba County, Mississippi",30.8,28,099,2018
"Rankin County, Mississippi",33.8,28,121,2018
"Tate County, Mississippi",33.4,28,137,2018
"Lawrence County, Mississippi",36.3,28,077,2018
"Panola County, Mississippi",31.9,28,107,2018
"Yalobusha County, Mississippi",36.2,28,161,2018
"Chickasaw County, Mississippi",34.3,28,017,2018
"Copiah County, Mississippi",33.1,28,029,2018
"George County, Mississippi",29.5,28,039,2018
"Hinds County, Mississippi",31.6,28,049,2018
"Newton County, Mississippi",32.1,28,101,2018
"Union County, Mississippi",38.8,28,145,2018
"Sharkey County, Mississippi",37.7,28,125,2018
"Tippah County, Mississippi",35.6,28,139,2018
"Forrest County, Mississippi",28.2,28,035,2018
"Hancock County, Mississippi",38.3,28,045,2018
"Lafayette County, Mississippi",29.5,28,071,2018
"Issaquena County, Mississippi",36.9,28,055,2018
"Lowndes County, Mississippi",34.0,28,087,2018
"Leflore County, Mississippi",29.6,28,083,2018
"Wilkinson County, Mississippi",35.4,28,157,2018
"Harrison County, Mississippi",30.8,28,047,2018
"Jefferson Davis County, Mississippi",39.2,28,065,2018
"Lincoln County, Mississippi",35.5,28,085,2018
"Scott County, Mississippi",33.7,28,123,2018
"Winston County, Mississippi",35.4,28,159,2018
"Yazoo County, Mississippi",33.1,28,163,2018
"Benton County, Mississippi",37.0,28,009,2018
"Franklin County, Mississippi",34.4,28,037,2018
"Jasper County, Mississippi",37.7,28,061,2018
"Jones County, Mississippi",30.9,28,067,2018
"Monroe County, Mississippi",38.6,28,095,2018
"Sunflower County, Mississippi",32.5,28,133,2018
"Webster County, Mississippi",36.5,28,155,2018
"Adams County, Mississippi",36.9,28,001,2018
"Clay County, Mississippi",34.5,28,025,2018
"Covington County, Mississippi",32.1,28,031,2018
"Humphreys County, Mississippi",33.8,28,053,2018
"Saline County, Missouri",30.2,29,195,2018
"Madison County, Missouri",50.1,29,123,2018
"Wright County, Missouri",64.2,29,229,2018
"Vernon County, Missouri",21.0,29,217,2018
"Nodaway County, Missouri",21.9,29,147,2018
"Chariton County, Missouri",35.9,29,041,2018
"Grundy County, Missouri",26.4,29,079,2018
"Morgan County, Missouri",34.6,29,141,2018
"Wayne County, Missouri",16.2,29,223,2018
"Bollinger County, Missouri",35.5,29,017,2018
"Cape Girardeau County, Missouri",25.0,29,031,2018
"Shelby County, Missouri",16.8,29,205,2018
"Webster County, Missouri",32.1,29,225,2018
"Atchison County, Missouri",56.3,29,005,2018
"Bates County, Missouri",35.3,29,013,2018
