NAME,B23025_002E,state,county,year
"Stone County, Missouri",12958.0,29,209,2018
"Barry County, Missouri",15311.0,29,009,2018
"Boone County, Missouri",97729.0,29,019,2018
"Cedar County, Missouri",5763.0,29,039,2018
"Crawford County, Missouri",10501.0,29,055,2018
"Iron County, Missouri",4186.0,29,093,2018
"Livingston County, Missouri",6771.0,29,117,2018
"Moniteau County, Missouri",7004.0,29,135,2018
"Oregon County, Missouri",4220.0,29,149,2018
"Dunklin County, Missouri",12287.0,29,069,2018
"Pettis County, Missouri",19882.0,29,159,2018
"Ste. Genevieve County, Missouri",9156.0,29,186,2018
"Randolph County, Missouri",10895.0,29,175,2018
"Franklin County, Missouri",52576.0,29,071,2018
"Howard County, Missouri",4933.0,29,089,2018
"Jackson County, Missouri",362349.0,29,095,2018
"Miller County, Missouri",11514.0,29,131,2018
"Pulaski County, Missouri",29680.0,29,169,2018
"Putnam County, Missouri",2083.0,29,171,2018
"Taney County, Missouri",26131.0,29,213,2018
"Texas County, Missouri",9656.0,29,215,2018
"Buchanan County, Missouri",44273.0,29,021,2018
"Caldwell County, Missouri",3979.0,29,025,2018
"Callaway County, Missouri",21151.0,29,027,2018
"Cass County, Missouri",52962.0,29,037,2018
"Clinton County, Missouri",9960.0,29,049,2018
"Cooper County, Missouri",8061.0,29,053,2018
"Dallas County, Missouri",6558.0,29,059,2018
"Gentry County, Missouri",3142.0,29,075,2018
"Hickory County, Missouri",3487.0,29,085,2018
"Lincoln County, Missouri",27508.0,29,113,2018
"Mississippi County, Missouri",5028.0,29,133,2018
"Monroe County, Missouri",4044.0,29,137,2018
"Newton County, Missouri",27985.0,29,145,2018
"Ozark County, Missouri",3380.0,29,153,2018
"Pike County, Missouri",7897.0,29,163,2018
"St. Charles County, Missouri",215880.0,29,183,2018
"Custer County, Montana",6611.0,30,017,2018
"Hill County, Montana",7657.0,30,041,2018
"Powder River County, Montana",978.0,30,075,2018
"Park County, Montana",8588.0,30,067,2018
"Roosevelt County, Montana",4412.0,30,085,2018
"Blaine County, Montana",3039.0,30,005,2018
"Liberty County, Montana",1132.0,30,051,2018
"Richland County, Montana",6241.0,30,083,2018
"Teton County, Montana",2723.0,30,099,2018
"Toole County, Montana",2200.0,30,101,2018
"Fallon County, Montana",1565.0,30,025,2018
"Daniels County, Montana",890.0,30,019,2018
"Judith Basin County, Montana",1017.0,30,045,2018
"Silver Bow County, Montana",17269.0,30,093,2018
"Deer Lodge County, Montana",3782.0,30,023,2018
"Jefferson County, Montana",5710.0,30,043,2018
"McCone County, Montana",785.0,30,055,2018
