NAME,B23025_004E,state,county,year
"Washington County, Mississippi",17133.0,28,151,2018
"Perry County, Mississippi",4591.0,28,111,2018
"Choctaw County, Mississippi",3097.0,28,019,2018
"Itawamba County, Mississippi",9509.0,28,057,2018
"Carroll County, Mississippi",3466.0,28,015,2018
"Grenada County, Mississippi",8341.0,28,043,2018
"Jefferson County, Mississippi",1865.0,28,063,2018
"Greene County, Mississippi",3903.0,28,041,2018
"Marshall County, Mississippi",14243.0,28,093,2018
"Quitman County, Mississippi",2280.0,28,119,2018
"Bolivar County, Mississippi",10794.0,28,011,2018
"Lamar County, Mississippi",27694.0,28,073,2018
"Lee County, Mississippi",38207.0,28,081,2018
"Pike County, Mississippi",13927.0,28,113,2018
"Tallahatchie County, Mississippi",3833.0,28,135,2018
"Smith County, Mississippi",6563.0,28,129,2018
"Stone County, Mississippi",7874.0,28,131,2018
"Warren County, Mississippi",19368.0,28,149,2018
"Clarke County, Mississippi",6337.0,28,023,2018
"Kemper County, Mississippi",3499.0,28,069,2018
"Montgomery County, Mississippi",3886.0,28,097,2018
"Oktibbeha County, Mississippi",20852.0,28,105,2018
"Pearl River County, Mississippi",21599.0,28,109,2018
"Leake County, Mississippi",8521.0,28,079,2018
"Noxubee County, Mississippi",4046.0,28,103,2018
"Neshoba County, Mississippi",12025.0,28,099,2018
"Rankin County, Mississippi",73418.0,28,121,2018
"Tate County, Mississippi",12012.0,28,137,2018
"Lawrence County, Mississippi",4716.0,28,077,2018
"Panola County, Mississippi",12702.0,28,107,2018
"Yalobusha County, Mississippi",5442.0,28,161,2018
"Chickasaw County, Mississippi",6729.0,28,017,2018
"Copiah County, Mississippi",10523.0,28,029,2018
"George County, Mississippi",8266.0,28,039,2018
"Hinds County, Mississippi",105648.0,28,049,2018
"Newton County, Mississippi",8250.0,28,101,2018
"Union County, Mississippi",12120.0,28,145,2018
"Sharkey County, Mississippi",1489.0,28,125,2018
"Tippah County, Mississippi",8853.0,28,139,2018
"Forrest County, Mississippi",32291.0,28,035,2018
"Hancock County, Mississippi",19029.0,28,045,2018
"Lafayette County, Mississippi",24456.0,28,071,2018
"Issaquena County, Mississippi",358.0,28,055,2018
"Lowndes County, Mississippi",24037.0,28,087,2018
"Leflore County, Mississippi",9178.0,28,083,2018
"Wilkinson County, Mississippi",2468.0,28,157,2018
"Harrison County, Mississippi",84189.0,28,047,2018
"Jefferson Davis County, Mississippi",4200.0,28,065,2018
"Lincoln County, Mississippi",12850.0,28,085,2018
"Scott County, Mississippi",11360.0,28,123,2018
"Winston County, Mississippi",7181.0,28,159,2018
"Yazoo County, Mississippi",8109.0,28,163,2018
"Benton County, Mississippi",2917.0,28,009,2018
"Franklin County, Mississippi",2727.0,28,037,2018
"Jasper County, Mississippi",6375.0,28,061,2018
"Jones County, Mississippi",27855.0,28,067,2018
"Monroe County, Mississippi",14371.0,28,095,2018
"Sunflower County, Mississippi",8173.0,28,133,2018
"Webster County, Mississippi",3740.0,28,155,2018
"Adams County, Mississippi",10424.0,28,001,2018
"Clay County, Mississippi",7546.0,28,025,2018
"Covington County, Mississippi",7289.0,28,031,2018
"Humphreys County, Mississippi",2797.0,28,053,2018
"Saline County, Missouri",10523.0,29,195,2018
"Madison County, Missouri",5035.0,29,123,2018
"Wright County, Missouri",6688.0,29,229,2018
"Vernon County, Missouri",9527.0,29,217,2018
"Nodaway County, Missouri",11062.0,29,147,2018
"Chariton County, Missouri",3158.0,29,041,2018
"Grundy County, Missouri",4590.0,29,079,2018
"Morgan County, Missouri",7368.0,29,141,2018
"Wayne County, Missouri",4236.0,29,223,2018
"Bollinger County, Missouri",5059.0,29,017,2018
"Cape Girardeau County, Missouri",37627.0,29,031,2018
"Shelby County, Missouri",2945.0,29,205,2018
"Webster County, Missouri",15534.0,29,225,2018
"Atchison County, Missouri",2649.0,29,005,2018
"Bates County, Missouri",7612.0,29,013,2018
"Benton County, Missouri",6573.0,29,015,2018
"Carter County, Missouri",2433.0,29,035,2018
"Dade County, Missouri",3106.0,29,057,2018
"Linn County, Missouri",5496.0,29,115,2018
"Howell County, Missouri",16617.0,29,091,2018
"Johnson County, Missouri",24266.0,29,101,2018
"Laclede County, Missouri",15006.0,29,105,2018
"Maries County, Missouri",3677.0,29,125,2018
"Phelps County, Missouri",19026.0,29,161,2018
"Platte County, Missouri",52703.0,29,165,2018
"St. Francois County, Missouri",26991.0,29,187,2018
