NAME,B19113H_001E,state,county,year
"Washington County, Mississippi",64383.0,28,151,2018
"Perry County, Mississippi",50881.0,28,111,2018
"Choctaw County, Mississippi",63728.0,28,019,2018
"Itawamba County, Mississippi",51379.0,28,057,2018
"Carroll County, Mississippi",62543.0,28,015,2018
"Grenada County, Mississippi",57727.0,28,043,2018
"Jefferson County, Mississippi",80673.0,28,063,2018
"Greene County, Mississippi",64186.0,28,041,2018
"Marshall County, Mississippi",61813.0,28,093,2018
"Quitman County, Mississippi",44107.0,28,119,2018
"Bolivar County, Mississippi",64076.0,28,011,2018
"Lamar County, Mississippi",82031.0,28,073,2018
"Lee County, Mississippi",69865.0,28,081,2018
"Pike County, Mississippi",57124.0,28,113,2018
"Tallahatchie County, Mississippi",60313.0,28,135,2018
"Smith County, Mississippi",65338.0,28,129,2018
"Stone County, Mississippi",59450.0,28,131,2018
"Warren County, Mississippi",75016.0,28,149,2018
"Clarke County, Mississippi",70197.0,28,023,2018
"Kemper County, Mississippi",51955.0,28,069,2018
"Montgomery County, Mississippi",61523.0,28,097,2018
"Oktibbeha County, Mississippi",87355.0,28,105,2018
"Pearl River County, Mississippi",64149.0,28,109,2018
"Leake County, Mississippi",54409.0,28,079,2018
"Noxubee County, Mississippi",66655.0,28,103,2018
"Neshoba County, Mississippi",54346.0,28,099,2018
"Rankin County, Mississippi",80817.0,28,121,2018
"Tate County, Mississippi",70545.0,28,137,2018
"Lawrence County, Mississippi",63611.0,28,077,2018
"Panola County, Mississippi",59445.0,28,107,2018
"Yalobusha County, Mississippi",55198.0,28,161,2018
"Chickasaw County, Mississippi",61802.0,28,017,2018
"Copiah County, Mississippi",71515.0,28,029,2018
"George County, Mississippi",61735.0,28,039,2018
"Hinds County, Mississippi",87492.0,28,049,2018
"Newton County, Mississippi",58354.0,28,101,2018
"Union County, Mississippi",54385.0,28,145,2018
"Sharkey County, Mississippi",62083.0,28,125,2018
"Tippah County, Mississippi",52402.0,28,139,2018
"Forrest County, Mississippi",67300.0,28,035,2018
"Hancock County, Mississippi",61034.0,28,045,2018
"Lafayette County, Mississippi",87260.0,28,071,2018
"Issaquena County, Mississippi",61538.0,28,055,2018
"Lowndes County, Mississippi",79820.0,28,087,2018
"Leflore County, Mississippi",73977.0,28,083,2018
"Wilkinson County, Mississippi",48527.0,28,157,2018
"Harrison County, Mississippi",62058.0,28,047,2018
"Jefferson Davis County, Mississippi",50389.0,28,065,2018
"Lincoln County, Mississippi",66809.0,28,085,2018
"Scott County, Mississippi",64399.0,28,123,2018
"Winston County, Mississippi",65827.0,28,159,2018
"Yazoo County, Mississippi",68827.0,28,163,2018
"Benton County, Mississippi",52893.0,28,009,2018
"Franklin County, Mississippi",55208.0,28,037,2018
"Jasper County, Mississippi",62776.0,28,061,2018
"Jones County, Mississippi",65403.0,28,067,2018
"Monroe County, Mississippi",59169.0,28,095,2018
"Sunflower County, Mississippi",72629.0,28,133,2018
"Webster County, Mississippi",58304.0,28,155,2018
"Adams County, Mississippi",63504.0,28,001,2018
"Clay County, Mississippi",73208.0,28,025,2018
"Covington County, Mississippi",56384.0,28,031,2018
"Humphreys County, Mississippi",74128.0,28,053,2018
"Saline County, Missouri",58532.0,29,195,2018
"Madison County, Missouri",54152.0,29,123,2018
"Wright County, Missouri",41139.0,29,229,2018
"Vernon County, Missouri",52402.0,29,217,2018
"Nodaway County, Missouri",60854.0,29,147,2018
"Chariton County, Missouri",60994.0,29,041,2018
"Grundy County, Missouri",62269.0,29,079,2018
"Morgan County, Missouri",48213.0,29,141,2018
"Wayne County, Missouri",41458.0,29,223,2018
"Bollinger County, Missouri",52813.0,29,017,2018
"Cape Girardeau County, Missouri",69221.0,29,031,2018
"Shelby County, Missouri",59651.0,29,205,2018
"Webster County, Missouri",55007.0,29,225,2018
"Atchison County, Missouri",63241.0,29,005,2018
"Bates County, Missouri",61697.0,29,013,2018
"Benton County, Missouri",47328.0,29,015,2018
"Carter County, Missouri",56934.0,29,035,2018
"Dade County, Missouri",45522.0,29,057,2018
"Linn County, Missouri",51978.0,29,115,2018
"Howell County, Missouri",44534.0,29,091,2018
"Johnson County, Missouri",68971.0,29,101,2018
"Laclede County, Missouri",54512.0,29,105,2018
"Maries County, Missouri",57536.0,29,125,2018
"Phelps County, Missouri",60273.0,29,161,2018
"Platte County, Missouri",98730.0,29,165,2018
"St. Francois County, Missouri",57318.0,29,187,2018
"Andrew County, Missouri",71636.0,29,003,2018
"Carroll County, Missouri",58653.0,29,033,2018
"Daviess County, Missouri",59567.0,29,061,2018
"Knox County, Missouri",54323.0,29,103,2018
"Marion County, Missouri",59131.0,29,127,2018
"Osage County, Missouri",70708.0,29,151,2018
"Ripley County, Missouri",42044.0,29,181,2018
"Warren County, Missouri",70252.0,29,219,2018
"Audrain County, Missouri",54881.0,29,007,2018
"Christian County, Missouri",67245.0,29,043,2018
"Greene County, Missouri",61634.0,29,077,2018
"Harrison County, Missouri",54640.0,29,081,2018
"St. Clair County, Missouri",51040.0,29,185,2018
"Adair County, Missouri",62946.0,29,001,2018
"Scotland County, Missouri",62031.0,29,199,2018
"Sullivan County, Missouri",52591.0,29,211,2018
"Clark County, Missouri",60417.0,29,045,2018
"Jefferson County, Missouri",72194.0,29,099,2018
"Lewis County, Missouri",58145.0,29,111,2018
"New Madrid County, Missouri",50615.0,29,143,2018
"Perry County, Missouri",66794.0,29,157,2018
"Ralls County, Missouri",65247.0,29,173,2018
"Ray County, Missouri",73338.0,29,177,2018
"St. Louis County, Missouri",100955.0,29,189,2018
"Stone County, Missouri",56700.0,29,209,2018
"Barry County, Missouri",52039.0,29,009,2018
"Boone County, Missouri",82584.0,29,019,2018
"Cedar County, Missouri",48341.0,29,039,2018
"Crawford County, Missouri",50221.0,29,055,2018
"Iron County, Missouri",49425.0,29,093,2018
"Livingston County, Missouri",60543.0,29,117,2018
"Moniteau County, Missouri",65865.0,29,135,2018
"Oregon County, Missouri",42598.0,29,149,2018
"Dunklin County, Missouri",46865.0,29,069,2018
"Pettis County, Missouri",55651.0,29,159,2018
"Ste. Genevieve County, Missouri",69250.0,29,186,2018
"Randolph County, Missouri",61585.0,29,175,2018
"Franklin County, Missouri",68690.0,29,071,2018
"Howard County, Missouri",62173.0,29,089,2018
"Jackson County, Missouri",80311.0,29,095,2018
"Miller County, Missouri",53500.0,29,131,2018
"Pulaski County, Missouri",61293.0,29,169,2018
"Putnam County, Missouri",49281.0,29,171,2018
"Taney County, Missouri",51758.0,29,213,2018
"Texas County, Missouri",46902.0,29,215,2018
"Buchanan County, Missouri",62852.0,29,021,2018
"Caldwell County, Missouri",58103.0,29,025,2018
"Callaway County, Missouri",69544.0,29,027,2018
"Cass County, Missouri",78580.0,29,037,2018
"Clinton County, Missouri",67297.0,29,049,2018
"Cooper County, Missouri",63914.0,29,053,2018
"Dallas County, Missouri",52973.0,29,059,2018
"Gentry County, Missouri",55359.0,29,075,2018
"Hickory County, Missouri",46967.0,29,085,2018
"Lincoln County, Missouri",71079.0,29,113,2018
"Mississippi County, Missouri",45521.0,29,133,2018
"Monroe County, Missouri",57171.0,29,137,2018
"Newton County, Missouri",61382.0,29,145,2018
"Ozark County, Missouri",42392.0,29,153,2018
"Pike County, Missouri",59160.0,29,163,2018
"St. Charles County, Missouri",97263.0,29,183,2018
"Custer County, Montana",75127.0,30,017,2018
"Hill County, Montana",64498.0,30,041,2018
"Powder River County, Montana",60000.0,30,075,2018
"Park County, Montana",71779.0,30,067,2018
"Roosevelt County, Montana",84934.0,30,085,2018
"Blaine County, Montana",59095.0,30,005,2018
"Liberty County, Montana",62574.0,30,051,2018
"Richland County, Montana",81625.0,30,083,2018
"Teton County, Montana",62865.0,30,099,2018
"Toole County, Montana",63008.0,30,101,2018
"Fallon County, Montana",82273.0,30,025,2018
"Daniels County, Montana",71000.0,30,019,2018
"Judith Basin County, Montana",59950.0,30,045,2018
"Silver Bow County, Montana",60619.0,30,093,2018
"Deer Lodge County, Montana",55160.0,30,023,2018
"Jefferson County, Montana",80957.0,30,043,2018
"McCone County, Montana",59700.0,30,055,2018
"Wheatland County, Montana",45972.0,30,107,2018
"Rosebud County, Montana",75625.0,30,087,2018
"Carter County, Montana",63333.0,30,011,2018
"Dawson County, Montana",77102.0,30,021,2018
"Broadwater County, Montana",68851.0,30,007,2018
"Lake County, Montana",62500.0,30,047,2018
"Pondera County, Montana",69219.0,30,073,2018
"Yellowstone County, Montana",76329.0,30,111,2018
"Ravalli County, Montana",63869.0,30,081,2018
"Valley County, Montana",69115.0,30,105,2018
"Fergus County, Montana",57796.0,30,027,2018
"Mineral County, Montana",50688.0,30,061,2018
"Petroleum County, Montana",62500.0,30,069,2018
"Sanders County, Montana",44178.0,30,089,2018
"Flathead County, Montana",66623.0,30,029,2018
"Wibaux County, Montana",54167.0,30,109,2018
"Meagher County, Montana",50688.0,30,059,2018
"Carbon County, Montana",72339.0,30,009,2018
"Phillips County, Montana",61810.0,30,071,2018
"Adams County, Nebraska",70669.0,31,001,2018
"Lancaster County, Nebraska",83409.0,31,109,2018
"Boone County, Nebraska",69231.0,31,011,2018
"Rock County, Nebraska",65250.0,31,149,2018
"Banner County, Nebraska",65481.0,31,007,2018
"Sherman County, Nebraska",70152.0,31,163,2018
"Richardson County, Nebraska",62099.0,31,147,2018
"Howard County, Nebraska",71824.0,31,093,2018
"Holt County, Nebraska",72604.0,31,089,2018
"Furnas County, Nebraska",63512.0,31,065,2018
"Gosper County, Nebraska",83224.0,31,073,2018
"Saline County, Nebraska",73120.0,31,151,2018
"Sarpy County, Nebraska",97415.0,31,153,2018
"Thurston County, Nebraska",73300.0,31,173,2018
"Washington County, Nebraska",86905.0,31,177,2018
"Boyd County, Nebraska",65000.0,31,015,2018
"Cherry County, Nebraska",62979.0,31,031,2018
"Dodge County, Nebraska",66419.0,31,053,2018
"Fillmore County, Nebraska",78261.0,31,059,2018
"Garden County, Nebraska",59375.0,31,069,2018
"Hooker County, Nebraska",59167.0,31,091,2018
"Morrill County, Nebraska",62632.0,31,123,2018
"Nemaha County, Nebraska",66844.0,31,127,2018
"Seward County, Nebraska",83132.0,31,159,2018
"Thomas County, Nebraska",75795.0,31,171,2018
"Dakota County, Nebraska",68510.0,31,043,2018
"Webster County, Nebraska",61845.0,31,181,2018
"Antelope County, Nebraska",62404.0,31,003,2018
"Butler County, Nebraska",68423.0,31,023,2018
"Clay County, Nebraska",71563.0,31,035,2018
"Custer County, Nebraska",57740.0,31,041,2018
"Gage County, Nebraska",69457.0,31,067,2018
"Hamilton County, Nebraska",78324.0,31,081,2018
