NAME,B19113B_001E,state,county,year
"Washington County, Mississippi",28293.0,28,151,2018
"Perry County, Mississippi",31406.0,28,111,2018
"Choctaw County, Mississippi",28409.0,28,019,2018
"Itawamba County, Mississippi",56458.0,28,057,2018
"Carroll County, Mississippi",39861.0,28,015,2018
"Grenada County, Mississippi",35441.0,28,043,2018
"Jefferson County, Mississippi",20401.0,28,063,2018
"Greene County, Mississippi",46875.0,28,041,2018
"Marshall County, Mississippi",40470.0,28,093,2018
"Quitman County, Mississippi",32750.0,28,119,2018
"Bolivar County, Mississippi",28206.0,28,011,2018
"Lamar County, Mississippi",48033.0,28,073,2018
"Lee County, Mississippi",39133.0,28,081,2018
"Pike County, Mississippi",26271.0,28,113,2018
"Tallahatchie County, Mississippi",26804.0,28,135,2018
"Smith County, Mississippi",36523.0,28,129,2018
"Stone County, Mississippi",35099.0,28,131,2018
"Warren County, Mississippi",32343.0,28,149,2018
"Clarke County, Mississippi",31310.0,28,023,2018
"Kemper County, Mississippi",24088.0,28,069,2018
"Montgomery County, Mississippi",22618.0,28,097,2018
"Oktibbeha County, Mississippi",39471.0,28,105,2018
"Pearl River County, Mississippi",27120.0,28,109,2018
"Leake County, Mississippi",31542.0,28,079,2018
"Noxubee County, Mississippi",38057.0,28,103,2018
"Neshoba County, Mississippi",32359.0,28,099,2018
"Rankin County, Mississippi",58502.0,28,121,2018
"Tate County, Mississippi",37813.0,28,137,2018
"Lawrence County, Mississippi",31450.0,28,077,2018
"Panola County, Mississippi",35480.0,28,107,2018
"Yalobusha County, Mississippi",42102.0,28,161,2018
"Chickasaw County, Mississippi",30842.0,28,017,2018
"Copiah County, Mississippi",36627.0,28,029,2018
"George County, Mississippi",52188.0,28,039,2018
"Hinds County, Mississippi",44549.0,28,049,2018
"Newton County, Mississippi",32021.0,28,101,2018
"Union County, Mississippi",32244.0,28,145,2018
"Sharkey County, Mississippi",32344.0,28,125,2018
"Tippah County, Mississippi",37098.0,28,139,2018
"Forrest County, Mississippi",38318.0,28,035,2018
"Hancock County, Mississippi",31309.0,28,045,2018
"Lafayette County, Mississippi",33582.0,28,071,2018
"Issaquena County, Mississippi",26429.0,28,055,2018
"Lowndes County, Mississippi",33532.0,28,087,2018
"Leflore County, Mississippi",22570.0,28,083,2018
"Wilkinson County, Mississippi",23635.0,28,157,2018
"Harrison County, Mississippi",33762.0,28,047,2018
"Jefferson Davis County, Mississippi",32272.0,28,065,2018
"Lincoln County, Mississippi",30623.0,28,085,2018
"Scott County, Mississippi",27350.0,28,123,2018
"Winston County, Mississippi",31730.0,28,159,2018
"Yazoo County, Mississippi",27989.0,28,163,2018
"Benton County, Mississippi",40846.0,28,009,2018
"Franklin County, Mississippi",36328.0,28,037,2018
"Jasper County, Mississippi",33881.0,28,061,2018
"Jones County, Mississippi",31452.0,28,067,2018
"Monroe County, Mississippi",41534.0,28,095,2018
"Sunflower County, Mississippi",29652.0,28,133,2018
"Webster County, Mississippi",23682.0,28,155,2018
"Adams County, Mississippi",27028.0,28,001,2018
"Clay County, Mississippi",30843.0,28,025,2018
"Covington County, Mississippi",31930.0,28,031,2018
"Humphreys County, Mississippi",27645.0,28,053,2018
"Saline County, Missouri",26979.0,29,195,2018
"Madison County, Missouri",-666666666.0,29,123,2018
"Wright County, Missouri",-666666666.0,29,229,2018
"Vernon County, Missouri",-666666666.0,29,217,2018
"Nodaway County, Missouri",-666666666.0,29,147,2018
"Chariton County, Missouri",26667.0,29,041,2018
"Grundy County, Missouri",-666666666.0,29,079,2018
"Morgan County, Missouri",20000.0,29,141,2018
"Wayne County, Missouri",-666666666.0,29,223,2018
"Bollinger County, Missouri",-666666666.0,29,017,2018
"Cape Girardeau County, Missouri",41418.0,29,031,2018
"Shelby County, Missouri",-666666666.0,29,205,2018
"Webster County, Missouri",92688.0,29,225,2018
"Atchison County, Missouri",-666666666.0,29,005,2018
"Bates County, Missouri",48182.0,29,013,2018
"Benton County, Missouri",-666666666.0,29,015,2018
"Carter County, Missouri",-666666666.0,29,035,2018
"Dade County, Missouri",-666666666.0,29,057,2018
"Linn County, Missouri",-666666666.0,29,115,2018
"Howell County, Missouri",-666666666.0,29,091,2018
"Johnson County, Missouri",56818.0,29,101,2018
"Laclede County, Missouri",-666666666.0,29,105,2018
"Maries County, Missouri",-666666666.0,29,125,2018
"Phelps County, Missouri",2499.0,29,161,2018
"Platte County, Missouri",61283.0,29,165,2018
"St. Francois County, Missouri",-666666666.0,29,187,2018
"Andrew County, Missouri",-666666666.0,29,003,2018
"Carroll County, Missouri",-666666666.0,29,033,2018
"Daviess County, Missouri",-666666666.0,29,061,2018
"Knox County, Missouri",-666666666.0,29,103,2018
"Marion County, Missouri",26532.0,29,127,2018
"Osage County, Missouri",-666666666.0,29,151,2018
