NAME,B19113C_001E,state,county,year
"Jefferson County, Missouri",62344.0,29,099,2018
"Lewis County, Missouri",-666666666.0,29,111,2018
"New Madrid County, Missouri",-666666666.0,29,143,2018
"Perry County, Missouri",-666666666.0,29,157,2018
"Ralls County, Missouri",-666666666.0,29,173,2018
"Ray County, Missouri",-666666666.0,29,177,2018
"St. Louis County, Missouri",54792.0,29,189,2018
"Stone County, Missouri",56250.0,29,209,2018
"Barry County, Missouri",37695.0,29,009,2018
"Boone County, Missouri",62674.0,29,019,2018
"Cedar County, Missouri",-666666666.0,29,039,2018
"Crawford County, Missouri",-666666666.0,29,055,2018
"Iron County, Missouri",30625.0,29,093,2018
"Livingston County, Missouri",-666666666.0,29,117,2018
"Moniteau County, Missouri",-666666666.0,29,135,2018
"Oregon County, Missouri",-666666666.0,29,149,2018
"Dunklin County, Missouri",-666666666.0,29,069,2018
"Pettis County, Missouri",-666666666.0,29,159,2018
"Ste. Genevieve County, Missouri",-666666666.0,29,186,2018
"Randolph County, Missouri",-666666666.0,29,175,2018
"Franklin County, Missouri",-666666666.0,29,071,2018
"Howard County, Missouri",-666666666.0,29,089,2018
"Jackson County, Missouri",57235.0,29,095,2018
"Miller County, Missouri",23367.0,29,131,2018
"Pulaski County, Missouri",48378.0,29,169,2018
"Putnam County, Missouri",-666666666.0,29,171,2018
"Taney County, Missouri",58822.0,29,213,2018
"Texas County, Missouri",-666666666.0,29,215,2018
"Buchanan County, Missouri",23792.0,29,021,2018
"Caldwell County, Missouri",-666666666.0,29,025,2018
"Callaway County, Missouri",64583.0,29,027,2018
"Cass County, Missouri",83021.0,29,037,2018
"Clinton County, Missouri",51250.0,29,049,2018
"Cooper County, Missouri",-666666666.0,29,053,2018
"Dallas County, Missouri",-666666666.0,29,059,2018
"Gentry County, Missouri",-666666666.0,29,075,2018
"Hickory County, Missouri",-666666666.0,29,085,2018
"Lincoln County, Missouri",-666666666.0,29,113,2018
"Mississippi County, Missouri",-666666666.0,29,133,2018
"Monroe County, Missouri",-666666666.0,29,137,2018
"Newton County, Missouri",63681.0,29,145,2018
"Ozark County, Missouri",-666666666.0,29,153,2018
"Pike County, Missouri",-666666666.0,29,163,2018
"St. Charles County, Missouri",81250.0,29,183,2018
"Custer County, Montana",81250.0,30,017,2018
"Hill County, Montana",31267.0,30,041,2018
"Powder River County, Montana",-666666666.0,30,075,2018
"Park County, Montana",-666666666.0,30,067,2018
"Roosevelt County, Montana",33000.0,30,085,2018
"Blaine County, Montana",35469.0,30,005,2018
"Liberty County, Montana",-666666666.0,30,051,2018
"Richland County, Montana",86151.0,30,083,2018
"Teton County, Montana",193125.0,30,099,2018
"Toole County, Montana",-666666666.0,30,101,2018
"Fallon County, Montana",-666666666.0,30,025,2018
"Daniels County, Montana",-666666666.0,30,019,2018
"Judith Basin County, Montana",-666666666.0,30,045,2018
"Silver Bow County, Montana",8825.0,30,093,2018
"Deer Lodge County, Montana",-666666666.0,30,023,2018
"Jefferson County, Montana",-666666666.0,30,043,2018
"McCone County, Montana",-666666666.0,30,055,2018
"Wheatland County, Montana",-666666666.0,30,107,2018
"Rosebud County, Montana",40000.0,30,087,2018
"Carter County, Montana",-666666666.0,30,011,2018
"Dawson County, Montana",-666666666.0,30,021,2018
"Broadwater County, Montana",-666666666.0,30,007,2018
"Lake County, Montana",38003.0,30,047,2018
"Pondera County, Montana",38333.0,30,073,2018
"Yellowstone County, Montana",51838.0,30,111,2018
"Ravalli County, Montana",-666666666.0,30,081,2018
"Valley County, Montana",45433.0,30,105,2018
"Fergus County, Montana",-666666666.0,30,027,2018
"Mineral County, Montana",-666666666.0,30,061,2018
"Petroleum County, Montana",-666666666.0,30,069,2018
"Sanders County, Montana",52000.0,30,089,2018
"Flathead County, Montana",67318.0,30,029,2018
"Wibaux County, Montana",-666666666.0,30,109,2018
"Meagher County, Montana",-666666666.0,30,059,2018
"Carbon County, Montana",120972.0,30,009,2018
"Phillips County, Montana",58571.0,30,071,2018
"Adams County, Nebraska",-666666666.0,31,001,2018
"Lancaster County, Nebraska",51500.0,31,109,2018
"Boone County, Nebraska",-666666666.0,31,011,2018
"Rock County, Nebraska",-666666666.0,31,149,2018
"Banner County, Nebraska",-666666666.0,31,007,2018
"Sherman County, Nebraska",-666666666.0,31,163,2018
"Richardson County, Nebraska",43333.0,31,147,2018
"Howard County, Nebraska",-666666666.0,31,093,2018
"Holt County, Nebraska",40625.0,31,089,2018
"Furnas County, Nebraska",-666666666.0,31,065,2018
"Gosper County, Nebraska",-666666666.0,31,073,2018
"Saline County, Nebraska",-666666666.0,31,151,2018
"Sarpy County, Nebraska",96250.0,31,153,2018
"Thurston County, Nebraska",39821.0,31,173,2018
"Washington County, Nebraska",-666666666.0,31,177,2018
"Boyd County, Nebraska",-666666666.0,31,015,2018
"Cherry County, Nebraska",33177.0,31,031,2018
"Dodge County, Nebraska",35737.0,31,053,2018
"Fillmore County, Nebraska",-666666666.0,31,059,2018
"Garden County, Nebraska",-666666666.0,31,069,2018
"Hooker County, Nebraska",-666666666.0,31,091,2018
"Morrill County, Nebraska",-666666666.0,31,123,2018
"Nemaha County, Nebraska",-666666666.0,31,127,2018
"Seward County, Nebraska",-666666666.0,31,159,2018
"Thomas County, Nebraska",-666666666.0,31,171,2018
"Dakota County, Nebraska",2499.0,31,043,2018
"Webster County, Nebraska",-666666666.0,31,181,2018
"Antelope County, Nebraska",-666666666.0,31,003,2018
"Butler County, Nebraska",-666666666.0,31,023,2018
"Clay County, Nebraska",-666666666.0,31,035,2018
"Custer County, Nebraska",-666666666.0,31,041,2018
"Gage County, Nebraska",-666666666.0,31,067,2018
"Hamilton County, Nebraska",-666666666.0,31,081,2018
"Kearney County, Nebraska",-666666666.0,31,099,2018
"Keith County, Nebraska",-666666666.0,31,101,2018
"Madison County, Nebraska",20921.0,31,119,2018
"Perkins County, Nebraska",-666666666.0,31,135,2018
"Saunders County, Nebraska",-666666666.0,31,155,2018
"Wayne County, Nebraska",-666666666.0,31,179,2018
"Keya Paha County, Nebraska",-666666666.0,31,103,2018
"Knox County, Nebraska",36250.0,31,107,2018
"Lincoln County, Nebraska",-666666666.0,31,111,2018
"Pierce County, Nebraska",-666666666.0,31,139,2018
"Sioux County, Nebraska",-666666666.0,31,165,2018
"Cass County, Nebraska",-666666666.0,31,025,2018
"Dixon County, Nebraska",-666666666.0,31,051,2018
"Dundy County, Nebraska",-666666666.0,31,057,2018
"Greeley County, Nebraska",-666666666.0,31,077,2018
"Hall County, Nebraska",49559.0,31,079,2018
"Otoe County, Nebraska",36250.0,31,131,2018
"Red Willow County, Nebraska",-666666666.0,31,145,2018
"Dawes County, Nebraska",-666666666.0,31,045,2018
"Cheyenne County, Nebraska",-666666666.0,31,033,2018
"Dawson County, Nebraska",-666666666.0,31,047,2018
"Valley County, Nebraska",-666666666.0,31,175,2018
"McPherson County, Nebraska",-666666666.0,31,117,2018
"Nance County, Nebraska",-666666666.0,31,125,2018
"Stanton County, Nebraska",-666666666.0,31,167,2018
"Harlan County, Nebraska",-666666666.0,31,083,2018
"Blaine County, Nebraska",-666666666.0,31,009,2018
"Buffalo County, Nebraska",-666666666.0,31,019,2018
"Deuel County, Nebraska",41136.0,31,049,2018
"Hitchcock County, Nebraska",-666666666.0,31,087,2018
"Platte County, Nebraska",-666666666.0,31,141,2018
"Thayer County, Nebraska",-666666666.0,31,169,2018
"Box Butte County, Nebraska",-666666666.0,31,013,2018
"Churchill County, Nevada",41058.0,32,001,2018
"Douglas County, Nevada",36766.0,32,005,2018
"Pershing County, Nevada",31250.0,32,027,2018
"Esmeralda County, Nevada",-666666666.0,32,009,2018
"Humboldt County, Nevada",29688.0,32,013,2018
"Mineral County, Nevada",30104.0,32,021,2018
"White Pine County, Nevada",39464.0,32,033,2018
"Elko County, Nevada",54904.0,32,007,2018
"Lincoln County, Nevada",-666666666.0,32,017,2018
"Nye County, Nevada",44063.0,32,023,2018
"Storey County, Nevada",-666666666.0,32,029,2018
"Washoe County, Nevada",59213.0,32,031,2018
"Clark County, Nevada",52184.0,32,003,2018
"Carson City, Nevada",50486.0,32,510,2018
"Lyon County, Nevada",32574.0,32,019,2018
"Cheshire County, New Hampshire",58281.0,33,005,2018
"Merrimack County, New Hampshire",-666666666.0,33,013,2018
"Grafton County, New Hampshire",50613.0,33,009,2018
"Rockingham County, New Hampshire",85347.0,33,015,2018
"Belknap County, New Hampshire",-666666666.0,33,001,2018
"Sullivan County, New Hampshire",-666666666.0,33,019,2018
"Hillsborough County, New Hampshire",58344.0,33,011,2018
"Strafford County, New Hampshire",-666666666.0,33,017,2018
"Coos County, New Hampshire",68125.0,33,007,2018
"Carroll County, New Hampshire",-666666666.0,33,003,2018
"Monmouth County, New Jersey",99583.0,34,025,2018
"Sussex County, New Jersey",-666666666.0,34,037,2018
"Cumberland County, New Jersey",53813.0,34,011,2018
"Essex County, New Jersey",40313.0,34,013,2018
"Ocean County, New Jersey",-666666666.0,34,029,2018
"Gloucester County, New Jersey",208833.0,34,015,2018
"Salem County, New Jersey",-666666666.0,34,033,2018
"Passaic County, New Jersey",72061.0,34,031,2018
"Camden County, New Jersey",30714.0,34,007,2018
"Bergen County, New Jersey",84167.0,34,003,2018
"Warren County, New Jersey",71964.0,34,041,2018
"Hudson County, New Jersey",54549.0,34,017,2018
"Burlington County, New Jersey",83750.0,34,005,2018
"Morris County, New Jersey",78023.0,34,027,2018
"Rio Arriba County, New Mexico",,35,039,2018
"San Miguel County, New Mexico",-666666666.0,35,047,2018
"Torrance County, New Mexico",-666666666.0,35,057,2018
"Otero County, New Mexico",33438.0,35,035,2018
"Cibola County, New Mexico",37746.0,35,006,2018
"Guadalupe County, New Mexico",-666666666.0,35,019,2018
"Catron County, New Mexico",-666666666.0,35,003,2018
"Grant County, New Mexico",-666666666.0,35,017,2018
"Luna County, New Mexico",-666666666.0,35,029,2018
"McKinley County, New Mexico",33091.0,35,031,2018
"Taos County, New Mexico",36389.0,35,055,2018
"Colfax County, New Mexico",14688.0,35,007,2018
"Eddy County, New Mexico",-666666666.0,35,015,2018
"Mora County, New Mexico",-666666666.0,35,033,2018
"Quay County, New Mexico",-666666666.0,35,037,2018
"Lincoln County, New Mexico",-666666666.0,35,027,2018
"Lea County, New Mexico",69970.0,35,025,2018
"Santa Fe County, New Mexico",51576.0,35,049,2018
"Sierra County, New Mexico",-666666666.0,35,051,2018
"Socorro County, New Mexico",19018.0,35,053,2018
"Doña Ana County, New Mexico",-666666666.0,35,013,2018
"Schoharie County, New York",-666666666.0,36,095,2018
"Onondaga County, New York",64219.0,36,067,2018
"Clinton County, New York",81211.0,36,019,2018
"Seneca County, New York",-666666666.0,36,099,2018
"Putnam County, New York",-666666666.0,36,079,2018
"Franklin County, New York",63185.0,36,033,2018
"Ontario County, New York",-666666666.0,36,069,2018
"Queens County, New York",53548.0,36,081,2018
"Steuben County, New York",39063.0,36,101,2018
"Hamilton County, New York",-666666666.0,36,041,2018
"Washington County, New York",57188.0,36,115,2018
"Chautauqua County, New York",-666666666.0,36,013,2018
"Kings County, New York",60069.0,36,047,2018
"New York County, New York",40357.0,36,061,2018
"Tioga County, New York",91098.0,36,107,2018
"Cayuga County, New York",44286.0,36,011,2018
"Orleans County, New York",147885.0,36,073,2018
"Saratoga County, New York",-666666666.0,36,091,2018
"Rockland County, New York",137426.0,36,087,2018
"Columbia County, New York",-666666666.0,36,021,2018
"Lewis County, New York",-666666666.0,36,049,2018
"Niagara County, New York",29626.0,36,063,2018
"Westchester County, New York",48984.0,36,119,2018
"Delaware County, New York",31250.0,36,025,2018
"Essex County, New York",-666666666.0,36,031,2018
"Montgomery County, New York",-666666666.0,36,057,2018
"Nassau County, New York",64770.0,36,059,2018
"Richmond County, New York",72353.0,36,085,2018
"Schuyler County, New York",44643.0,36,097,2018
"Tompkins County, New York",91979.0,36,109,2018
"Chenango County, New York",86379.0,36,017,2018
"Cortland County, New York",-666666666.0,36,023,2018
"Jefferson County, New York",43362.0,36,045,2018
"Oneida County, New York",-666666666.0,36,065,2018
"Suffolk County, New York",110114.0,36,103,2018
"Wyoming County, New York",105652.0,36,121,2018
"Chemung County, New York",-666666666.0,36,015,2018
"Oswego County, New York",-666666666.0,36,075,2018
"Otsego County, New York",-666666666.0,36,077,2018
"Wayne County, New York",46875.0,36,117,2018
"Albany County, New York",46957.0,36,001,2018
"Broome County, New York",-666666666.0,36,007,2018
"Erie County, New York",35500.0,36,029,2018
"Madison County, New York",49185.0,36,053,2018
"Sullivan County, New York",-666666666.0,36,105,2018
"Mitchell County, North Carolina",-666666666.0,37,121,2018
"Genesee County, New York",51000.0,36,037,2018
"Orange County, New York",75652.0,36,071,2018
"Greene County, North Carolina",-666666666.0,37,079,2018
"Chowan County, North Carolina",-666666666.0,37,041,2018
"Caldwell County, North Carolina",24800.0,37,027,2018
"Catawba County, North Carolina",-666666666.0,37,035,2018
"Craven County, North Carolina",41635.0,37,049,2018
"Edgecombe County, North Carolina",-666666666.0,37,065,2018
"Harnett County, North Carolina",-666666666.0,37,085,2018
"Henderson County, North Carolina",-666666666.0,37,089,2018
"Hyde County, North Carolina",-666666666.0,37,095,2018
"Mecklenburg County, North Carolina",48049.0,37,119,2018
"Northampton County, North Carolina",11563.0,37,131,2018
"Rowan County, North Carolina",-666666666.0,37,159,2018
"Vance County, North Carolina",-666666666.0,37,181,2018
"Currituck County, North Carolina",53846.0,37,053,2018
"Union County, North Carolina",74955.0,37,179,2018
"Forsyth County, North Carolina",55625.0,37,067,2018
"Nash County, North Carolina",49423.0,37,127,2018
"Bladen County, North Carolina",46806.0,37,017,2018
"Dare County, North Carolina",-666666666.0,37,055,2018
"Warren County, North Carolina",37059.0,37,185,2018
"Wilson County, North Carolina",23906.0,37,195,2018
"Bertie County, North Carolina",-666666666.0,37,015,2018
"Gates County, North Carolina",63750.0,37,073,2018
"Graham County, North Carolina",32000.0,37,075,2018
"Martin County, North Carolina",-666666666.0,37,117,2018
"Madison County, North Carolina",-666666666.0,37,115,2018
"Pamlico County, North Carolina",-666666666.0,37,137,2018
"Perquimans County, North Carolina",-666666666.0,37,143,2018
"Polk County, North Carolina",-666666666.0,37,149,2018
"Randolph County, North Carolina",40650.0,37,151,2018
"Rockingham County, North Carolina",51133.0,37,157,2018
"Stokes County, North Carolina",-666666666.0,37,169,2018
"Washington County, North Carolina",-666666666.0,37,187,2018
"Camden County, North Carolina",-666666666.0,37,029,2018
"Clay County, North Carolina",-666666666.0,37,043,2018
"Cumberland County, North Carolina",39079.0,37,051,2018
"Gaston County, North Carolina",51953.0,37,071,2018
"Guilford County, North Carolina",48967.0,37,081,2018
"Jackson County, North Carolina",45329.0,37,099,2018
"Moore County, North Carolina",82909.0,37,125,2018
"Robeson County, North Carolina",40747.0,37,155,2018
"Stanly County, North Carolina",41833.0,37,167,2018
"Wake County, North Carolina",86683.0,37,183,2018
"Yancey County, North Carolina",-666666666.0,37,199,2018
"Chatham County, North Carolina",-666666666.0,37,037,2018
"McDowell County, North Carolina",-666666666.0,37,111,2018
"Johnston County, North Carolina",57406.0,37,101,2018
"Jones County, North Carolina",-666666666.0,37,103,2018
"Person County, North Carolina",-666666666.0,37,145,2018
"Brunswick County, North Carolina",58378.0,37,019,2018
"Ashe County, North Carolina",-666666666.0,37,009,2018
"Beaufort County, North Carolina",-666666666.0,37,013,2018
"Lenoir County, North Carolina",-666666666.0,37,107,2018
"Rutherford County, North Carolina",66795.0,37,161,2018
"Lincoln County, North Carolina",68348.0,37,109,2018
"Onslow County, North Carolina",70461.0,37,133,2018
"Orange County, North Carolina",44417.0,37,135,2018
"Sampson County, North Carolina",40398.0,37,163,2018
"Yadkin County, North Carolina",-666666666.0,37,197,2018
"Avery County, North Carolina",-666666666.0,37,011,2018
"Burke County, North Carolina",43088.0,37,023,2018
"Caswell County, North Carolina",-666666666.0,37,033,2018
"Davie County, North Carolina",31250.0,37,059,2018
"Duplin County, North Carolina",80741.0,37,061,2018
"Durham County, North Carolina",59484.0,37,063,2018
"Lee County, North Carolina",34188.0,37,105,2018
"New Hanover County, North Carolina",-666666666.0,37,129,2018
"Wayne County, North Carolina",56767.0,37,191,2018
"Scotland County, North Carolina",53265.0,37,165,2018
"Halifax County, North Carolina",41641.0,37,083,2018
"Alamance County, North Carolina",56250.0,37,001,2018
"Burke County, North Dakota",-666666666.0,38,013,2018
"Mountrail County, North Dakota",73819.0,38,061,2018
"Williams County, North Dakota",95326.0,38,105,2018
"Billings County, North Dakota",-666666666.0,38,007,2018
"Kidder County, North Dakota",-666666666.0,38,043,2018
"Cavalier County, North Dakota",-666666666.0,38,019,2018
"Grant County, North Dakota",-666666666.0,38,037,2018
"Pembina County, North Dakota",29712.0,38,067,2018
"Steele County, North Dakota",-666666666.0,38,091,2018
"Hettinger County, North Dakota",-666666666.0,38,041,2018
"LaMoure County, North Dakota",-666666666.0,38,045,2018
"Morton County, North Dakota",26667.0,38,059,2018
"Cass County, North Dakota",67692.0,38,017,2018
"Dunn County, North Dakota",55000.0,38,025,2018
"Emmons County, North Dakota",-666666666.0,38,029,2018
"McIntosh County, North Dakota",-666666666.0,38,051,2018
"Nelson County, North Dakota",-666666666.0,38,063,2018
"Richland County, North Dakota",-666666666.0,38,077,2018
"Rolette County, North Dakota",41063.0,38,079,2018
"Walsh County, North Dakota",32950.0,38,099,2018
"Adams County, North Dakota",-666666666.0,38,001,2018
"Bottineau County, North Dakota",-666666666.0,38,009,2018
"Barnes County, North Dakota",-666666666.0,38,003,2018
"Eddy County, North Dakota",7059.0,38,027,2018
"Grand Forks County, North Dakota",31071.0,38,035,2018
"McKenzie County, North Dakota",44276.0,38,053,2018
"Mercer County, North Dakota",122941.0,38,057,2018
"McLean County, North Dakota",51875.0,38,055,2018
"Pierce County, North Dakota",-666666666.0,38,069,2018
"Ransom County, North Dakota",-666666666.0,38,073,2018
"Sioux County, North Dakota",37031.0,38,085,2018
"Bowman County, North Dakota",-666666666.0,38,011,2018
"Golden Valley County, North Dakota",-666666666.0,38,033,2018
"Logan County, North Dakota",-666666666.0,38,047,2018
"Towner County, North Dakota",45104.0,38,095,2018
"Stutsman County, North Dakota",90625.0,38,093,2018
"Divide County, North Dakota",-666666666.0,38,023,2018
"Foster County, North Dakota",-666666666.0,38,031,2018
"Sargent County, North Dakota",-666666666.0,38,081,2018
"Slope County, North Dakota",-666666666.0,38,087,2018
"Stark County, North Dakota",-666666666.0,38,089,2018
"Gallia County, Ohio",-666666666.0,39,053,2018
"Huron County, Ohio",65625.0,39,077,2018
"Athens County, Ohio",26518.0,39,009,2018
"Adams County, Ohio",-666666666.0,39,001,2018
"Medina County, Ohio",150692.0,39,103,2018
"Union County, Ohio",215577.0,39,159,2018
"Champaign County, Ohio",-666666666.0,39,021,2018
"Paulding County, Ohio",-666666666.0,39,125,2018
"Greene County, Ohio",70923.0,39,057,2018
"Franklin County, Ohio",58188.0,39,049,2018
"Marion County, Ohio",35625.0,39,101,2018
"Morgan County, Ohio",-666666666.0,39,115,2018
"Wayne County, Ohio",-666666666.0,39,169,2018
"Wyandot County, Ohio",-666666666.0,39,175,2018
"Butler County, Ohio",105833.0,39,017,2018
"Harrison County, Ohio",-666666666.0,39,067,2018
"Knox County, Ohio",-666666666.0,39,083,2018
"Richland County, Ohio",-666666666.0,39,139,2018
"Vinton County, Ohio",-666666666.0,39,163,2018
"Hancock County, Ohio",-666666666.0,39,063,2018
"Fairfield County, Ohio",-666666666.0,39,045,2018
"Defiance County, Ohio",-666666666.0,39,039,2018
"Henry County, Ohio",-666666666.0,39,069,2018
"Jefferson County, Ohio",-666666666.0,39,081,2018
"Putnam County, Ohio",-666666666.0,39,137,2018
"Clinton County, Ohio",-666666666.0,39,027,2018
"Fayette County, Ohio",-666666666.0,39,047,2018
"Pickaway County, Ohio",218313.0,39,129,2018
"Logan County, Ohio",58438.0,39,091,2018
"Summit County, Ohio",42578.0,39,153,2018
"Sandusky County, Ohio",24048.0,39,143,2018
"Shelby County, Ohio",28214.0,39,149,2018
"Cottonwood County, Minnesota",-666666666.0,27,033,2018
"Scott County, Minnesota",104195.0,27,139,2018
"Dodge County, Minnesota",72000.0,27,039,2018
"Wabasha County, Minnesota",-666666666.0,27,157,2018
"Pipestone County, Minnesota",3934.0,27,117,2018
"Crow Wing County, Minnesota",39000.0,27,035,2018
"Norman County, Minnesota",46875.0,27,107,2018
"Wright County, Minnesota",-666666666.0,27,171,2018
"Nicollet County, Minnesota",-666666666.0,27,103,2018
"Douglas County, Minnesota",-666666666.0,27,041,2018
"Grant County, Minnesota",-666666666.0,27,051,2018
"Kittson County, Minnesota",-666666666.0,27,069,2018
"Le Sueur County, Minnesota",-666666666.0,27,079,2018
"Mahnomen County, Minnesota",36979.0,27,087,2018
"Chisago County, Minnesota",102794.0,27,025,2018
"Redwood County, Minnesota",31509.0,27,127,2018
"Yellow Medicine County, Minnesota",43750.0,27,173,2018
"Todd County, Minnesota",-666666666.0,27,153,2018
"Beltrami County, Minnesota",34622.0,27,007,2018
