NAME,B19113A_001E,state,county,year
"Stone County, Missouri",56643.0,29,209,2018
"Barry County, Missouri",51754.0,29,009,2018
"Boone County, Missouri",81724.0,29,019,2018
"Cedar County, Missouri",47784.0,29,039,2018
"Crawford County, Missouri",49955.0,29,055,2018
"Iron County, Missouri",48671.0,29,093,2018
"Livingston County, Missouri",60307.0,29,117,2018
"Moniteau County, Missouri",65096.0,29,135,2018
"Oregon County, Missouri",42663.0,29,149,2018
"Dunklin County, Missouri",46380.0,29,069,2018
"Pettis County, Missouri",54473.0,29,159,2018
"Ste. Genevieve County, Missouri",69344.0,29,186,2018
"Randolph County, Missouri",61444.0,29,175,2018
"Franklin County, Missouri",68629.0,29,071,2018
"Howard County, Missouri",62440.0,29,089,2018
"Jackson County, Missouri",78952.0,29,095,2018
"Miller County, Missouri",53669.0,29,131,2018
"Pulaski County, Missouri",61720.0,29,169,2018
"Putnam County, Missouri",49250.0,29,171,2018
"Taney County, Missouri",51355.0,29,213,2018
"Texas County, Missouri",47405.0,29,215,2018
"Buchanan County, Missouri",62645.0,29,021,2018
"Caldwell County, Missouri",58412.0,29,025,2018
"Callaway County, Missouri",69172.0,29,027,2018
"Cass County, Missouri",78305.0,29,037,2018
"Clinton County, Missouri",67132.0,29,049,2018
"Cooper County, Missouri",63939.0,29,053,2018
"Dallas County, Missouri",52973.0,29,059,2018
"Gentry County, Missouri",55359.0,29,075,2018
"Hickory County, Missouri",47033.0,29,085,2018
"Lincoln County, Missouri",71495.0,29,113,2018
"Mississippi County, Missouri",45528.0,29,133,2018
"Monroe County, Missouri",55592.0,29,137,2018
"Newton County, Missouri",60660.0,29,145,2018
"Ozark County, Missouri",41573.0,29,153,2018
"Pike County, Missouri",59002.0,29,163,2018
"St. Charles County, Missouri",96803.0,29,183,2018
"Custer County, Montana",75530.0,30,017,2018
"Hill County, Montana",64432.0,30,041,2018
"Powder River County, Montana",60260.0,30,075,2018
"Park County, Montana",71934.0,30,067,2018
"Roosevelt County, Montana",84671.0,30,085,2018
"Blaine County, Montana",58966.0,30,005,2018
"Liberty County, Montana",62904.0,30,051,2018
"Richland County, Montana",80500.0,30,083,2018
"Teton County, Montana",62463.0,30,099,2018
"Toole County, Montana",63581.0,30,101,2018
"Fallon County, Montana",81326.0,30,025,2018
"Daniels County, Montana",70150.0,30,019,2018
"Judith Basin County, Montana",59750.0,30,045,2018
"Silver Bow County, Montana",59023.0,30,093,2018
"Deer Lodge County, Montana",55048.0,30,023,2018
"Jefferson County, Montana",80880.0,30,043,2018
"McCone County, Montana",59500.0,30,055,2018
"Wheatland County, Montana",45868.0,30,107,2018
"Rosebud County, Montana",76979.0,30,087,2018
"Carter County, Montana",63333.0,30,011,2018
"Dawson County, Montana",75795.0,30,021,2018
"Broadwater County, Montana",68801.0,30,007,2018
"Lake County, Montana",62184.0,30,047,2018
"Pondera County, Montana",69063.0,30,073,2018
"Yellowstone County, Montana",76023.0,30,111,2018
"Ravalli County, Montana",63416.0,30,081,2018
"Valley County, Montana",68958.0,30,105,2018
"Fergus County, Montana",57872.0,30,027,2018
"Mineral County, Montana",50688.0,30,061,2018
"Petroleum County, Montana",62500.0,30,069,2018
"Sanders County, Montana",44145.0,30,089,2018
"Flathead County, Montana",66275.0,30,029,2018
"Wibaux County, Montana",53021.0,30,109,2018
"Meagher County, Montana",50688.0,30,059,2018
"Carbon County, Montana",73125.0,30,009,2018
"Phillips County, Montana",61552.0,30,071,2018
"Adams County, Nebraska",69534.0,31,001,2018
"Lancaster County, Nebraska",81388.0,31,109,2018
"Boone County, Nebraska",69231.0,31,011,2018
