NAME,B19301C_001E,state,county,year
"Washington County, Mississippi",34279.0,28,151,2018
"Perry County, Mississippi",-666666666.0,28,111,2018
"Choctaw County, Mississippi",34804.0,28,019,2018
"Itawamba County, Mississippi",6755.0,28,057,2018
"Carroll County, Mississippi",,28,015,2018
"Grenada County, Mississippi",8310.0,28,043,2018
"Jefferson County, Mississippi",,28,063,2018
"Greene County, Mississippi",18168.0,28,041,2018
"Marshall County, Mississippi",21380.0,28,093,2018
"Quitman County, Mississippi",-666666666.0,28,119,2018
"Bolivar County, Mississippi",9854.0,28,011,2018
"Lamar County, Mississippi",19074.0,28,073,2018
"Lee County, Mississippi",11788.0,28,081,2018
"Pike County, Mississippi",,28,113,2018
"Tallahatchie County, Mississippi",,28,135,2018
"Smith County, Mississippi",-666666666.0,28,129,2018
"Stone County, Mississippi",16680.0,28,131,2018
"Warren County, Mississippi",64708.0,28,149,2018
"Clarke County, Mississippi",,28,023,2018
"Kemper County, Mississippi",10167.0,28,069,2018
"Montgomery County, Mississippi",-666666666.0,28,097,2018
"Oktibbeha County, Mississippi",22547.0,28,105,2018
"Pearl River County, Mississippi",,28,109,2018
"Leake County, Mississippi",12654.0,28,079,2018
"Noxubee County, Mississippi",,28,103,2018
"Neshoba County, Mississippi",15447.0,28,099,2018
"Rankin County, Mississippi",27677.0,28,121,2018
"Tate County, Mississippi",89228.0,28,137,2018
"Lawrence County, Mississippi",21200.0,28,077,2018
"Panola County, Mississippi",,28,107,2018
"Yalobusha County, Mississippi",,28,161,2018
"Chickasaw County, Mississippi",,28,017,2018
"Copiah County, Mississippi",,28,029,2018
"George County, Mississippi",,28,039,2018
"Hinds County, Mississippi",27210.0,28,049,2018
"Newton County, Mississippi",9241.0,28,101,2018
"Union County, Mississippi",7047.0,28,145,2018
"Sharkey County, Mississippi",,28,125,2018
"Tippah County, Mississippi",,28,139,2018
"Forrest County, Mississippi",6823.0,28,035,2018
"Hancock County, Mississippi",16378.0,28,045,2018
"Lafayette County, Mississippi",,28,071,2018
"Issaquena County, Mississippi",-666666666.0,28,055,2018
"Lowndes County, Mississippi",22154.0,28,087,2018
"Leflore County, Mississippi",-666666666.0,28,083,2018
"Wilkinson County, Mississippi",-666666666.0,28,157,2018
"Harrison County, Mississippi",25126.0,28,047,2018
"Jefferson Davis County, Mississippi",-666666666.0,28,065,2018
"Lincoln County, Mississippi",,28,085,2018
"Scott County, Mississippi",11133.0,28,123,2018
"Winston County, Mississippi",17907.0,28,159,2018
"Yazoo County, Mississippi",13753.0,28,163,2018
"Benton County, Mississippi",-666666666.0,28,009,2018
"Franklin County, Mississippi",-666666666.0,28,037,2018
"Jasper County, Mississippi",,28,061,2018
"Jones County, Mississippi",15578.0,28,067,2018
"Monroe County, Mississippi",,28,095,2018
"Sunflower County, Mississippi",11796.0,28,133,2018
"Webster County, Mississippi",,28,155,2018
"Adams County, Mississippi",6993.0,28,001,2018
"Clay County, Mississippi",,28,025,2018
"Covington County, Mississippi",-666666666.0,28,031,2018
"Humphreys County, Mississippi",,28,053,2018
"Saline County, Missouri",45631.0,29,195,2018
"Madison County, Missouri",21215.0,29,123,2018
"Wright County, Missouri",9104.0,29,229,2018
"Vernon County, Missouri",20260.0,29,217,2018
"Nodaway County, Missouri",5289.0,29,147,2018
"Chariton County, Missouri",,29,041,2018
"Grundy County, Missouri",23485.0,29,079,2018
"Morgan County, Missouri",,29,141,2018
"Wayne County, Missouri",23880.0,29,223,2018
"Bollinger County, Missouri",26291.0,29,017,2018
"Cape Girardeau County, Missouri",55308.0,29,031,2018
"Shelby County, Missouri",,29,205,2018
"Webster County, Missouri",34491.0,29,225,2018
"Atchison County, Missouri",16515.0,29,005,2018
"Bates County, Missouri",12114.0,29,013,2018
"Benton County, Missouri",14237.0,29,015,2018
"Carter County, Missouri",11468.0,29,035,2018
"Dade County, Missouri",11933.0,29,057,2018
"Linn County, Missouri",14079.0,29,115,2018
"Howell County, Missouri",32529.0,29,091,2018
"Johnson County, Missouri",17081.0,29,101,2018
"Laclede County, Missouri",26084.0,29,105,2018
"Maries County, Missouri",10996.0,29,125,2018
"Phelps County, Missouri",24292.0,29,161,2018
"Platte County, Missouri",44774.0,29,165,2018
"St. Francois County, Missouri",27587.0,29,187,2018
"Andrew County, Missouri",37752.0,29,003,2018
"Carroll County, Missouri",,29,033,2018
"Daviess County, Missouri",13074.0,29,061,2018
"Knox County, Missouri",-666666666.0,29,103,2018
"Marion County, Missouri",12370.0,29,127,2018
