NAME,B19301H_001E,state,county,year
"Washington County, Mississippi",31644.0,28,151,2018
"Perry County, Mississippi",23155.0,28,111,2018
"Choctaw County, Mississippi",24886.0,28,019,2018
"Itawamba County, Mississippi",21477.0,28,057,2018
"Carroll County, Mississippi",27636.0,28,015,2018
"Grenada County, Mississippi",25857.0,28,043,2018
"Jefferson County, Mississippi",27676.0,28,063,2018
"Greene County, Mississippi",21201.0,28,041,2018
"Marshall County, Mississippi",25598.0,28,093,2018
"Quitman County, Mississippi",22550.0,28,119,2018
"Bolivar County, Mississippi",28347.0,28,011,2018
"Lamar County, Mississippi",32311.0,28,073,2018
"Lee County, Mississippi",30084.0,28,081,2018
"Pike County, Mississippi",24530.0,28,113,2018
"Tallahatchie County, Mississippi",25931.0,28,135,2018
"Smith County, Mississippi",26422.0,28,129,2018
"Stone County, Mississippi",24948.0,28,131,2018
"Warren County, Mississippi",32636.0,28,149,2018
"Clarke County, Mississippi",27729.0,28,023,2018
"Kemper County, Mississippi",22703.0,28,069,2018
"Montgomery County, Mississippi",30841.0,28,097,2018
"Oktibbeha County, Mississippi",27951.0,28,105,2018
"Pearl River County, Mississippi",25080.0,28,109,2018
"Leake County, Mississippi",24085.0,28,079,2018
"Noxubee County, Mississippi",26615.0,28,103,2018
"Neshoba County, Mississippi",23553.0,28,099,2018
"Rankin County, Mississippi",32820.0,28,121,2018
"Tate County, Mississippi",27978.0,28,137,2018
"Lawrence County, Mississippi",24761.0,28,077,2018
"Panola County, Mississippi",27362.0,28,107,2018
"Yalobusha County, Mississippi",24363.0,28,161,2018
"Chickasaw County, Mississippi",26065.0,28,017,2018
"Copiah County, Mississippi",28474.0,28,029,2018
"George County, Mississippi",22723.0,28,039,2018
"Hinds County, Mississippi",38482.0,28,049,2018
"Newton County, Mississippi",27212.0,28,101,2018
"Union County, Mississippi",21719.0,28,145,2018
"Sharkey County, Mississippi",33461.0,28,125,2018
"Tippah County, Mississippi",22484.0,28,139,2018
"Forrest County, Mississippi",27416.0,28,035,2018
"Hancock County, Mississippi",28160.0,28,045,2018
"Lafayette County, Mississippi",29750.0,28,071,2018
"Issaquena County, Mississippi",21903.0,28,055,2018
"Lowndes County, Mississippi",32382.0,28,087,2018
"Leflore County, Mississippi",35798.0,28,083,2018
"Wilkinson County, Mississippi",22203.0,28,157,2018
"Harrison County, Mississippi",27889.0,28,047,2018
"Jefferson Davis County, Mississippi",25467.0,28,065,2018
"Lincoln County, Mississippi",26200.0,28,085,2018
"Scott County, Mississippi",29754.0,28,123,2018
"Winston County, Mississippi",32913.0,28,159,2018
"Yazoo County, Mississippi",23830.0,28,163,2018
"Benton County, Mississippi",21778.0,28,009,2018
"Franklin County, Mississippi",26461.0,28,037,2018
"Jasper County, Mississippi",31420.0,28,061,2018
"Jones County, Mississippi",28019.0,28,067,2018
"Monroe County, Mississippi",26515.0,28,095,2018
"Sunflower County, Mississippi",28129.0,28,133,2018
"Webster County, Mississippi",23241.0,28,155,2018
"Adams County, Mississippi",27943.0,28,001,2018
"Clay County, Mississippi",30859.0,28,025,2018
"Covington County, Mississippi",21899.0,28,031,2018
"Humphreys County, Mississippi",33369.0,28,053,2018
"Saline County, Missouri",25056.0,29,195,2018
"Madison County, Missouri",22485.0,29,123,2018
"Wright County, Missouri",19088.0,29,229,2018
"Vernon County, Missouri",25079.0,29,217,2018
"Nodaway County, Missouri",22861.0,29,147,2018
"Chariton County, Missouri",25135.0,29,041,2018
"Grundy County, Missouri",23857.0,29,079,2018
"Morgan County, Missouri",21871.0,29,141,2018
"Wayne County, Missouri",18981.0,29,223,2018
"Bollinger County, Missouri",21087.0,29,017,2018
"Cape Girardeau County, Missouri",28141.0,29,031,2018
"Shelby County, Missouri",24253.0,29,205,2018
"Webster County, Missouri",21882.0,29,225,2018
"Atchison County, Missouri",29105.0,29,005,2018
"Bates County, Missouri",27940.0,29,013,2018
"Benton County, Missouri",24597.0,29,015,2018
"Carter County, Missouri",22740.0,29,035,2018
"Dade County, Missouri",21944.0,29,057,2018
"Linn County, Missouri",24376.0,29,115,2018
"Howell County, Missouri",20846.0,29,091,2018
"Johnson County, Missouri",25177.0,29,101,2018
"Laclede County, Missouri",21810.0,29,105,2018
"Maries County, Missouri",24102.0,29,125,2018
"Phelps County, Missouri",24848.0,29,161,2018
"Platte County, Missouri",42347.0,29,165,2018
"St. Francois County, Missouri",23065.0,29,187,2018
"Andrew County, Missouri",28512.0,29,003,2018
"Carroll County, Missouri",25312.0,29,033,2018
"Daviess County, Missouri",24570.0,29,061,2018
"Knox County, Missouri",22472.0,29,103,2018
"Marion County, Missouri",24311.0,29,127,2018
"Osage County, Missouri",26225.0,29,151,2018
"Ripley County, Missouri",17875.0,29,181,2018
"Warren County, Missouri",28481.0,29,219,2018
"Audrain County, Missouri",23274.0,29,007,2018
"Christian County, Missouri",27736.0,29,043,2018
"Greene County, Missouri",27625.0,29,077,2018
"Harrison County, Missouri",21627.0,29,081,2018
"St. Clair County, Missouri",23153.0,29,185,2018
"Adair County, Missouri",22703.0,29,001,2018
"Scotland County, Missouri",24255.0,29,199,2018
"Sullivan County, Missouri",22355.0,29,211,2018
"Clark County, Missouri",29056.0,29,045,2018
"Jefferson County, Missouri",29221.0,29,099,2018
"Lewis County, Missouri",23259.0,29,111,2018
"New Madrid County, Missouri",22530.0,29,143,2018
"Perry County, Missouri",25166.0,29,157,2018
"Ralls County, Missouri",26944.0,29,173,2018
