NAME,B19301_001E,state,county,year
"Washington County, Mississippi",19884.0,28,151,2018
"Perry County, Mississippi",21611.0,28,111,2018
"Choctaw County, Mississippi",20589.0,28,019,2018
"Itawamba County, Mississippi",20629.0,28,057,2018
"Carroll County, Mississippi",22567.0,28,015,2018
"Grenada County, Mississippi",21668.0,28,043,2018
"Jefferson County, Mississippi",13374.0,28,063,2018
"Greene County, Mississippi",17453.0,28,041,2018
"Marshall County, Mississippi",21352.0,28,093,2018
"Quitman County, Mississippi",15353.0,28,119,2018
"Bolivar County, Mississippi",17713.0,28,011,2018
"Lamar County, Mississippi",28934.0,28,073,2018
"Lee County, Mississippi",25467.0,28,081,2018
"Pike County, Mississippi",17954.0,28,113,2018
"Tallahatchie County, Mississippi",14943.0,28,135,2018
"Smith County, Mississippi",23164.0,28,129,2018
"Stone County, Mississippi",21931.0,28,131,2018
"Warren County, Mississippi",23793.0,28,149,2018
"Clarke County, Mississippi",22422.0,28,023,2018
"Kemper County, Mississippi",15518.0,28,069,2018
"Montgomery County, Mississippi",22913.0,28,097,2018
"Oktibbeha County, Mississippi",22136.0,28,105,2018
"Pearl River County, Mississippi",23135.0,28,109,2018
"Leake County, Mississippi",17960.0,28,079,2018
"Noxubee County, Mississippi",17637.0,28,103,2018
"Neshoba County, Mississippi",19641.0,28,099,2018
"Rankin County, Mississippi",29874.0,28,121,2018
"Tate County, Mississippi",23542.0,28,137,2018
"Lawrence County, Mississippi",21809.0,28,077,2018
"Panola County, Mississippi",19972.0,28,107,2018
"Yalobusha County, Mississippi",21140.0,28,161,2018
"Chickasaw County, Mississippi",19556.0,28,017,2018
"Copiah County, Mississippi",19434.0,28,029,2018
"George County, Mississippi",21105.0,28,039,2018
"Hinds County, Mississippi",23114.0,28,049,2018
"Newton County, Mississippi",21600.0,28,101,2018
"Union County, Mississippi",20088.0,28,145,2018
"Sharkey County, Mississippi",17877.0,28,125,2018
"Tippah County, Mississippi",20180.0,28,139,2018
"Forrest County, Mississippi",22042.0,28,035,2018
"Hancock County, Mississippi",26659.0,28,045,2018
"Lafayette County, Mississippi",26154.0,28,071,2018
"Issaquena County, Mississippi",18942.0,28,055,2018
"Lowndes County, Mississippi",24499.0,28,087,2018
"Leflore County, Mississippi",16861.0,28,083,2018
"Wilkinson County, Mississippi",13231.0,28,157,2018
"Harrison County, Mississippi",24445.0,28,047,2018
"Jefferson Davis County, Mississippi",19233.0,28,065,2018
"Lincoln County, Mississippi",21892.0,28,085,2018
"Scott County, Mississippi",21640.0,28,123,2018
"Winston County, Mississippi",24538.0,28,159,2018
"Yazoo County, Mississippi",18866.0,28,163,2018
"Benton County, Mississippi",20363.0,28,009,2018
"Franklin County, Mississippi",22769.0,28,037,2018
"Jasper County, Mississippi",21929.0,28,061,2018
"Jones County, Mississippi",22836.0,28,067,2018
"Monroe County, Mississippi",23158.0,28,095,2018
"Sunflower County, Mississippi",15464.0,28,133,2018
"Webster County, Mississippi",21109.0,28,155,2018
"Adams County, Mississippi",17851.0,28,001,2018
"Clay County, Mississippi",21076.0,28,025,2018
"Covington County, Mississippi",18353.0,28,031,2018
"Humphreys County, Mississippi",16604.0,28,053,2018
"Saline County, Missouri",22802.0,29,195,2018
"Madison County, Missouri",22119.0,29,123,2018
"Wright County, Missouri",19909.0,29,229,2018
"Vernon County, Missouri",24388.0,29,217,2018
"Nodaway County, Missouri",22151.0,29,147,2018
"Chariton County, Missouri",24470.0,29,041,2018
"Grundy County, Missouri",23249.0,29,079,2018
"Morgan County, Missouri",21265.0,29,141,2018
"Wayne County, Missouri",18759.0,29,223,2018
"Bollinger County, Missouri",20949.0,29,017,2018
"Cape Girardeau County, Missouri",26546.0,29,031,2018
"Shelby County, Missouri",23501.0,29,205,2018
"Webster County, Missouri",21682.0,29,225,2018
"Atchison County, Missouri",29009.0,29,005,2018
