NAME,B19301F_001E,state,county,year
"Benton County, Missouri",,29,015,2018
"Carter County, Missouri",-666666666.0,29,035,2018
"Dade County, Missouri",24903.0,29,057,2018
"Linn County, Missouri",77636.0,29,115,2018
"Howell County, Missouri",,29,091,2018
"Johnson County, Missouri",28724.0,29,101,2018
"Laclede County, Missouri",48437.0,29,105,2018
"Maries County, Missouri",-666666666.0,29,125,2018
"Phelps County, Missouri",12156.0,29,161,2018
"Platte County, Missouri",28341.0,29,165,2018
"St. Francois County, Missouri",10199.0,29,187,2018
"Andrew County, Missouri",,29,003,2018
"Carroll County, Missouri",12424.0,29,033,2018
"Daviess County, Missouri",26784.0,29,061,2018
"Knox County, Missouri",8630.0,29,103,2018
"Marion County, Missouri",23871.0,29,127,2018
"Osage County, Missouri",,29,151,2018
"Ripley County, Missouri",,29,181,2018
"Warren County, Missouri",9592.0,29,219,2018
"Audrain County, Missouri",11491.0,29,007,2018
"Christian County, Missouri",11061.0,29,043,2018
"Greene County, Missouri",13138.0,29,077,2018
"Harrison County, Missouri",,29,081,2018
"St. Clair County, Missouri",,29,185,2018
"Adair County, Missouri",67394.0,29,001,2018
"Scotland County, Missouri",-666666666.0,29,199,2018
"Sullivan County, Missouri",19504.0,29,211,2018
"Clark County, Missouri",-666666666.0,29,045,2018
"Jefferson County, Missouri",11449.0,29,099,2018
"Lewis County, Missouri",-666666666.0,29,111,2018
"New Madrid County, Missouri",15539.0,29,143,2018
"Perry County, Missouri",,29,157,2018
"Ralls County, Missouri",,29,173,2018
"Ray County, Missouri",5712.0,29,177,2018
"St. Louis County, Missouri",20522.0,29,189,2018
"Stone County, Missouri",26159.0,29,209,2018
"Barry County, Missouri",16872.0,29,009,2018
"Boone County, Missouri",21877.0,29,019,2018
"Cedar County, Missouri",,29,039,2018
"Crawford County, Missouri",16969.0,29,055,2018
"Iron County, Missouri",-666666666.0,29,093,2018
"Livingston County, Missouri",3758.0,29,117,2018
"Moniteau County, Missouri",20322.0,29,135,2018
"Oregon County, Missouri",7156.0,29,149,2018
"Dunklin County, Missouri",4902.0,29,069,2018
"Pettis County, Missouri",15485.0,29,159,2018
"Ste. Genevieve County, Missouri",31325.0,29,186,2018
"Randolph County, Missouri",18330.0,29,175,2018
"Franklin County, Missouri",19234.0,29,071,2018
"Howard County, Missouri",,29,089,2018
"Jackson County, Missouri",13463.0,29,095,2018
"Miller County, Missouri",4628.0,29,131,2018
"Pulaski County, Missouri",18628.0,29,169,2018
"Putnam County, Missouri",-666666666.0,29,171,2018
"Taney County, Missouri",18189.0,29,213,2018
"Texas County, Missouri",,29,215,2018
"Buchanan County, Missouri",23737.0,29,021,2018
"Caldwell County, Missouri",10932.0,29,025,2018
"Callaway County, Missouri",2074.0,29,027,2018
"Cass County, Missouri",43169.0,29,037,2018
"Clinton County, Missouri",24619.0,29,049,2018
"Cooper County, Missouri",16941.0,29,053,2018
"Dallas County, Missouri",22718.0,29,059,2018
"Gentry County, Missouri",,29,075,2018
"Hickory County, Missouri",27480.0,29,085,2018
"Lincoln County, Missouri",7324.0,29,113,2018
"Mississippi County, Missouri",,29,133,2018
"Monroe County, Missouri",-666666666.0,29,137,2018
"Newton County, Missouri",18699.0,29,145,2018
"Ozark County, Missouri",7907.0,29,153,2018
"Pike County, Missouri",21146.0,29,163,2018
"St. Charles County, Missouri",20471.0,29,183,2018
"Custer County, Montana",,30,017,2018
"Hill County, Montana",7135.0,30,041,2018
"Powder River County, Montana",,30,075,2018
"Park County, Montana",49355.0,30,067,2018
"Roosevelt County, Montana",17062.0,30,085,2018
"Blaine County, Montana",33192.0,30,005,2018
"Liberty County, Montana",,30,051,2018
"Richland County, Montana",,30,083,2018
"Teton County, Montana",,30,099,2018
"Toole County, Montana",,30,101,2018
"Fallon County, Montana",-666666666.0,30,025,2018
"Daniels County, Montana",-666666666.0,30,019,2018
"Judith Basin County, Montana",-666666666.0,30,045,2018
"Silver Bow County, Montana",17156.0,30,093,2018
"Deer Lodge County, Montana",10166.0,30,023,2018
"Jefferson County, Montana",5594.0,30,043,2018
"McCone County, Montana",-666666666.0,30,055,2018
"Wheatland County, Montana",-666666666.0,30,107,2018
"Rosebud County, Montana",50742.0,30,087,2018
"Carter County, Montana",-666666666.0,30,011,2018
"Dawson County, Montana",18916.0,30,021,2018
"Broadwater County, Montana",,30,007,2018
"Lake County, Montana",17047.0,30,047,2018
"Pondera County, Montana",,30,073,2018
"Yellowstone County, Montana",19179.0,30,111,2018
"Ravalli County, Montana",32975.0,30,081,2018
"Valley County, Montana",,30,105,2018
"Fergus County, Montana",27507.0,30,027,2018
"Mineral County, Montana",,30,061,2018
"Petroleum County, Montana",-666666666.0,30,069,2018
"Sanders County, Montana",,30,089,2018
"Flathead County, Montana",22146.0,30,029,2018
"Wibaux County, Montana",-666666666.0,30,109,2018
"Meagher County, Montana",,30,059,2018
"Carbon County, Montana",,30,009,2018
"Phillips County, Montana",,30,071,2018
"Adams County, Nebraska",14390.0,31,001,2018
"Lancaster County, Nebraska",16562.0,31,109,2018
"Boone County, Nebraska",13150.0,31,011,2018
"Rock County, Nebraska",,31,149,2018
"Banner County, Nebraska",,31,007,2018
"Sherman County, Nebraska",22421.0,31,163,2018
"Richardson County, Nebraska",15381.0,31,147,2018
"Howard County, Nebraska",18286.0,31,093,2018
"Holt County, Nebraska",33004.0,31,089,2018
"Furnas County, Nebraska",13891.0,31,065,2018
"Gosper County, Nebraska",,31,073,2018
"Saline County, Nebraska",14669.0,31,151,2018
"Sarpy County, Nebraska",17956.0,31,153,2018
"Thurston County, Nebraska",,31,173,2018
"Washington County, Nebraska",26455.0,31,177,2018
"Boyd County, Nebraska",,31,015,2018
"Cherry County, Nebraska",-666666666.0,31,031,2018
"Dodge County, Nebraska",12447.0,31,053,2018
"Fillmore County, Nebraska",6077.0,31,059,2018
"Garden County, Nebraska",,31,069,2018
"Hooker County, Nebraska",,31,091,2018
"Morrill County, Nebraska",22942.0,31,123,2018
"Nemaha County, Nebraska",11065.0,31,127,2018
"Seward County, Nebraska",28885.0,31,159,2018
"Thomas County, Nebraska",,31,171,2018
"Dakota County, Nebraska",20459.0,31,043,2018
"Webster County, Nebraska",,31,181,2018
"Antelope County, Nebraska",6048.0,31,003,2018
"Butler County, Nebraska",18271.0,31,023,2018
"Clay County, Nebraska",21648.0,31,035,2018
"Custer County, Nebraska",12169.0,31,041,2018
"Gage County, Nebraska",15820.0,31,067,2018
"Hamilton County, Nebraska",14074.0,31,081,2018
"Kearney County, Nebraska",25242.0,31,099,2018
"Keith County, Nebraska",19400.0,31,101,2018
"Madison County, Nebraska",16171.0,31,119,2018
"Perkins County, Nebraska",,31,135,2018
"Saunders County, Nebraska",9621.0,31,155,2018
"Wayne County, Nebraska",17304.0,31,179,2018
"Keya Paha County, Nebraska",,31,103,2018
"Knox County, Nebraska",25707.0,31,107,2018
"Lincoln County, Nebraska",30315.0,31,111,2018
"Pierce County, Nebraska",,31,139,2018
"Sioux County, Nebraska",-666666666.0,31,165,2018
"Cass County, Nebraska",24716.0,31,025,2018
"Dixon County, Nebraska",19498.0,31,051,2018
"Dundy County, Nebraska",-666666666.0,31,057,2018
"Greeley County, Nebraska",38520.0,31,077,2018
"Hall County, Nebraska",15079.0,31,079,2018
"Otoe County, Nebraska",16827.0,31,131,2018
"Red Willow County, Nebraska",8719.0,31,145,2018
"Dawes County, Nebraska",,31,045,2018
"Cheyenne County, Nebraska",9254.0,31,033,2018
"Dawson County, Nebraska",11664.0,31,047,2018
"Valley County, Nebraska",,31,175,2018
"McPherson County, Nebraska",,31,117,2018
"Nance County, Nebraska",,31,125,2018
"Stanton County, Nebraska",,31,167,2018
"Harlan County, Nebraska",23387.0,31,083,2018
"Blaine County, Nebraska",-666666666.0,31,009,2018
"Buffalo County, Nebraska",18106.0,31,019,2018
"Deuel County, Nebraska",,31,049,2018
"Hitchcock County, Nebraska",,31,087,2018
"Platte County, Nebraska",19438.0,31,141,2018
"Thayer County, Nebraska",13624.0,31,169,2018
"Box Butte County, Nebraska",24987.0,31,013,2018
"Churchill County, Nevada",10698.0,32,001,2018
"Douglas County, Nevada",16740.0,32,005,2018
"Pershing County, Nevada",5903.0,32,027,2018
"Esmeralda County, Nevada",29726.0,32,009,2018
"Humboldt County, Nevada",23977.0,32,013,2018
"Mineral County, Nevada",23331.0,32,021,2018
"White Pine County, Nevada",16327.0,32,033,2018
"Elko County, Nevada",21074.0,32,007,2018
"Lincoln County, Nevada",10288.0,32,017,2018
"Nye County, Nevada",16801.0,32,023,2018
"Storey County, Nevada",,32,029,2018
"Washoe County, Nevada",17979.0,32,031,2018
"Clark County, Nevada",17024.0,32,003,2018
"Carson City, Nevada",16127.0,32,510,2018
"Lyon County, Nevada",23497.0,32,019,2018
"Cheshire County, New Hampshire",17008.0,33,005,2018
"Merrimack County, New Hampshire",22118.0,33,013,2018
"Grafton County, New Hampshire",16345.0,33,009,2018
"Rockingham County, New Hampshire",33496.0,33,015,2018
"Belknap County, New Hampshire",,33,001,2018
"Sullivan County, New Hampshire",15908.0,33,019,2018
"Hillsborough County, New Hampshire",31171.0,33,011,2018
"Strafford County, New Hampshire",15470.0,33,017,2018
"Coos County, New Hampshire",7933.0,33,007,2018
"Carroll County, New Hampshire",5897.0,33,003,2018
"Monmouth County, New Jersey",20042.0,34,025,2018
"Sussex County, New Jersey",25202.0,34,037,2018
"Cumberland County, New Jersey",13127.0,34,011,2018
"Essex County, New Jersey",18793.0,34,013,2018
"Ocean County, New Jersey",18591.0,34,029,2018
"Gloucester County, New Jersey",22094.0,34,015,2018
"Salem County, New Jersey",17006.0,34,033,2018
"Passaic County, New Jersey",17250.0,34,031,2018
"Camden County, New Jersey",16208.0,34,007,2018
"Bergen County, New Jersey",25614.0,34,003,2018
"Warren County, New Jersey",16248.0,34,041,2018
"Hudson County, New Jersey",19935.0,34,017,2018
"Burlington County, New Jersey",24935.0,34,005,2018
"Morris County, New Jersey",24406.0,34,027,2018
"Rio Arriba County, New Mexico",,35,039,2018
"San Miguel County, New Mexico",17244.0,35,047,2018
"Torrance County, New Mexico",14578.0,35,057,2018
"Otero County, New Mexico",11801.0,35,035,2018
"Cibola County, New Mexico",17033.0,35,006,2018
"Guadalupe County, New Mexico",13743.0,35,019,2018
"Catron County, New Mexico",24388.0,35,003,2018
"Grant County, New Mexico",17718.0,35,017,2018
"Luna County, New Mexico",12172.0,35,029,2018
"McKinley County, New Mexico",22079.0,35,031,2018
"Taos County, New Mexico",24578.0,35,055,2018
"Colfax County, New Mexico",19148.0,35,007,2018
"Eddy County, New Mexico",20240.0,35,015,2018
"Mora County, New Mexico",16872.0,35,033,2018
"Quay County, New Mexico",10534.0,35,037,2018
"Lincoln County, New Mexico",22989.0,35,027,2018
"Lea County, New Mexico",25349.0,35,025,2018
"Santa Fe County, New Mexico",20801.0,35,049,2018
"Sierra County, New Mexico",97082.0,35,051,2018
"Socorro County, New Mexico",17598.0,35,053,2018
"Doña Ana County, New Mexico",15297.0,35,013,2018
"Schoharie County, New York",14483.0,36,095,2018
"Onondaga County, New York",16564.0,36,067,2018
"Clinton County, New York",8418.0,36,019,2018
"Seneca County, New York",11463.0,36,099,2018
"Putnam County, New York",24254.0,36,079,2018
"Franklin County, New York",18594.0,36,033,2018
"Ontario County, New York",16946.0,36,069,2018
"Queens County, New York",20788.0,36,081,2018
"Steuben County, New York",13733.0,36,101,2018
"Hamilton County, New York",14779.0,36,041,2018
"Washington County, New York",9981.0,36,115,2018
"Chautauqua County, New York",12518.0,36,013,2018
"Kings County, New York",17639.0,36,047,2018
"New York County, New York",20513.0,36,061,2018
"Tioga County, New York",23514.0,36,107,2018
"Cayuga County, New York",11737.0,36,011,2018
"Orleans County, New York",8239.0,36,073,2018
"Saratoga County, New York",29970.0,36,091,2018
"Rockland County, New York",20612.0,36,087,2018
"Columbia County, New York",15400.0,36,021,2018
"Lewis County, New York",16401.0,36,049,2018
"Niagara County, New York",16367.0,36,063,2018
"Westchester County, New York",21259.0,36,119,2018
"Delaware County, New York",7398.0,36,025,2018
"Essex County, New York",28005.0,36,031,2018
"Montgomery County, New York",17955.0,36,057,2018
"Nassau County, New York",21598.0,36,059,2018
"Richmond County, New York",20657.0,36,085,2018
"Schuyler County, New York",,36,097,2018
"Tompkins County, New York",9754.0,36,109,2018
"Chenango County, New York",15990.0,36,017,2018
"Cortland County, New York",21670.0,36,023,2018
"Jefferson County, New York",16331.0,36,045,2018
"Oneida County, New York",10395.0,36,065,2018
"Suffolk County, New York",20310.0,36,103,2018
"Wyoming County, New York",16431.0,36,121,2018
"Chemung County, New York",14627.0,36,015,2018
"Oswego County, New York",7890.0,36,075,2018
"Otsego County, New York",12124.0,36,077,2018
"Wayne County, New York",20485.0,36,117,2018
"Albany County, New York",18581.0,36,001,2018
"Broome County, New York",14786.0,36,007,2018
"Erie County, New York",14304.0,36,029,2018
"Madison County, New York",17757.0,36,053,2018
"Sullivan County, New York",15303.0,36,105,2018
"Mitchell County, North Carolina",11866.0,37,121,2018
"Genesee County, New York",15730.0,36,037,2018
"Orange County, New York",21514.0,36,071,2018
"Greene County, North Carolina",7311.0,37,079,2018
"Chowan County, North Carolina",6288.0,37,041,2018
"Caldwell County, North Carolina",10008.0,37,027,2018
"Catawba County, North Carolina",10125.0,37,035,2018
"Craven County, North Carolina",17512.0,37,049,2018
"Edgecombe County, North Carolina",10392.0,37,065,2018
"Harnett County, North Carolina",13538.0,37,085,2018
"Henderson County, North Carolina",14167.0,37,089,2018
"Hyde County, North Carolina",19979.0,37,095,2018
"Mecklenburg County, North Carolina",14634.0,37,119,2018
"Northampton County, North Carolina",8571.0,37,131,2018
"Rowan County, North Carolina",11380.0,37,159,2018
"Vance County, North Carolina",14431.0,37,181,2018
"Currituck County, North Carolina",24044.0,37,053,2018
"Union County, North Carolina",15172.0,37,179,2018
"Forsyth County, North Carolina",12631.0,37,067,2018
"Nash County, North Carolina",11738.0,37,127,2018
"Bladen County, North Carolina",13891.0,37,017,2018
"Dare County, North Carolina",19787.0,37,055,2018
"Warren County, North Carolina",20241.0,37,185,2018
"Wilson County, North Carolina",10904.0,37,195,2018
"Bertie County, North Carolina",8676.0,37,015,2018
"Gates County, North Carolina",,37,073,2018
"Graham County, North Carolina",,37,075,2018
"Martin County, North Carolina",10351.0,37,117,2018
"Madison County, North Carolina",6426.0,37,115,2018
"Pamlico County, North Carolina",11182.0,37,137,2018
"Perquimans County, North Carolina",4300.0,37,143,2018
"Polk County, North Carolina",8420.0,37,149,2018
"Randolph County, North Carolina",20100.0,37,151,2018
"Rockingham County, North Carolina",9178.0,37,157,2018
"Stokes County, North Carolina",3925.0,37,169,2018
"Washington County, North Carolina",8431.0,37,187,2018
"Camden County, North Carolina",21917.0,37,029,2018
"Clay County, North Carolina",,37,043,2018
"Cumberland County, North Carolina",18440.0,37,051,2018
"Gaston County, North Carolina",11738.0,37,071,2018
"Guilford County, North Carolina",14439.0,37,081,2018
"Jackson County, North Carolina",14216.0,37,099,2018
"Moore County, North Carolina",14769.0,37,125,2018
"Robeson County, North Carolina",8571.0,37,155,2018
"Stanly County, North Carolina",14522.0,37,167,2018
"Wake County, North Carolina",16050.0,37,183,2018
"Yancey County, North Carolina",,37,199,2018
"Chatham County, North Carolina",10861.0,37,037,2018
"McDowell County, North Carolina",10289.0,37,111,2018
"Johnston County, North Carolina",10994.0,37,101,2018
"Jones County, North Carolina",22779.0,37,103,2018
"Person County, North Carolina",6639.0,37,145,2018
"Brunswick County, North Carolina",13779.0,37,019,2018
"Ashe County, North Carolina",15555.0,37,009,2018
"Beaufort County, North Carolina",14370.0,37,013,2018
"Lenoir County, North Carolina",8904.0,37,107,2018
"Rutherford County, North Carolina",18744.0,37,161,2018
"Lincoln County, North Carolina",14010.0,37,109,2018
"Onslow County, North Carolina",19160.0,37,133,2018
"Orange County, North Carolina",13452.0,37,135,2018
"Sampson County, North Carolina",10954.0,37,163,2018
"Yadkin County, North Carolina",12290.0,37,197,2018
"Avery County, North Carolina",18629.0,37,011,2018
"Burke County, North Carolina",7989.0,37,023,2018
"Caswell County, North Carolina",10812.0,37,033,2018
"Davie County, North Carolina",17326.0,37,059,2018
"Duplin County, North Carolina",8410.0,37,061,2018
"Durham County, North Carolina",16059.0,37,063,2018
"Lee County, North Carolina",15650.0,37,105,2018
"New Hanover County, North Carolina",18589.0,37,129,2018
"Wayne County, North Carolina",10323.0,37,191,2018
"Scotland County, North Carolina",15036.0,37,165,2018
"Halifax County, North Carolina",23061.0,37,083,2018
"Alamance County, North Carolina",11355.0,37,001,2018
"Burke County, North Dakota",17965.0,38,013,2018
"Mountrail County, North Dakota",31642.0,38,061,2018
"Williams County, North Dakota",20625.0,38,105,2018
"Billings County, North Dakota",,38,007,2018
"Kidder County, North Dakota",117211.0,38,043,2018
"Cavalier County, North Dakota",17820.0,38,019,2018
"Grant County, North Dakota",-666666666.0,38,037,2018
"Pembina County, North Dakota",39196.0,38,067,2018
"Steele County, North Dakota",-666666666.0,38,091,2018
"Hettinger County, North Dakota",,38,041,2018
"LaMoure County, North Dakota",20237.0,38,045,2018
"Morton County, North Dakota",27154.0,38,059,2018
"Cass County, North Dakota",16797.0,38,017,2018
"Dunn County, North Dakota",35743.0,38,025,2018
"Emmons County, North Dakota",,38,029,2018
"McIntosh County, North Dakota",-666666666.0,38,051,2018
"Nelson County, North Dakota",18080.0,38,063,2018
"Richland County, North Dakota",14729.0,38,077,2018
"Rolette County, North Dakota",9746.0,38,079,2018
"Walsh County, North Dakota",19104.0,38,099,2018
"Adams County, North Dakota",-666666666.0,38,001,2018
"Bottineau County, North Dakota",28528.0,38,009,2018
"Barnes County, North Dakota",2077.0,38,003,2018
"Eddy County, North Dakota",-666666666.0,38,027,2018
"Grand Forks County, North Dakota",21062.0,38,035,2018
"McKenzie County, North Dakota",27385.0,38,053,2018
"Mercer County, North Dakota",15300.0,38,057,2018
"McLean County, North Dakota",14708.0,38,055,2018
"Pierce County, North Dakota",,38,069,2018
"Ransom County, North Dakota",,38,073,2018
"Sioux County, North Dakota",35270.0,38,085,2018
"Bowman County, North Dakota",,38,011,2018
"Golden Valley County, North Dakota",-666666666.0,38,033,2018
"Logan County, North Dakota",,38,047,2018
"Towner County, North Dakota",,38,095,2018
"Stutsman County, North Dakota",42168.0,38,093,2018
"Divide County, North Dakota",-666666666.0,38,023,2018
"Foster County, North Dakota",-666666666.0,38,031,2018
"Sargent County, North Dakota",-666666666.0,38,081,2018
"Slope County, North Dakota",-666666666.0,38,087,2018
"Stark County, North Dakota",6812.0,38,089,2018
"Gallia County, Ohio",,39,053,2018
"Huron County, Ohio",14283.0,39,077,2018
"Athens County, Ohio",17033.0,39,009,2018
"Adams County, Ohio",18808.0,39,001,2018
"Medina County, Ohio",14167.0,39,103,2018
"Union County, Ohio",19515.0,39,159,2018
"Champaign County, Ohio",44214.0,39,021,2018
"Paulding County, Ohio",12937.0,39,125,2018
"Greene County, Ohio",17855.0,39,057,2018
"Franklin County, Ohio",17867.0,39,049,2018
"Marion County, Ohio",4895.0,39,101,2018
"Morgan County, Ohio",,39,115,2018
"Wayne County, Ohio",17000.0,39,169,2018
"Wyandot County, Ohio",21352.0,39,175,2018
"Butler County, Ohio",13902.0,39,017,2018
"Harrison County, Ohio",30364.0,39,067,2018
"Knox County, Ohio",28981.0,39,083,2018
"Richland County, Ohio",7338.0,39,139,2018
"Vinton County, Ohio",-666666666.0,39,163,2018
"Hancock County, Ohio",28646.0,39,063,2018
"Fairfield County, Ohio",18598.0,39,045,2018
"Defiance County, Ohio",25197.0,39,039,2018
"Henry County, Ohio",15652.0,39,069,2018
"Jefferson County, Ohio",9912.0,39,081,2018
"Putnam County, Ohio",17412.0,39,137,2018
"Clinton County, Ohio",29995.0,39,027,2018
"Fayette County, Ohio",11653.0,39,047,2018
"Pickaway County, Ohio",10352.0,39,129,2018
"Logan County, Ohio",18693.0,39,091,2018
"Summit County, Ohio",17652.0,39,153,2018
"Sandusky County, Ohio",16458.0,39,143,2018
"Shelby County, Ohio",7286.0,39,149,2018
"Cottonwood County, Minnesota",7322.0,27,033,2018
"Scott County, Minnesota",15585.0,27,139,2018
"Dodge County, Minnesota",20021.0,27,039,2018
"Wabasha County, Minnesota",12133.0,27,157,2018
"Pipestone County, Minnesota",10473.0,27,117,2018
"Crow Wing County, Minnesota",48753.0,27,035,2018
"Norman County, Minnesota",7399.0,27,107,2018
"Wright County, Minnesota",16928.0,27,171,2018
"Nicollet County, Minnesota",11656.0,27,103,2018
"Douglas County, Minnesota",27565.0,27,041,2018
"Grant County, Minnesota",,27,051,2018
"Kittson County, Minnesota",,27,069,2018
"Le Sueur County, Minnesota",23040.0,27,079,2018
"Mahnomen County, Minnesota",9013.0,27,087,2018
"Chisago County, Minnesota",16913.0,27,025,2018
"Redwood County, Minnesota",16158.0,27,127,2018
"Yellow Medicine County, Minnesota",24025.0,27,173,2018
"Todd County, Minnesota",17411.0,27,153,2018
"Beltrami County, Minnesota",8602.0,27,007,2018
"Blue Earth County, Minnesota",15861.0,27,013,2018
"Houston County, Minnesota",57714.0,27,055,2018
"Lac qui Parle County, Minnesota",11656.0,27,073,2018
"Lake of the Woods County, Minnesota",-666666666.0,27,077,2018
"Otter Tail County, Minnesota",17688.0,27,111,2018
"Waseca County, Minnesota",62691.0,27,161,2018
"St. Louis County, Minnesota",15756.0,27,137,2018
"Anoka County, Minnesota",15827.0,27,003,2018
"Stearns County, Minnesota",14063.0,27,145,2018
"Lincoln County, Minnesota",,27,081,2018
"Marshall County, Minnesota",19172.0,27,089,2018
"Mille Lacs County, Minnesota",40931.0,27,095,2018
"Washington County, Minnesota",27069.0,27,163,2018
"Carlton County, Minnesota",21882.0,27,017,2018
"Kanabec County, Minnesota",5925.0,27,065,2018
"Koochiching County, Minnesota",,27,071,2018
"Red Lake County, Minnesota",34857.0,27,125,2018
"Morrison County, Minnesota",14910.0,27,097,2018
"Rice County, Minnesota",12579.0,27,131,2018
"Steele County, Minnesota",16137.0,27,147,2018
"Aitkin County, Minnesota",7549.0,27,001,2018
"Faribault County, Minnesota",22888.0,27,043,2018
"Murray County, Minnesota",18339.0,27,101,2018
"Kandiyohi County, Minnesota",13822.0,27,067,2018
"Lake County, Minnesota",44105.0,27,075,2018
"Rock County, Minnesota",8842.0,27,133,2018
"Sibley County, Minnesota",12789.0,27,143,2018
"Traverse County, Minnesota",,27,155,2018
"Becker County, Minnesota",9615.0,27,005,2018
"Hennepin County, Minnesota",17370.0,27,053,2018
"Brown County, Minnesota",10335.0,27,015,2018
"Chippewa County, Minnesota",12197.0,27,023,2018
"Clearwater County, Minnesota",48627.0,27,029,2018
"Hubbard County, Minnesota",13780.0,27,057,2018
"Isanti County, Minnesota",17025.0,27,059,2018
"Martin County, Minnesota",31735.0,27,091,2018
"Mower County, Minnesota",20398.0,27,099,2018
"Pine County, Minnesota",17002.0,27,115,2018
"Olmsted County, Minnesota",19585.0,27,109,2018
"Wadena County, Minnesota",13088.0,27,159,2018
"Benton County, Minnesota",28837.0,27,009,2018
"Freeborn County, Minnesota",13930.0,27,047,2018
"McLeod County, Minnesota",8347.0,27,085,2018
"Pope County, Minnesota",11219.0,27,121,2018
"Stevens County, Minnesota",6126.0,27,149,2018
"Swift County, Minnesota",14530.0,27,151,2018
"Holmes County, Mississippi",,28,051,2018
"Amite County, Mississippi",-666666666.0,28,005,2018
"Calhoun County, Mississippi",8677.0,28,013,2018
"Tishomingo County, Mississippi",11123.0,28,141,2018
"Wayne County, Mississippi",,28,153,2018
"Austin County, Texas",13933.0,48,015,2018
"Kenedy County, Texas",,48,261,2018
"Nueces County, Texas",25203.0,48,355,2018
"Colorado County, Texas",16765.0,48,089,2018
"San Patricio County, Texas",20831.0,48,409,2018
"Rains County, Texas",20302.0,48,379,2018
"Randall County, Texas",21103.0,48,381,2018
"Real County, Texas",20027.0,48,385,2018
"San Saba County, Texas",10439.0,48,411,2018
"Schleicher County, Texas",21056.0,48,413,2018
"Sterling County, Texas",30839.0,48,431,2018
