NAME,B19301D_001E,state,county,year
"Iron County, Missouri",,29,093,2018
"Livingston County, Missouri",22986.0,29,117,2018
"Moniteau County, Missouri",,29,135,2018
"Oregon County, Missouri",,29,149,2018
"Dunklin County, Missouri",,29,069,2018
"Pettis County, Missouri",47055.0,29,159,2018
"Ste. Genevieve County, Missouri",44143.0,29,186,2018
"Randolph County, Missouri",13978.0,29,175,2018
"Franklin County, Missouri",37006.0,29,071,2018
"Howard County, Missouri",58650.0,29,089,2018
"Jackson County, Missouri",25497.0,29,095,2018
"Miller County, Missouri",1735.0,29,131,2018
"Pulaski County, Missouri",23476.0,29,169,2018
"Putnam County, Missouri",29347.0,29,171,2018
"Taney County, Missouri",49095.0,29,213,2018
"Texas County, Missouri",42856.0,29,215,2018
"Buchanan County, Missouri",40683.0,29,021,2018
"Caldwell County, Missouri",29202.0,29,025,2018
"Callaway County, Missouri",16491.0,29,027,2018
"Cass County, Missouri",24078.0,29,037,2018
"Clinton County, Missouri",,29,049,2018
"Cooper County, Missouri",9481.0,29,053,2018
"Dallas County, Missouri",34718.0,29,059,2018
"Gentry County, Missouri",32938.0,29,075,2018
"Hickory County, Missouri",,29,085,2018
"Lincoln County, Missouri",15975.0,29,113,2018
"Mississippi County, Missouri",,29,133,2018
"Monroe County, Missouri",11668.0,29,137,2018
"Newton County, Missouri",18540.0,29,145,2018
"Ozark County, Missouri",,29,153,2018
"Pike County, Missouri",9471.0,29,163,2018
"St. Charles County, Missouri",36986.0,29,183,2018
"Custer County, Montana",17226.0,30,017,2018
"Hill County, Montana",22944.0,30,041,2018
"Powder River County, Montana",-666666666.0,30,075,2018
"Park County, Montana",,30,067,2018
"Roosevelt County, Montana",56071.0,30,085,2018
"Blaine County, Montana",,30,005,2018
"Liberty County, Montana",-666666666.0,30,051,2018
"Richland County, Montana",-666666666.0,30,083,2018
"Teton County, Montana",,30,099,2018
"Toole County, Montana",11860.0,30,101,2018
"Fallon County, Montana",,30,025,2018
"Daniels County, Montana",,30,019,2018
"Judith Basin County, Montana",-666666666.0,30,045,2018
"Silver Bow County, Montana",17820.0,30,093,2018
"Deer Lodge County, Montana",51116.0,30,023,2018
"Jefferson County, Montana",,30,043,2018
"McCone County, Montana",,30,055,2018
"Wheatland County, Montana",,30,107,2018
"Rosebud County, Montana",3391.0,30,087,2018
"Carter County, Montana",-666666666.0,30,011,2018
"Dawson County, Montana",,30,021,2018
"Broadwater County, Montana",-666666666.0,30,007,2018
"Lake County, Montana",23147.0,30,047,2018
"Pondera County, Montana",28520.0,30,073,2018
"Yellowstone County, Montana",29741.0,30,111,2018
"Ravalli County, Montana",18601.0,30,081,2018
"Valley County, Montana",,30,105,2018
"Fergus County, Montana",15489.0,30,027,2018
"Mineral County, Montana",,30,061,2018
"Petroleum County, Montana",,30,069,2018
"Sanders County, Montana",13878.0,30,089,2018
"Flathead County, Montana",21353.0,30,029,2018
"Wibaux County, Montana",,30,109,2018
