NAME,B19301I_001E,state,county,year
"Boone County, Missouri",18415.0,29,019,2018
"Cedar County, Missouri",9284.0,29,039,2018
"Crawford County, Missouri",13002.0,29,055,2018
"Iron County, Missouri",21651.0,29,093,2018
"Livingston County, Missouri",2484.0,29,117,2018
"Moniteau County, Missouri",15401.0,29,135,2018
"Oregon County, Missouri",11087.0,29,149,2018
"Dunklin County, Missouri",7771.0,29,069,2018
"Pettis County, Missouri",13651.0,29,159,2018
"Ste. Genevieve County, Missouri",26599.0,29,186,2018
"Randolph County, Missouri",12454.0,29,175,2018
"Franklin County, Missouri",23465.0,29,071,2018
"Howard County, Missouri",13447.0,29,089,2018
"Jackson County, Missouri",16427.0,29,095,2018
"Miller County, Missouri",9077.0,29,131,2018
"Pulaski County, Missouri",19633.0,29,169,2018
"Putnam County, Missouri",,29,171,2018
"Taney County, Missouri",13791.0,29,213,2018
"Texas County, Missouri",10530.0,29,215,2018
"Buchanan County, Missouri",18868.0,29,021,2018
"Caldwell County, Missouri",22065.0,29,025,2018
"Callaway County, Missouri",20676.0,29,027,2018
"Cass County, Missouri",25999.0,29,037,2018
"Clinton County, Missouri",29583.0,29,049,2018
"Cooper County, Missouri",15734.0,29,053,2018
"Dallas County, Missouri",7545.0,29,059,2018
"Gentry County, Missouri",10591.0,29,075,2018
"Hickory County, Missouri",31517.0,29,085,2018
"Lincoln County, Missouri",15124.0,29,113,2018
"Mississippi County, Missouri",4207.0,29,133,2018
"Monroe County, Missouri",11751.0,29,137,2018
"Newton County, Missouri",14909.0,29,145,2018
"Ozark County, Missouri",5185.0,29,153,2018
"Pike County, Missouri",12074.0,29,163,2018
"St. Charles County, Missouri",24296.0,29,183,2018
"Custer County, Montana",22958.0,30,017,2018
"Hill County, Montana",8330.0,30,041,2018
"Powder River County, Montana",16400.0,30,075,2018
"Park County, Montana",15881.0,30,067,2018
"Roosevelt County, Montana",7315.0,30,085,2018
"Blaine County, Montana",11481.0,30,005,2018
"Liberty County, Montana",25598.0,30,051,2018
"Richland County, Montana",21289.0,30,083,2018
"Teton County, Montana",12993.0,30,099,2018
"Toole County, Montana",18393.0,30,101,2018
"Fallon County, Montana",12010.0,30,025,2018
"Daniels County, Montana",39654.0,30,019,2018
"Judith Basin County, Montana",10648.0,30,045,2018
"Silver Bow County, Montana",16896.0,30,093,2018
"Deer Lodge County, Montana",6736.0,30,023,2018
"Jefferson County, Montana",18869.0,30,043,2018
"McCone County, Montana",5066.0,30,055,2018
"Wheatland County, Montana",24991.0,30,107,2018
"Rosebud County, Montana",17659.0,30,087,2018
"Carter County, Montana",,30,011,2018
"Dawson County, Montana",20504.0,30,021,2018
"Broadwater County, Montana",19635.0,30,007,2018
"Lake County, Montana",14036.0,30,047,2018
"Pondera County, Montana",4183.0,30,073,2018
"Yellowstone County, Montana",17637.0,30,111,2018
"Ravalli County, Montana",17215.0,30,081,2018
"Valley County, Montana",19269.0,30,105,2018
"Fergus County, Montana",35937.0,30,027,2018
"Mineral County, Montana",19985.0,30,061,2018
"Petroleum County, Montana",-666666666.0,30,069,2018
"Sanders County, Montana",17342.0,30,089,2018
"Flathead County, Montana",19284.0,30,029,2018
"Wibaux County, Montana",20196.0,30,109,2018
"Meagher County, Montana",,30,059,2018
"Carbon County, Montana",17413.0,30,009,2018
"Phillips County, Montana",7183.0,30,071,2018
"Adams County, Nebraska",16488.0,31,001,2018
"Lancaster County, Nebraska",17269.0,31,109,2018
"Boone County, Nebraska",14583.0,31,011,2018
"Rock County, Nebraska",,31,149,2018
"Banner County, Nebraska",10169.0,31,007,2018
"Sherman County, Nebraska",23065.0,31,163,2018
"Richardson County, Nebraska",24706.0,31,147,2018
"Howard County, Nebraska",17776.0,31,093,2018
"Holt County, Nebraska",12864.0,31,089,2018
"Furnas County, Nebraska",15902.0,31,065,2018
"Gosper County, Nebraska",9667.0,31,073,2018
"Saline County, Nebraska",13393.0,31,151,2018
"Sarpy County, Nebraska",20314.0,31,153,2018
"Thurston County, Nebraska",8725.0,31,173,2018
"Washington County, Nebraska",23567.0,31,177,2018
"Boyd County, Nebraska",,31,015,2018
"Cherry County, Nebraska",10604.0,31,031,2018
"Dodge County, Nebraska",11144.0,31,053,2018
"Fillmore County, Nebraska",10601.0,31,059,2018
"Garden County, Nebraska",34716.0,31,069,2018
"Hooker County, Nebraska",29514.0,31,091,2018
"Morrill County, Nebraska",13090.0,31,123,2018
"Nemaha County, Nebraska",13281.0,31,127,2018
"Seward County, Nebraska",28524.0,31,159,2018
"Thomas County, Nebraska",,31,171,2018
"Dakota County, Nebraska",18737.0,31,043,2018
"Webster County, Nebraska",14419.0,31,181,2018
"Antelope County, Nebraska",12075.0,31,003,2018
"Butler County, Nebraska",12481.0,31,023,2018
"Clay County, Nebraska",12467.0,31,035,2018
"Custer County, Nebraska",11885.0,31,041,2018
"Gage County, Nebraska",19553.0,31,067,2018
"Hamilton County, Nebraska",13347.0,31,081,2018
"Kearney County, Nebraska",14866.0,31,099,2018
"Keith County, Nebraska",16034.0,31,101,2018
"Madison County, Nebraska",15349.0,31,119,2018
"Perkins County, Nebraska",13280.0,31,135,2018
"Saunders County, Nebraska",15794.0,31,155,2018
"Wayne County, Nebraska",15623.0,31,179,2018
"Keya Paha County, Nebraska",,31,103,2018
"Knox County, Nebraska",15080.0,31,107,2018
"Lincoln County, Nebraska",16493.0,31,111,2018
"Pierce County, Nebraska",36376.0,31,139,2018
"Sioux County, Nebraska",,31,165,2018
"Cass County, Nebraska",26076.0,31,025,2018
"Dixon County, Nebraska",15610.0,31,051,2018
"Dundy County, Nebraska",10185.0,31,057,2018
"Greeley County, Nebraska",15552.0,31,077,2018
"Hall County, Nebraska",15682.0,31,079,2018
"Otoe County, Nebraska",16245.0,31,131,2018
"Red Willow County, Nebraska",12502.0,31,145,2018
"Dawes County, Nebraska",42707.0,31,045,2018
"Cheyenne County, Nebraska",17519.0,31,033,2018
"Dawson County, Nebraska",16156.0,31,047,2018
"Valley County, Nebraska",17860.0,31,175,2018
"McPherson County, Nebraska",,31,117,2018
"Nance County, Nebraska",30259.0,31,125,2018
"Stanton County, Nebraska",16676.0,31,167,2018
"Harlan County, Nebraska",17991.0,31,083,2018
"Blaine County, Nebraska",-666666666.0,31,009,2018
"Buffalo County, Nebraska",15472.0,31,019,2018
"Deuel County, Nebraska",10132.0,31,049,2018
"Hitchcock County, Nebraska",8371.0,31,087,2018
"Platte County, Nebraska",15928.0,31,141,2018
"Thayer County, Nebraska",16003.0,31,169,2018
"Box Butte County, Nebraska",21402.0,31,013,2018
"Churchill County, Nevada",16045.0,32,001,2018
"Douglas County, Nevada",19366.0,32,005,2018
"Pershing County, Nevada",9242.0,32,027,2018
"Esmeralda County, Nevada",12966.0,32,009,2018
"Humboldt County, Nevada",22223.0,32,013,2018
"Mineral County, Nevada",19331.0,32,021,2018
"White Pine County, Nevada",17686.0,32,033,2018
"Elko County, Nevada",22972.0,32,007,2018
"Lincoln County, Nevada",6628.0,32,017,2018
"Nye County, Nevada",18610.0,32,023,2018
"Storey County, Nevada",19067.0,32,029,2018
"Washoe County, Nevada",18262.0,32,031,2018
"Clark County, Nevada",18378.0,32,003,2018
"Carson City, Nevada",17983.0,32,510,2018
"Lyon County, Nevada",19450.0,32,019,2018
"Cheshire County, New Hampshire",15873.0,33,005,2018
"Merrimack County, New Hampshire",22066.0,33,013,2018
"Grafton County, New Hampshire",20034.0,33,009,2018
"Rockingham County, New Hampshire",29944.0,33,015,2018
"Belknap County, New Hampshire",24989.0,33,001,2018
"Sullivan County, New Hampshire",15346.0,33,019,2018
"Hillsborough County, New Hampshire",22455.0,33,011,2018
"Strafford County, New Hampshire",24456.0,33,017,2018
"Coos County, New Hampshire",10751.0,33,007,2018
"Carroll County, New Hampshire",33978.0,33,003,2018
"Monmouth County, New Jersey",26188.0,34,025,2018
"Sussex County, New Jersey",32354.0,34,037,2018
"Cumberland County, New Jersey",14660.0,34,011,2018
"Essex County, New Jersey",21871.0,34,013,2018
"Ocean County, New Jersey",22247.0,34,029,2018
"Gloucester County, New Jersey",26631.0,34,015,2018
"Salem County, New Jersey",15143.0,34,033,2018
"Passaic County, New Jersey",19202.0,34,031,2018
"Camden County, New Jersey",17453.0,34,007,2018
"Bergen County, New Jersey",31099.0,34,003,2018
"Warren County, New Jersey",23875.0,34,041,2018
"Hudson County, New Jersey",22323.0,34,017,2018
"Burlington County, New Jersey",26722.0,34,005,2018
"Morris County, New Jersey",30806.0,34,027,2018
"Rio Arriba County, New Mexico",,35,039,2018
"San Miguel County, New Mexico",19164.0,35,047,2018
"Torrance County, New Mexico",16293.0,35,057,2018
"Otero County, New Mexico",15411.0,35,035,2018
"Cibola County, New Mexico",18743.0,35,006,2018
"Guadalupe County, New Mexico",17923.0,35,019,2018
"Catron County, New Mexico",12350.0,35,003,2018
"Grant County, New Mexico",18229.0,35,017,2018
"Luna County, New Mexico",12869.0,35,029,2018
"McKinley County, New Mexico",18832.0,35,031,2018
"Taos County, New Mexico",18440.0,35,055,2018
"Colfax County, New Mexico",17849.0,35,007,2018
"Eddy County, New Mexico",21288.0,35,015,2018
"Mora County, New Mexico",16971.0,35,033,2018
"Quay County, New Mexico",14643.0,35,037,2018
"Lincoln County, New Mexico",15998.0,35,027,2018
"Lea County, New Mexico",18770.0,35,025,2018
"Santa Fe County, New Mexico",23668.0,35,049,2018
"Sierra County, New Mexico",25581.0,35,051,2018
"Socorro County, New Mexico",12331.0,35,053,2018
"Doña Ana County, New Mexico",15486.0,35,013,2018
"Schoharie County, New York",19061.0,36,095,2018
"Onondaga County, New York",17559.0,36,067,2018
"Clinton County, New York",9360.0,36,019,2018
"Seneca County, New York",9320.0,36,099,2018
"Putnam County, New York",27732.0,36,079,2018
"Franklin County, New York",15990.0,36,033,2018
"Ontario County, New York",14483.0,36,069,2018
"Queens County, New York",22778.0,36,081,2018
"Steuben County, New York",18240.0,36,101,2018
"Hamilton County, New York",9325.0,36,041,2018
"Washington County, New York",8787.0,36,115,2018
"Chautauqua County, New York",11568.0,36,013,2018
"Kings County, New York",20800.0,36,047,2018
"New York County, New York",26745.0,36,061,2018
"Tioga County, New York",22361.0,36,107,2018
"Cayuga County, New York",11259.0,36,011,2018
"Orleans County, New York",10457.0,36,073,2018
"Saratoga County, New York",27637.0,36,091,2018
"Rockland County, New York",24519.0,36,087,2018
"Columbia County, New York",18694.0,36,021,2018
"Lewis County, New York",15889.0,36,049,2018
"Niagara County, New York",14328.0,36,063,2018
"Westchester County, New York",25941.0,36,119,2018
"Delaware County, New York",15753.0,36,025,2018
"Essex County, New York",8876.0,36,031,2018
"Montgomery County, New York",16622.0,36,057,2018
"Nassau County, New York",27304.0,36,059,2018
"Richmond County, New York",23064.0,36,085,2018
"Schuyler County, New York",15710.0,36,097,2018
"Tompkins County, New York",16655.0,36,109,2018
"Chenango County, New York",36292.0,36,017,2018
"Cortland County, New York",18305.0,36,023,2018
"Jefferson County, New York",15528.0,36,045,2018
"Oneida County, New York",14176.0,36,065,2018
"Suffolk County, New York",24743.0,36,103,2018
"Wyoming County, New York",14862.0,36,121,2018
"Chemung County, New York",13179.0,36,015,2018
"Oswego County, New York",15078.0,36,075,2018
"Otsego County, New York",16852.0,36,077,2018
"Wayne County, New York",17096.0,36,117,2018
"Albany County, New York",20529.0,36,001,2018
"Broome County, New York",15034.0,36,007,2018
"Erie County, New York",16952.0,36,029,2018
"Madison County, New York",19249.0,36,053,2018
"Sullivan County, New York",17311.0,36,105,2018
"Mitchell County, North Carolina",11115.0,37,121,2018
"Genesee County, New York",14048.0,36,037,2018
"Orange County, New York",23606.0,36,071,2018
"Greene County, North Carolina",7385.0,37,079,2018
"Chowan County, North Carolina",9983.0,37,041,2018
"Caldwell County, North Carolina",10643.0,37,027,2018
"Catawba County, North Carolina",11829.0,37,035,2018
"Craven County, North Carolina",17354.0,37,049,2018
"Edgecombe County, North Carolina",10239.0,37,065,2018
"Harnett County, North Carolina",15560.0,37,085,2018
"Henderson County, North Carolina",15072.0,37,089,2018
"Hyde County, North Carolina",10599.0,37,095,2018
"Mecklenburg County, North Carolina",17410.0,37,119,2018
"Northampton County, North Carolina",7205.0,37,131,2018
"Rowan County, North Carolina",15367.0,37,159,2018
"Vance County, North Carolina",12290.0,37,181,2018
"Currituck County, North Carolina",20749.0,37,053,2018
"Union County, North Carolina",17072.0,37,179,2018
"Forsyth County, North Carolina",12451.0,37,067,2018
"Nash County, North Carolina",12264.0,37,127,2018
"Bladen County, North Carolina",12361.0,37,017,2018
"Dare County, North Carolina",12895.0,37,055,2018
"Warren County, North Carolina",15852.0,37,185,2018
"Wilson County, North Carolina",11609.0,37,195,2018
"Bertie County, North Carolina",10230.0,37,015,2018
"Gates County, North Carolina",18459.0,37,073,2018
"Graham County, North Carolina",7670.0,37,075,2018
"Martin County, North Carolina",10643.0,37,117,2018
"Madison County, North Carolina",15007.0,37,115,2018
"Pamlico County, North Carolina",16260.0,37,137,2018
"Perquimans County, North Carolina",17203.0,37,143,2018
"Polk County, North Carolina",14545.0,37,149,2018
"Randolph County, North Carolina",15898.0,37,151,2018
"Rockingham County, North Carolina",15031.0,37,157,2018
"Stokes County, North Carolina",10252.0,37,169,2018
"Washington County, North Carolina",10841.0,37,187,2018
"Camden County, North Carolina",15190.0,37,029,2018
"Clay County, North Carolina",12928.0,37,043,2018
"Cumberland County, North Carolina",18171.0,37,051,2018
"Gaston County, North Carolina",13670.0,37,071,2018
"Guilford County, North Carolina",14721.0,37,081,2018
"Jackson County, North Carolina",9992.0,37,099,2018
"Moore County, North Carolina",14858.0,37,125,2018
"Robeson County, North Carolina",9242.0,37,155,2018
"Stanly County, North Carolina",12027.0,37,167,2018
"Wake County, North Carolina",18104.0,37,183,2018
"Yancey County, North Carolina",7550.0,37,199,2018
"Chatham County, North Carolina",14925.0,37,037,2018
"McDowell County, North Carolina",13514.0,37,111,2018
"Johnston County, North Carolina",12488.0,37,101,2018
"Jones County, North Carolina",12857.0,37,103,2018
"Person County, North Carolina",12426.0,37,145,2018
"Brunswick County, North Carolina",15956.0,37,019,2018
"Ashe County, North Carolina",12063.0,37,009,2018
"Beaufort County, North Carolina",11243.0,37,013,2018
"Lenoir County, North Carolina",10094.0,37,107,2018
"Rutherford County, North Carolina",16499.0,37,161,2018
"Lincoln County, North Carolina",15770.0,37,109,2018
"Onslow County, North Carolina",20856.0,37,133,2018
"Orange County, North Carolina",16691.0,37,135,2018
"Sampson County, North Carolina",10043.0,37,163,2018
"Yadkin County, North Carolina",14148.0,37,197,2018
"Avery County, North Carolina",11884.0,37,011,2018
"Burke County, North Carolina",10232.0,37,023,2018
"Caswell County, North Carolina",9682.0,37,033,2018
"Davie County, North Carolina",14939.0,37,059,2018
"Duplin County, North Carolina",9566.0,37,061,2018
"Durham County, North Carolina",15948.0,37,063,2018
"Lee County, North Carolina",12162.0,37,105,2018
"New Hanover County, North Carolina",16826.0,37,129,2018
"Wayne County, North Carolina",11251.0,37,191,2018
"Scotland County, North Carolina",17796.0,37,165,2018
"Halifax County, North Carolina",13598.0,37,083,2018
"Alamance County, North Carolina",13276.0,37,001,2018
"Burke County, North Dakota",17542.0,38,013,2018
"Mountrail County, North Dakota",20941.0,38,061,2018
"Williams County, North Dakota",24226.0,38,105,2018
"Billings County, North Dakota",,38,007,2018
"Kidder County, North Dakota",47658.0,38,043,2018
"Cavalier County, North Dakota",17822.0,38,019,2018
"Grant County, North Dakota",13292.0,38,037,2018
"Pembina County, North Dakota",23465.0,38,067,2018
"Steele County, North Dakota",,38,091,2018
"Hettinger County, North Dakota",22069.0,38,041,2018
"LaMoure County, North Dakota",19990.0,38,045,2018
"Morton County, North Dakota",31751.0,38,059,2018
"Cass County, North Dakota",16267.0,38,017,2018
"Dunn County, North Dakota",18884.0,38,025,2018
"Emmons County, North Dakota",33819.0,38,029,2018
"McIntosh County, North Dakota",25300.0,38,051,2018
"Nelson County, North Dakota",21728.0,38,063,2018
"Richland County, North Dakota",10455.0,38,077,2018
"Rolette County, North Dakota",11886.0,38,079,2018
"Walsh County, North Dakota",18656.0,38,099,2018
"Adams County, North Dakota",16522.0,38,001,2018
"Bottineau County, North Dakota",13307.0,38,009,2018
"Barnes County, North Dakota",15785.0,38,003,2018
"Eddy County, North Dakota",-666666666.0,38,027,2018
"Grand Forks County, North Dakota",23405.0,38,035,2018
"McKenzie County, North Dakota",17211.0,38,053,2018
"Mercer County, North Dakota",21700.0,38,057,2018
"McLean County, North Dakota",28545.0,38,055,2018
"Pierce County, North Dakota",36078.0,38,069,2018
"Ransom County, North Dakota",8787.0,38,073,2018
"Sioux County, North Dakota",16898.0,38,085,2018
"Bowman County, North Dakota",18363.0,38,011,2018
"Golden Valley County, North Dakota",18007.0,38,033,2018
"Logan County, North Dakota",36592.0,38,047,2018
"Towner County, North Dakota",30111.0,38,095,2018
"Stutsman County, North Dakota",17309.0,38,093,2018
"Divide County, North Dakota",,38,023,2018
"Foster County, North Dakota",2994.0,38,031,2018
"Sargent County, North Dakota",18736.0,38,081,2018
