NAME,B19301B_001E,state,county,year
"Barry County, Missouri",6189.0,29,009,2018
"Boone County, Missouri",19172.0,29,019,2018
"Cedar County, Missouri",,29,039,2018
"Crawford County, Missouri",8354.0,29,055,2018
"Iron County, Missouri",16639.0,29,093,2018
"Livingston County, Missouri",12596.0,29,117,2018
"Moniteau County, Missouri",4898.0,29,135,2018
"Oregon County, Missouri",,29,149,2018
"Dunklin County, Missouri",12620.0,29,069,2018
"Pettis County, Missouri",13473.0,29,159,2018
"Ste. Genevieve County, Missouri",11497.0,29,186,2018
"Randolph County, Missouri",14470.0,29,175,2018
"Franklin County, Missouri",21451.0,29,071,2018
"Howard County, Missouri",14483.0,29,089,2018
"Jackson County, Missouri",21221.0,29,095,2018
"Miller County, Missouri",5349.0,29,131,2018
"Pulaski County, Missouri",20577.0,29,169,2018
"Putnam County, Missouri",,29,171,2018
"Taney County, Missouri",15440.0,29,213,2018
"Texas County, Missouri",4988.0,29,215,2018
"Buchanan County, Missouri",19127.0,29,021,2018
"Caldwell County, Missouri",12717.0,29,025,2018
"Callaway County, Missouri",11757.0,29,027,2018
"Cass County, Missouri",38088.0,29,037,2018
"Clinton County, Missouri",25881.0,29,049,2018
"Cooper County, Missouri",10668.0,29,053,2018
"Dallas County, Missouri",,29,059,2018
"Gentry County, Missouri",12589.0,29,075,2018
"Hickory County, Missouri",3522.0,29,085,2018
"Lincoln County, Missouri",19598.0,29,113,2018
"Mississippi County, Missouri",10415.0,29,133,2018
"Monroe County, Missouri",14381.0,29,137,2018
"Newton County, Missouri",18172.0,29,145,2018
"Ozark County, Missouri",,29,153,2018
"Pike County, Missouri",14387.0,29,163,2018
"St. Charles County, Missouri",31004.0,29,183,2018
"Custer County, Montana",6656.0,30,017,2018
"Hill County, Montana",22886.0,30,041,2018
"Powder River County, Montana",-666666666.0,30,075,2018
"Park County, Montana",,30,067,2018
"Roosevelt County, Montana",17263.0,30,085,2018
"Blaine County, Montana",,30,005,2018
"Liberty County, Montana",-666666666.0,30,051,2018
