NAME,B23025_002E,state,county,year
"Fayette County, Illinois",9285.0,17,051,2019
"Logan County, Illinois",13168.0,17,107,2019
"Saline County, Illinois",10718.0,17,165,2019
"Lake County, Illinois",380960.0,17,097,2019
"Massac County, Illinois",5895.0,17,127,2019
"Cass County, Illinois",6403.0,17,017,2019
"Huntington County, Indiana",19129.0,18,069,2019
"White County, Indiana",11793.0,18,181,2019
"Jay County, Indiana",9992.0,18,075,2019
"Shelby County, Indiana",23067.0,18,145,2019
"Sullivan County, Indiana",9031.0,18,153,2019
"Tippecanoe County, Indiana",101190.0,18,157,2019
"Hamilton County, Indiana",177790.0,18,057,2019
"Bartholomew County, Indiana",41943.0,18,005,2019
"Fulton County, Indiana",9744.0,18,049,2019
"Noble County, Indiana",23953.0,18,113,2019
"Clark County, Indiana",61249.0,18,019,2019
"Hendricks County, Indiana",89916.0,18,063,2019
"Grant County, Indiana",31343.0,18,053,2019
"Jackson County, Indiana",21633.0,18,071,2019
"Owen County, Indiana",10238.0,18,119,2019
"Whitley County, Indiana",17866.0,18,183,2019
"Clinton County, Indiana",15794.0,18,023,2019
"Union County, Indiana",3445.0,18,161,2019
"Dearborn County, Indiana",25737.0,18,029,2019
"Lawrence County, Indiana",21891.0,18,093,2019
"Perry County, Indiana",8635.0,18,123,2019
"Posey County, Indiana",12934.0,18,129,2019
"Carroll County, Indiana",9667.0,18,015,2019
"Fountain County, Indiana",7946.0,18,045,2019
"Starke County, Indiana",10265.0,18,149,2019
"Greene County, Indiana",15074.0,18,055,2019
"Benton County, Iowa",13678.0,19,011,2019
"Dubuque County, Iowa",52649.0,19,061,2019
"Pocahontas County, Iowa",3440.0,19,151,2019
"Van Buren County, Iowa",3219.0,19,177,2019
"Adams County, Iowa",1742.0,19,003,2019
"Audubon County, Iowa",2965.0,19,009,2019
"Davis County, Iowa",4333.0,19,051,2019
"Ida County, Iowa",3543.0,19,093,2019
"Monroe County, Iowa",3940.0,19,135,2019
"Sioux County, Iowa",19288.0,19,167,2019
"Calhoun County, Iowa",4440.0,19,025,2019
"Cerro Gordo County, Iowa",23125.0,19,033,2019
"Hardin County, Iowa",8646.0,19,083,2019
"Lucas County, Iowa",4267.0,19,117,2019
"Palo Alto County, Iowa",4650.0,19,147,2019
"Henry County, Iowa",9805.0,19,087,2019
"Jasper County, Iowa",18744.0,19,099,2019
"Poweshiek County, Iowa",10000.0,19,157,2019
"Clayton County, Iowa",9313.0,19,043,2019
"Bremer County, Iowa",13483.0,19,017,2019
"Emmet County, Iowa",4896.0,19,063,2019
"Hancock County, Iowa",5778.0,19,081,2019
"Jackson County, Iowa",9911.0,19,097,2019
"Lee County, Iowa",16767.0,19,111,2019
"Warren County, Iowa",27220.0,19,181,2019
"Mahaska County, Iowa",11499.0,19,123,2019
"Clay County, Iowa",8467.0,19,041,2019
"Delaware County, Iowa",9445.0,19,055,2019
"Bacon County, Georgia",4302.0,13,005,2019
"Brantley County, Georgia",7240.0,13,025,2019
"Ben Hill County, Georgia",6566.0,13,017,2019
"Burke County, Georgia",9843.0,13,033,2019
"Catoosa County, Georgia",32660.0,13,047,2019
"Chattahoochee County, Georgia",6735.0,13,053,2019
"Chattooga County, Georgia",9643.0,13,055,2019
"Columbia County, Georgia",75480.0,13,073,2019
"Decatur County, Georgia",11086.0,13,087,2019
"Floyd County, Georgia",44216.0,13,115,2019
"Forsyth County, Georgia",119182.0,13,117,2019
"Habersham County, Georgia",19364.0,13,137,2019
"Hart County, Georgia",10460.0,13,147,2019
"Lowndes County, Georgia",54061.0,13,185,2019
"McIntosh County, Georgia",6524.0,13,191,2019
"Meriwether County, Georgia",8604.0,13,199,2019
"Monroe County, Georgia",12193.0,13,207,2019
"Putnam County, Georgia",9959.0,13,237,2019
"Sumter County, Georgia",12924.0,13,261,2019
"Taliaferro County, Georgia",647.0,13,265,2019
"Warren County, Georgia",2224.0,13,301,2019
"Wayne County, Iowa",2847.0,19,185,2019
"Scott County, Iowa",88116.0,19,163,2019
"Sherman County, Kansas",3054.0,20,181,2019
"Thomas County, Kansas",4328.0,20,193,2019
"Morris County, Kansas",2791.0,20,127,2019
"Rooks County, Kansas",2543.0,20,163,2019
"Clark County, Kansas",1003.0,20,025,2019
"Harper County, Kansas",2516.0,20,077,2019
"Lyon County, Kansas",18358.0,20,111,2019
"Pawnee County, Kansas",2761.0,20,145,2019
"Comanche County, Kansas",954.0,20,033,2019
"Gove County, Kansas",1309.0,20,063,2019
"Harvey County, Kansas",17624.0,20,079,2019
"Kearny County, Kansas",1696.0,20,093,2019
"McPherson County, Kansas",15177.0,20,113,2019
"Desha County, Arkansas",4969.0,05,041,2019
"Fulton County, Arkansas",4322.0,05,049,2019
"Howard County, Arkansas",6011.0,05,061,2019
"Garland County, Arkansas",43613.0,05,051,2019
"Mississippi County, Arkansas",19129.0,05,093,2019
"Pope County, Arkansas",28590.0,05,115,2019
"Prairie County, Arkansas",3712.0,05,117,2019
"Union County, Arkansas",16405.0,05,139,2019
"Woodruff County, Arkansas",2879.0,05,147,2019
"Cleburne County, Arkansas",10779.0,05,023,2019
"Cleveland County, Arkansas",3246.0,05,025,2019
"Jackson County, Arkansas",5992.0,05,067,2019
"Hempstead County, Arkansas",9663.0,05,057,2019
"Sharp County, Arkansas",6226.0,05,135,2019
"Stone County, Arkansas",4842.0,05,137,2019
"Washington County, Arkansas",117002.0,05,143,2019
"Baxter County, Arkansas",16824.0,05,005,2019
"Ashley County, Arkansas",8242.0,05,003,2019
"Craighead County, Arkansas",53143.0,05,031,2019
"Greene County, Arkansas",20313.0,05,055,2019
"Perry County, Arkansas",4014.0,05,105,2019
"Poinsett County, Arkansas",10422.0,05,111,2019
"Sevier County, Arkansas",7765.0,05,133,2019
"Calhoun County, Arkansas",2208.0,05,013,2019
"Clark County, Arkansas",10799.0,05,019,2019
"Lawrence County, Arkansas",7113.0,05,075,2019
"Monroe County, Arkansas",3220.0,05,095,2019
"Conway County, Arkansas",9576.0,05,029,2019
"Newton County, Arkansas",2988.0,05,101,2019
"Arkansas County, Arkansas",8350.0,05,001,2019
"Lonoke County, Arkansas",34503.0,05,085,2019
"Carroll County, Arkansas",12471.0,05,015,2019
"St. Francis County, Arkansas",9148.0,05,123,2019
"Pulaski County, Arkansas",195834.0,05,119,2019
"Merced County, California",119232.0,06,047,2019
"Mariposa County, California",7672.0,06,043,2019
"Modoc County, California",3235.0,06,049,2019
"Contra Costa County, California",591383.0,06,013,2019
"Inyo County, California",8593.0,06,027,2019
"Stanislaus County, California",251150.0,06,099,2019
"Santa Barbara County, California",228476.0,06,083,2019
"Tehama County, California",26996.0,06,103,2019
"Mono County, California",8694.0,06,051,2019
"San Benito County, California",31555.0,06,069,2019
"Bryan County, Georgia",18689.0,13,029,2019
"Butts County, Georgia",9983.0,13,035,2019
"Camden County, Georgia",27104.0,13,039,2019
"Crawford County, Georgia",5155.0,13,079,2019
"Early County, Georgia",4074.0,13,099,2019
"Coffee County, Georgia",17618.0,13,069,2019
"Coweta County, Georgia",73893.0,13,077,2019
"Gilmer County, Georgia",13685.0,13,123,2019
"Walton County, Georgia",44204.0,13,297,2019
"Wilkes County, Georgia",4234.0,13,317,2019
"Dodge County, Georgia",8359.0,13,091,2019
"Gordon County, Georgia",27183.0,13,129,2019
"Cherokee County, Georgia",132205.0,13,057,2019
"Fayette County, Georgia",55319.0,13,113,2019
"Lee County, Georgia",14362.0,13,177,2019
"Pickens County, Georgia",14983.0,13,227,2019
"Greene County, Georgia",6874.0,13,133,2019
"Cook County, Georgia",7554.0,13,075,2019
"Dawson County, Georgia",12591.0,13,085,2019
"Fulton County, Georgia",567339.0,13,121,2019
"Hawaii County, Hawaii",94121.0,15,001,2019
"Honolulu County, Hawaii",531051.0,15,003,2019
"Kauai County, Hawaii",38043.0,15,007,2019
"Kalawao County, Hawaii",52.0,15,005,2019
"Cassia County, Idaho",10463.0,16,031,2019
"Lincoln County, Idaho",2664.0,16,063,2019
"Valley County, Idaho",4796.0,16,085,2019
"Franklin County, Idaho",6009.0,16,041,2019
"Nez Perce County, Idaho",19983.0,16,069,2019
"Kootenai County, Idaho",76378.0,16,055,2019
"Minidoka County, Idaho",9911.0,16,067,2019
"Twin Falls County, Idaho",41665.0,16,083,2019
"Blaine County, Idaho",12579.0,16,013,2019
"Boise County, Idaho",3125.0,16,015,2019
"Butte County, Idaho",999.0,16,023,2019
"Gooding County, Idaho",7383.0,16,047,2019
"Ada County, Idaho",239375.0,16,001,2019
"Bear Lake County, Idaho",2665.0,16,007,2019
"Bingham County, Idaho",20744.0,16,011,2019
"Camas County, Idaho",505.0,16,025,2019
"Clearwater County, Idaho",3052.0,16,035,2019
"Jefferson County, Idaho",13525.0,16,051,2019
"Lane County, Oregon",186619.0,41,039,2019
"Surry County, Virginia",3348.0,51,181,2019
"Clarke County, Virginia",7525.0,51,043,2019
"Mecklenburg County, Virginia",12636.0,51,117,2019
"Augusta County, Virginia",36527.0,51,015,2019
"Goochland County, Virginia",11472.0,51,075,2019
"Madison County, Virginia",6536.0,51,113,2019
"Roanoke County, Virginia",47332.0,51,161,2019
"Brunswick County, Virginia",6663.0,51,025,2019
"Northampton County, Virginia",5109.0,51,131,2019
"Rockbridge County, Virginia",10457.0,51,163,2019
"Norton city, Virginia",1798.0,51,720,2019
"Colonial Heights city, Virginia",8480.0,51,570,2019
"Bland County, Virginia",2436.0,51,021,2019
"Botetourt County, Virginia",16624.0,51,023,2019
"Bristol city, Virginia",7415.0,51,520,2019
"Williamsburg city, Virginia",6885.0,51,830,2019
"Carroll County, Virginia",13381.0,51,035,2019
"Sacramento County, California",754337.0,06,067,2019
"El Dorado County, California",90290.0,06,017,2019
"Monterey County, California",202743.0,06,053,2019
"San Francisco County, California",546791.0,06,075,2019
"San Diego County, California",1764675.0,06,073,2019
"Tulare County, California",197822.0,06,107,2019
"Humboldt County, California",67323.0,06,023,2019
"Alpine County, California",392.0,06,003,2019
"Madera County, California",63913.0,06,039,2019
"Santa Cruz County, California",144847.0,06,087,2019
"Trinity County, California",4897.0,06,105,2019
"Riverside County, California",1120445.0,06,065,2019
"San Bernardino County, California",1001647.0,06,071,2019
"Marin County, California",135924.0,06,041,2019
"Placer County, California",187130.0,06,061,2019
"Shasta County, California",78436.0,06,089,2019
"Solano County, California",223788.0,06,095,2019
"Colusa County, California",10141.0,06,011,2019
"Copiah County, Mississippi",11680.0,28,029,2019
"Hinds County, Mississippi",115834.0,28,049,2019
"Union County, Mississippi",13058.0,28,145,2019
"Tippah County, Mississippi",9322.0,28,139,2019
"Forrest County, Mississippi",35561.0,28,035,2019
"Lafayette County, Mississippi",26522.0,28,071,2019
"Lowndes County, Mississippi",27731.0,28,087,2019
"Wilkinson County, Mississippi",2718.0,28,157,2019
"Jefferson Davis County, Mississippi",4726.0,28,065,2019
"Scott County, Mississippi",12089.0,28,123,2019
"Yazoo County, Mississippi",10416.0,28,163,2019
"Bolivar County, Mississippi",11725.0,28,011,2019
"Pike County, Mississippi",14690.0,28,113,2019
"Stone County, Mississippi",8229.0,28,131,2019
"Kemper County, Mississippi",3699.0,28,069,2019
"Sunflower County, Mississippi",9521.0,28,133,2019
"Adams County, Mississippi",11628.0,28,001,2019
"DeSoto County, Mississippi",94298.0,28,033,2019
"Delaware County, Pennsylvania",296273.0,42,045,2019
"Somerset County, Pennsylvania",33975.0,42,111,2019
"Madison County, Missouri",5286.0,29,123,2019
"Vernon County, Missouri",9287.0,29,217,2019
"Nodaway County, Missouri",11410.0,29,147,2019
"Chariton County, Missouri",3201.0,29,041,2019
"Wayne County, Missouri",4623.0,29,223,2019
"Scott County, Missouri",17600.0,29,201,2019
"Barton County, Missouri",5525.0,29,011,2019
"Cedar County, Missouri",5552.0,29,039,2019
"Gasconade County, Missouri",7216.0,29,073,2019
"Macon County, Missouri",6712.0,29,121,2019
"Oregon County, Missouri",4121.0,29,149,2019
"Ste. Genevieve County, Missouri",9189.0,29,186,2019
"Douglas County, Missouri",5292.0,29,067,2019
"Henry County, Missouri",9704.0,29,083,2019
"Lawrence County, Missouri",18139.0,29,109,2019
"Pulaski County, Missouri",29859.0,29,169,2019
"Texas County, Missouri",9665.0,29,215,2019
"Callaway County, Missouri",21053.0,29,027,2019
"Cooper County, Missouri",8062.0,29,053,2019
"Gentry County, Missouri",3152.0,29,075,2019
"Washington County, Virginia",25033.0,51,191,2019
"Page County, Virginia",11664.0,51,139,2019
"Alexandria city, Virginia",102738.0,51,510,2019
"Hampton city, Virginia",70931.0,51,650,2019
"Arlington County, Virginia",154461.0,51,013,2019
"Buchanan County, Virginia",6903.0,51,027,2019
"Stafford County, Virginia",78542.0,51,179,2019
"Richmond city, Virginia",125447.0,51,760,2019
"Essex County, Virginia",5524.0,51,057,2019
"Tazewell County, Virginia",16222.0,51,185,2019
"Manassas Park city, Virginia",9808.0,51,685,2019
"Sussex County, Virginia",4488.0,51,183,2019
"Manassas city, Virginia",23036.0,51,683,2019
"Salem city, Virginia",12883.0,51,775,2019
"Charlotte County, Virginia",5370.0,51,037,2019
"Greensville County, Virginia",4099.0,51,081,2019
"Thurston County, Washington",141687.0,53,067,2019
"Columbia County, Washington",1836.0,53,013,2019
"Guayanilla Municipio, Puerto Rico",6080.0,72,059,2019
"Sabana Grande Municipio, Puerto Rico",7701.0,72,121,2019
"Hormigueros Municipio, Puerto Rico",6377.0,72,067,2019
"Utuado Municipio, Puerto Rico",9016.0,72,141,2019
"Florida Municipio, Puerto Rico",4223.0,72,054,2019
"Moca Municipio, Puerto Rico",12697.0,72,099,2019
"Salinas Municipio, Puerto Rico",8433.0,72,123,2019
"Mississippi County, Missouri",4956.0,29,133,2019
"Ozark County, Missouri",3259.0,29,153,2019
"Bollinger County, Missouri",5478.0,29,017,2019
"Sumner County, Tennessee",95585.0,47,165,2019
"Trousdale County, Tennessee",4914.0,47,169,2019
"Clay County, Tennessee",2787.0,47,027,2019
"Moultrie County, Illinois",7285.0,17,139,2019
"Pike County, Illinois",7249.0,17,149,2019
"Pope County, Illinois",1350.0,17,151,2019
"St. Clair County, Illinois",133297.0,17,163,2019
"Shelby County, Illinois",10908.0,17,173,2019
"Champaign County, Illinois",108495.0,17,019,2019
"Calhoun County, Illinois",2059.0,17,013,2019
"Ford County, Illinois",6607.0,17,053,2019
"Kane County, Illinois",282187.0,17,089,2019
"Kendall County, Illinois",68724.0,17,093,2019
"Brown County, Illinois",2517.0,17,009,2019
"Marion County, Illinois",17976.0,17,121,2019
"Mason County, Illinois",6795.0,17,125,2019
"Iroquois County, Illinois",13570.0,17,075,2019
"Clay County, Illinois",6348.0,17,025,2019
"Gallatin County, Illinois",2229.0,17,059,2019
"Monroe County, Illinois",18699.0,17,133,2019
"Union County, Illinois",7442.0,17,181,2019
"Winnebago County, Illinois",144531.0,17,201,2019
"Pulaski County, Illinois",2013.0,17,153,2019
"Schuyler County, Illinois",3127.0,17,169,2019
"Edgar County, Illinois",8667.0,17,045,2019
"Boone County, Illinois",27532.0,17,007,2019
"Bureau County, Illinois",16736.0,17,011,2019
"Coles County, Illinois",26505.0,17,029,2019
"Crawford County, Illinois",8075.0,17,033,2019
"Putnam County, Illinois",2985.0,17,155,2019
"De Witt County, Illinois",8349.0,17,039,2019
"Lee County, Illinois",16001.0,17,103,2019
"Macoupin County, Illinois",22024.0,17,117,2019
"Richland County, Illinois",7590.0,17,159,2019
"Washington County, Illinois",7461.0,17,189,2019
"Washington County, Oregon",323405.0,41,067,2019
"Clatsop County, Oregon",19279.0,41,007,2019
"Cameron County, Pennsylvania",2135.0,42,023,2019
"Bucks County, Pennsylvania",346365.0,42,017,2019
"Lehigh County, Pennsylvania",189848.0,42,077,2019
"Clarion County, Pennsylvania",18509.0,42,031,2019
"Greene County, Pennsylvania",15180.0,42,059,2019
"Luzerne County, Pennsylvania",161236.0,42,079,2019
"Columbia County, Pennsylvania",31897.0,42,037,2019
"Jefferson County, Pennsylvania",20543.0,42,065,2019
"Perry County, Pennsylvania",23463.0,42,099,2019
"Sullivan County, Pennsylvania",2897.0,42,113,2019
"Kent County, Rhode Island",92352.0,44,003,2019
"Washington County, Rhode Island",69470.0,44,009,2019
"Newberry County, South Carolina",18027.0,45,071,2019
"Clarendon County, South Carolina",13476.0,45,027,2019
"Sumter County, South Carolina",50451.0,45,085,2019
"Barnwell County, South Carolina",8504.0,45,011,2019
"Darlington County, South Carolina",29579.0,45,031,2019
"York County, South Carolina",140050.0,45,091,2019
"Cherokee County, South Carolina",24594.0,45,021,2019
"Jasper County, South Carolina",13305.0,45,053,2019
"Lee County, South Carolina",6462.0,45,061,2019
"Abbeville County, South Carolina",10719.0,45,001,2019
"Lyman County, South Dakota",1827.0,46,085,2019
"Deuel County, South Dakota",2350.0,46,039,2019
"Glenn County, California",11925.0,06,021,2019
"Butte County, California",104685.0,06,007,2019
"Kings County, California",63270.0,06,031,2019
"Plumas County, California",8172.0,06,063,2019
"San Luis Obispo County, California",139024.0,06,079,2019
"Fresno County, California",447145.0,06,019,2019
"Kern County, California",382901.0,06,029,2019
"Orange County, California",1671054.0,06,059,2019
"Ventura County, California",441661.0,06,111,2019
"Calaveras County, California",18430.0,06,009,2019
"Sutter County, California",43246.0,06,101,2019
"San Mateo County, California",431085.0,06,081,2019
"Tuolumne County, California",22150.0,06,109,2019
"San Joaquin County, California",339798.0,06,077,2019
"Amador County, California",14738.0,06,005,2019
"Phillips County, Colorado",1976.0,08,095,2019
"Archuleta County, Colorado",6421.0,08,007,2019
"Denver County, Colorado",418232.0,08,031,2019
"Kiowa County, Colorado",717.0,08,061,2019
"Huerfano County, Colorado",2642.0,08,055,2019
"Baca County, Colorado",1664.0,08,009,2019
"Gilpin County, Colorado",3908.0,08,047,2019
"Kit Carson County, Colorado",3645.0,08,063,2019
"Gunnison County, Colorado",10273.0,08,051,2019
"Mineral County, Colorado",429.0,08,079,2019
"Ouray County, Colorado",2421.0,08,091,2019
"Sedgwick County, Colorado",1013.0,08,115,2019
"Weld County, Colorado",159185.0,08,123,2019
"Custer County, Colorado",1829.0,08,027,2019
"Costilla County, Colorado",1542.0,08,023,2019
"Douglas County, Colorado",188204.0,08,035,2019
"Lake County, Colorado",4435.0,08,065,2019
"La Plata County, Colorado",30586.0,08,067,2019
"Pitkin County, Colorado",12315.0,08,097,2019
"Rio Grande County, Colorado",5054.0,08,105,2019
"Bent County, Colorado",1543.0,08,011,2019
"Crowley County, Colorado",2277.0,08,025,2019
"San Juan County, Colorado",351.0,08,111,2019
"Larimer County, Colorado",191618.0,08,069,2019
"Logan County, Colorado",11653.0,08,075,2019
"San Miguel County, Colorado",5232.0,08,113,2019
"Teller County, Colorado",12676.0,08,119,2019
"Elbert County, Colorado",14071.0,08,039,2019
"Las Animas County, Colorado",6359.0,08,071,2019
"Lincoln County, Colorado",1540.0,08,073,2019
"Summit County, Colorado",20453.0,08,117,2019
"Alamosa County, Colorado",7638.0,08,003,2019
"Delta County, Colorado",11792.0,08,029,2019
"Fremont County, Colorado",15191.0,08,043,2019
"Montrose County, Colorado",18841.0,08,085,2019
"Morgan County, Colorado",14232.0,08,087,2019
"Saguache County, Colorado",2932.0,08,109,2019
"Prowers County, Colorado",5772.0,08,099,2019
"Washington County, Colorado",2341.0,08,121,2019
"Grand County, Colorado",8941.0,08,049,2019
"Otero County, Colorado",7587.0,08,089,2019
"Broomfield County, Colorado",39715.0,08,014,2019
"Sussex County, Delaware",104026.0,10,005,2019
"District of Columbia, District of Columbia",407904.0,11,001,2019
"New Haven County, Connecticut",460033.0,09,009,2019
"Hartford County, Connecticut",479663.0,09,003,2019
"Shelby County, Tennessee",470653.0,47,157,2019
"Henderson County, Tennessee",12094.0,47,077,2019
"Jefferson County, Tennessee",25095.0,47,089,2019
"Sequatchie County, Tennessee",6432.0,47,153,2019
"Carroll County, Tennessee",11797.0,47,017,2019
"Davidson County, Tennessee",397453.0,47,037,2019
"Perry County, Tennessee",3024.0,47,135,2019
"Meigs County, Tennessee",4973.0,47,121,2019
"Haywood County, Tennessee",7865.0,47,075,2019
"Montgomery County, Tennessee",101140.0,47,125,2019
"Grundy County, Tennessee",5506.0,47,061,2019
"Cocke County, Tennessee",15214.0,47,029,2019
"DeKalb County, Tennessee",8439.0,47,041,2019
"Lewis County, Tennessee",5053.0,47,101,2019
"Obion County, Tennessee",13643.0,47,131,2019
"Tipton County, Tennessee",29652.0,47,167,2019
"Dyer County, Tennessee",17383.0,47,045,2019
"Hamilton County, Tennessee",182899.0,47,065,2019
"Polk County, Tennessee",7727.0,47,139,2019
"White County, Tennessee",11167.0,47,185,2019
"Sullivan County, Tennessee",71161.0,47,163,2019
"Schoharie County, New York",15250.0,36,095,2019
"Fulton County, New York",25982.0,36,035,2019
"Rensselaer County, New York",85822.0,36,083,2019
"Franklin County, New York",20858.0,36,033,2019
"Queens County, New York",1202712.0,36,081,2019
"Washington County, New York",30641.0,36,115,2019
"New York County, New York",955427.0,36,061,2019
"Cayuga County, New York",38351.0,36,011,2019
"Rockland County, New York",156309.0,36,087,2019
"Niagara County, New York",106234.0,36,063,2019
"Essex County, New York",18254.0,36,031,2019
"Nassau County, New York",716106.0,36,059,2019
"Schuyler County, New York",8721.0,36,097,2019
"Chenango County, New York",23041.0,36,017,2019
"Jefferson County, New York",56102.0,36,045,2019
"Suffolk County, New York",785803.0,36,103,2019
"Wyoming County, New York",19594.0,36,121,2019
"Oswego County, New York",58310.0,36,075,2019
"Wayne County, New York",47135.0,36,117,2019
"Broome County, New York",92292.0,36,007,2019
"Hinsdale County, Colorado",403.0,08,053,2019
"Erie County, New York",472606.0,36,029,2019
"Sullivan County, New York",35693.0,36,105,2019
"Orange County, New York",188686.0,36,071,2019
"Haywood County, North Carolina",28490.0,37,087,2019
"Forsyth County, North Carolina",183332.0,37,067,2019
"Lake County, Indiana",236429.0,18,089,2019
"Montgomery County, Indiana",19722.0,18,107,2019
"Adams County, Indiana",16070.0,18,001,2019
"Fayette County, Indiana",10605.0,18,041,2019
"Clay County, Indiana",12568.0,18,021,2019
"Dubois County, Indiana",23028.0,18,037,2019
"Franklin County, Indiana",11623.0,18,047,2019
"Hancock County, Indiana",40174.0,18,059,2019
"Howard County, Indiana",39150.0,18,067,2019
"Ohio County, Indiana",2982.0,18,115,2019
"Parke County, Indiana",7058.0,18,121,2019
"Randolph County, Indiana",11976.0,18,135,2019
"Benton County, Indiana",4316.0,18,007,2019
"Brown County, Indiana",7375.0,18,013,2019
"Putnam County, Indiana",17097.0,18,133,2019
"Washington County, Indiana",12969.0,18,175,2019
"Daviess County, Indiana",15105.0,18,027,2019
"Henry County, Indiana",21023.0,18,065,2019
"Knox County, Indiana",18998.0,18,083,2019
"Madison County, Indiana",61067.0,18,095,2019
"Pike County, Indiana",5867.0,18,125,2019
"Pulaski County, Indiana",5822.0,18,131,2019
"Steuben County, Indiana",18170.0,18,151,2019
"Laramie County, Wyoming",52390.0,56,021,2019
"Teton County, Wyoming",14587.0,56,039,2019
"San Jacinto County, Texas",10999.0,48,407,2019
"Upshur County, Texas",18192.0,48,459,2019
"Waller County, Texas",24732.0,48,473,2019
"Wilson County, Texas",23112.0,48,493,2019
"Hockley County, Texas",11004.0,48,219,2019
"Midland County, Texas",88206.0,48,329,2019
"Llano County, Texas",8308.0,48,299,2019
"Fannin County, Texas",14551.0,48,147,2019
"Brazos County, Texas",111006.0,48,041,2019
"Gaines County, Texas",8699.0,48,165,2019
"Gray County, Texas",9554.0,48,179,2019
"Jack County, Texas",3302.0,48,237,2019
"Bosque County, Texas",8050.0,48,035,2019
"Bexar County, Texas",975564.0,48,029,2019
"Baylor County, Texas",1578.0,48,023,2019
"Denton County, Texas",471890.0,48,121,2019
"Galveston County, Texas",167938.0,48,167,2019
