NAME,B23025_004E,state,county,year
"Fayette County, Illinois",8760.0,17,051,2019
"Logan County, Illinois",12426.0,17,107,2019
"Saline County, Illinois",9902.0,17,165,2019
"Lake County, Illinois",351926.0,17,097,2019
"Massac County, Illinois",5636.0,17,127,2019
"Cass County, Illinois",5978.0,17,017,2019
"Huntington County, Indiana",18586.0,18,069,2019
"White County, Indiana",11283.0,18,181,2019
"Jay County, Indiana",9616.0,18,075,2019
"Shelby County, Indiana",22227.0,18,145,2019
"Sullivan County, Indiana",8591.0,18,153,2019
"Tippecanoe County, Indiana",96929.0,18,157,2019
"Hamilton County, Indiana",172742.0,18,057,2019
"Bartholomew County, Indiana",40151.0,18,005,2019
"Fulton County, Indiana",9330.0,18,049,2019
"Noble County, Indiana",22957.0,18,113,2019
"Clark County, Indiana",58218.0,18,019,2019
"Hendricks County, Indiana",86609.0,18,063,2019
"Grant County, Indiana",29082.0,18,053,2019
"Jackson County, Indiana",20694.0,18,071,2019
"Owen County, Indiana",9683.0,18,119,2019
"Whitley County, Indiana",17204.0,18,183,2019
"Clinton County, Indiana",15183.0,18,023,2019
"Union County, Indiana",3395.0,18,161,2019
"Dearborn County, Indiana",24757.0,18,029,2019
"Lawrence County, Indiana",20914.0,18,093,2019
"Perry County, Indiana",8372.0,18,123,2019
"Posey County, Indiana",12401.0,18,129,2019
"Carroll County, Indiana",9367.0,18,015,2019
"Fountain County, Indiana",7601.0,18,045,2019
"Starke County, Indiana",9751.0,18,149,2019
"Greene County, Indiana",14333.0,18,055,2019
"Benton County, Iowa",13269.0,19,011,2019
"Dubuque County, Iowa",50533.0,19,061,2019
"Pocahontas County, Iowa",3322.0,19,151,2019
"Van Buren County, Iowa",3051.0,19,177,2019
"Adams County, Iowa",1674.0,19,003,2019
"Audubon County, Iowa",2906.0,19,009,2019
"Davis County, Iowa",4202.0,19,051,2019
"Ida County, Iowa",3452.0,19,093,2019
"Monroe County, Iowa",3785.0,19,135,2019
"Sioux County, Iowa",18732.0,19,167,2019
