index,state,county,year,population,White,Black,American_Indian,Asian,Native_Hawaian,Other,White-Black,White-AI,White-Asian,Black-AI,All-other-two,Three,Four,Median_Income,Whole Foods Market Count,Wendy's Count,Trader Joe's Count,C-Town Count,ALDI Count,Burger King Count
364,Florida,Lee County,2010,"620,449",510405.0,48208.0,1620.0,8528.0,86.0,28409.0,2233.0,1875.0,1212.0,161.0,2872.0,499.0,57.0,50014.0,,,,,,
365,Florida,Leon County,2010,"275,971",171987.0,81192.0,956.0,7766.0,188.0,3512.0,1872.0,579.0,965.0,110.0,1066.0,125.0,91.0,44490.0,,,,,,
366,Florida,Levy County,2010,"40,720",34853.0,3592.0,65.0,198.0,0.0,533.0,505.0,361.0,26.0,0.0,225.0,57.0,0.0,35737.0,,,,,,
367,Florida,Liberty County,2010,"8,349",7071.0,958.0,120.0,0.0,0.0,28.0,27.0,9.0,0.0,0.0,0.0,17.0,0.0,40777.0,,,,,,
368,Florida,Madison County,2010,"19,248",10834.0,7450.0,129.0,32.0,128.0,517.0,121.0,48.0,0.0,0.0,33.0,0.0,8.0,37459.0,,,,,,
369,Florida,Manatee County,2010,"323,424",266303.0,27313.0,745.0,5512.0,243.0,14095.0,1622.0,933.0,452.0,35.0,1055.0,306.0,5.0,47812.0,,,,,,
370,Florida,Marion County,2010,"331,331",267887.0,39469.0,1113.0,4439.0,303.0,8946.0,1352.0,1255.0,501.0,137.0,1176.0,255.0,0.0,40339.0,,,,,,
371,Florida,Martin County,2010,"146,909",127722.0,7981.0,563.0,1461.0,37.0,5041.0,321.0,381.0,318.0,27.0,391.0,79.0,0.0,53210.0,,,,,,
372,Florida,Miami-Dade County,2010,"2,506,972",1794730.0,470326.0,3572.0,38813.0,649.0,102938.0,6874.0,2070.0,3697.0,767.0,19272.0,1609.0,57.0,43605.0,,,,,,
373,Florida,Monroe County,2010,"73,220",65742.0,4698.0,107.0,802.0,48.0,1066.0,35.0,218.0,185.0,0.0,135.0,29.0,0.0,53821.0,,,,,,
374,Florida,Nassau County,2010,"73,513",64034.0,4936.0,127.0,624.0,0.0,588.0,217.0,419.0,108.0,4.0,16.0,26.0,0.0,58712.0,,,,,,
