NAME,B19301D_001E,state,county,year
"Brantley County, Georgia",46440.0,13,025,2019
"Ben Hill County, Georgia",25192.0,13,017,2019
"Burke County, Georgia",21268.0,13,033,2019
"Catoosa County, Georgia",19745.0,13,047,2019
"Chattahoochee County, Georgia",14610.0,13,053,2019
"Chattooga County, Georgia",21795.0,13,055,2019
"Columbia County, Georgia",33941.0,13,073,2019
"Decatur County, Georgia",48435.0,13,087,2019
"Floyd County, Georgia",38387.0,13,115,2019
"Forsyth County, Georgia",49444.0,13,117,2019
"Habersham County, Georgia",23570.0,13,137,2019
"Hart County, Georgia",14183.0,13,147,2019
"Lowndes County, Georgia",33158.0,13,185,2019
"McIntosh County, Georgia",,13,191,2019
"Meriwether County, Georgia",15531.0,13,199,2019
"Monroe County, Georgia",39061.0,13,207,2019
"Putnam County, Georgia",8723.0,13,237,2019
"Sumter County, Georgia",10777.0,13,261,2019
"Taliaferro County, Georgia",,13,265,2019
"Warren County, Georgia",,13,301,2019
"Wayne County, Iowa",29200.0,19,185,2019
"Scott County, Iowa",35512.0,19,163,2019
"Sherman County, Kansas",,20,181,2019
"Thomas County, Kansas",4619.0,20,193,2019
"Morris County, Kansas",12230.0,20,127,2019
"Rooks County, Kansas",,20,163,2019
"Clark County, Kansas",51235.0,20,025,2019
"Harper County, Kansas",,20,077,2019
"Lyon County, Kansas",11580.0,20,111,2019
"Pawnee County, Kansas",,20,145,2019
"Comanche County, Kansas",-666666666.0,20,033,2019
"Gove County, Kansas",10300.0,20,063,2019
"Harvey County, Kansas",33082.0,20,079,2019
"Kearny County, Kansas",,20,093,2019
"McPherson County, Kansas",25031.0,20,113,2019
"Desha County, Arkansas",,05,041,2019
"Fulton County, Arkansas",,05,049,2019
"Howard County, Arkansas",,05,061,2019
"Garland County, Arkansas",30512.0,05,051,2019
"Mississippi County, Arkansas",21266.0,05,093,2019
"Pope County, Arkansas",26367.0,05,115,2019
"Prairie County, Arkansas",,05,117,2019
"Union County, Arkansas",50605.0,05,139,2019
"Woodruff County, Arkansas",,05,147,2019
"Cleburne County, Arkansas",16995.0,05,023,2019
"Cleveland County, Arkansas",-666666666.0,05,025,2019
"Jackson County, Arkansas",,05,067,2019
"Hempstead County, Arkansas",,05,057,2019
"Sharp County, Arkansas",,05,135,2019
"Stone County, Arkansas",37298.0,05,137,2019
"Washington County, Arkansas",26763.0,05,143,2019
"Baxter County, Arkansas",22304.0,05,005,2019
"Ashley County, Arkansas",52467.0,05,003,2019
"Craighead County, Arkansas",26842.0,05,031,2019
"Greene County, Arkansas",7451.0,05,055,2019
"Perry County, Arkansas",-666666666.0,05,105,2019
"Poinsett County, Arkansas",,05,111,2019
"Sevier County, Arkansas",180942.0,05,133,2019
"Calhoun County, Arkansas",-666666666.0,05,013,2019
"Clark County, Arkansas",26017.0,05,019,2019
"Lawrence County, Arkansas",11424.0,05,075,2019
