NAME,B19202B_001E,state,county,year
"Washington County, Mississippi",16407.0,28,151,2018
"Perry County, Mississippi",14489.0,28,111,2018
"Choctaw County, Mississippi",13932.0,28,019,2018
"Itawamba County, Mississippi",11512.0,28,057,2018
"Carroll County, Mississippi",12222.0,28,015,2018
"Grenada County, Mississippi",17239.0,28,043,2018
"Jefferson County, Mississippi",12997.0,28,063,2018
"Greene County, Mississippi",-666666666.0,28,041,2018
"Marshall County, Mississippi",21453.0,28,093,2018
"Quitman County, Mississippi",12838.0,28,119,2018
"Bolivar County, Mississippi",13780.0,28,011,2018
"Lamar County, Mississippi",26956.0,28,073,2018
"Lee County, Mississippi",19051.0,28,081,2018
"Pike County, Mississippi",15198.0,28,113,2018
"Tallahatchie County, Mississippi",12188.0,28,135,2018
"Smith County, Mississippi",21798.0,28,129,2018
"Stone County, Mississippi",15128.0,28,131,2018
"Warren County, Mississippi",19200.0,28,149,2018
"Clarke County, Mississippi",11896.0,28,023,2018
"Kemper County, Mississippi",14803.0,28,069,2018
"Montgomery County, Mississippi",20495.0,28,097,2018
"Oktibbeha County, Mississippi",16713.0,28,105,2018
"Pearl River County, Mississippi",17268.0,28,109,2018
"Leake County, Mississippi",16537.0,28,079,2018
"Noxubee County, Mississippi",16844.0,28,103,2018
"Neshoba County, Mississippi",15432.0,28,099,2018
"Rankin County, Mississippi",25471.0,28,121,2018
"Tate County, Mississippi",17418.0,28,137,2018
"Lawrence County, Mississippi",30121.0,28,077,2018
"Panola County, Mississippi",17514.0,28,107,2018
"Yalobusha County, Mississippi",11929.0,28,161,2018
"Chickasaw County, Mississippi",13250.0,28,017,2018
"Copiah County, Mississippi",16656.0,28,029,2018
"George County, Mississippi",-666666666.0,28,039,2018
"Hinds County, Mississippi",23887.0,28,049,2018
"Newton County, Mississippi",18181.0,28,101,2018
"Union County, Mississippi",16173.0,28,145,2018
"Sharkey County, Mississippi",14541.0,28,125,2018
"Tippah County, Mississippi",17109.0,28,139,2018
"Forrest County, Mississippi",20273.0,28,035,2018
"Hancock County, Mississippi",13923.0,28,045,2018
