NAME,B19202H_001E,state,county,year
"Washington County, Mississippi",31769.0,28,151,2018
"Perry County, Mississippi",17407.0,28,111,2018
"Choctaw County, Mississippi",25952.0,28,019,2018
"Itawamba County, Mississippi",21555.0,28,057,2018
"Carroll County, Mississippi",21842.0,28,015,2018
"Grenada County, Mississippi",32236.0,28,043,2018
"Jefferson County, Mississippi",29211.0,28,063,2018
"Greene County, Mississippi",25089.0,28,041,2018
"Marshall County, Mississippi",26667.0,28,093,2018
"Quitman County, Mississippi",26689.0,28,119,2018
"Bolivar County, Mississippi",27426.0,28,011,2018
"Lamar County, Mississippi",27934.0,28,073,2018
"Lee County, Mississippi",27376.0,28,081,2018
"Pike County, Mississippi",21382.0,28,113,2018
"Tallahatchie County, Mississippi",27995.0,28,135,2018
"Smith County, Mississippi",17043.0,28,129,2018
"Stone County, Mississippi",30875.0,28,131,2018
"Warren County, Mississippi",39861.0,28,149,2018
"Clarke County, Mississippi",24895.0,28,023,2018
"Kemper County, Mississippi",22962.0,28,069,2018
"Montgomery County, Mississippi",20750.0,28,097,2018
"Oktibbeha County, Mississippi",22641.0,28,105,2018
"Pearl River County, Mississippi",22584.0,28,109,2018
"Leake County, Mississippi",18846.0,28,079,2018
"Noxubee County, Mississippi",24813.0,28,103,2018
"Neshoba County, Mississippi",18731.0,28,099,2018
"Rankin County, Mississippi",38295.0,28,121,2018
"Tate County, Mississippi",37664.0,28,137,2018
"Lawrence County, Mississippi",18893.0,28,077,2018
"Panola County, Mississippi",26948.0,28,107,2018
"Yalobusha County, Mississippi",27700.0,28,161,2018
"Chickasaw County, Mississippi",22667.0,28,017,2018
"Copiah County, Mississippi",27134.0,28,029,2018
"George County, Mississippi",22030.0,28,039,2018
"Hinds County, Mississippi",37342.0,28,049,2018
"Newton County, Mississippi",22246.0,28,101,2018
"Union County, Mississippi",23877.0,28,145,2018
"Sharkey County, Mississippi",41786.0,28,125,2018
"Tippah County, Mississippi",18203.0,28,139,2018
"Forrest County, Mississippi",26872.0,28,035,2018
"Hancock County, Mississippi",31345.0,28,045,2018
"Lafayette County, Mississippi",28621.0,28,071,2018
"Issaquena County, Mississippi",-666666666.0,28,055,2018
"Lowndes County, Mississippi",35642.0,28,087,2018
"Leflore County, Mississippi",33929.0,28,083,2018
"Wilkinson County, Mississippi",28750.0,28,157,2018
"Harrison County, Mississippi",32707.0,28,047,2018
"Jefferson Davis County, Mississippi",20772.0,28,065,2018
"Lincoln County, Mississippi",25365.0,28,085,2018
"Scott County, Mississippi",20069.0,28,123,2018
"Winston County, Mississippi",23846.0,28,159,2018
"Yazoo County, Mississippi",23736.0,28,163,2018
"Benton County, Mississippi",21818.0,28,009,2018
"Franklin County, Mississippi",31842.0,28,037,2018
"Jasper County, Mississippi",29786.0,28,061,2018
"Jones County, Mississippi",26525.0,28,067,2018
"Monroe County, Mississippi",22718.0,28,095,2018
"Sunflower County, Mississippi",35143.0,28,133,2018
"Webster County, Mississippi",26445.0,28,155,2018
"Adams County, Mississippi",25888.0,28,001,2018
"Clay County, Mississippi",24901.0,28,025,2018
"Covington County, Mississippi",26399.0,28,031,2018
"Humphreys County, Mississippi",27440.0,28,053,2018
"Saline County, Missouri",25791.0,29,195,2018
"Madison County, Missouri",21342.0,29,123,2018
"Wright County, Missouri",19414.0,29,229,2018
"Vernon County, Missouri",25732.0,29,217,2018
"Nodaway County, Missouri",26865.0,29,147,2018
"Chariton County, Missouri",21563.0,29,041,2018
"Grundy County, Missouri",22361.0,29,079,2018
"Morgan County, Missouri",23988.0,29,141,2018
"Wayne County, Missouri",16350.0,29,223,2018
"Bollinger County, Missouri",21795.0,29,017,2018
"Cape Girardeau County, Missouri",29612.0,29,031,2018
"Shelby County, Missouri",20335.0,29,205,2018
"Webster County, Missouri",25900.0,29,225,2018
"Atchison County, Missouri",29132.0,29,005,2018
"Bates County, Missouri",25192.0,29,013,2018
"Benton County, Missouri",21344.0,29,015,2018
"Carter County, Missouri",17459.0,29,035,2018
"Dade County, Missouri",26887.0,29,057,2018
"Linn County, Missouri",25650.0,29,115,2018
