NAME,B19301A_001E,state,county,year,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,B19301H_001E,B19301I_001E,B19301_001E
"Morgan County, Utah",32424.0,49,29,2018,,,33028.0,,5558.0,9591.0,32762.0,14689.0,31936.0
"Cache County, Utah",23587.0,49,5,2018,16003.0,13231.0,16247.0,12217.0,14855.0,11481.0,24482.0,13013.0,22666.0
"Garfield County, Utah",24468.0,49,17,2018,,19730.0,,,11998.0,10590.0,24565.0,20109.0,24055.0
"Juab County, Utah",23139.0,49,23,2018,,30470.0,,,9175.0,10160.0,23277.0,10646.0,22498.0
"Rutland County, Vermont",30328.0,50,21,2018,19888.0,27434.0,33283.0,,10929.0,18709.0,30477.0,18098.0,30109.0
"Orleans County, Vermont",27012.0,50,19,2018,14306.0,16957.0,15530.0,,32117.0,15920.0,27074.0,21460.0,26657.0
"Grand Isle County, Vermont",40867.0,50,13,2018,84869.0,50003.0,22068.0,,,22989.0,41042.0,30813.0,40464.0
"Orange County, Vermont",31089.0,50,17,2018,27831.0,22629.0,22465.0,,11506.0,24465.0,31241.0,18598.0,30836.0
"Chittenden County, Vermont",39155.0,50,7,2018,16192.0,28343.0,26877.0,81898.0,19548.0,17578.0,39346.0,25973.0,37507.0
"Lamoille County, Vermont",33240.0,50,15,2018,24127.0,19142.0,122108.0,,38911.0,11329.0,33299.0,23538.0,33247.0
"Windsor County, Vermont",35503.0,50,27,2018,32449.0,18132.0,30885.0,255708.0,20831.0,15698.0,35638.0,23791.0,35152.0
"Caledonia County, Vermont",28547.0,50,5,2018,15998.0,20739.0,12081.0,,10713.0,18596.0,28584.0,20211.0,28085.0
"Tazewell County, Virginia",23784.0,51,185,2018,10701.0,58719.0,22678.0,,,15708.0,23810.0,17884.0,23366.0
"Windham County, Vermont",32353.0,50,25,2018,10371.0,10830.0,17138.0,14642.0,11830.0,21949.0,32464.0,20309.0,31563.0
"Addison County, Vermont",33876.0,50,1,2018,19348.0,13869.0,25833.0,,10269.0,21505.0,34131.0,15480.0,33120.0
"Washington County, Vermont",34600.0,50,23,2018,20820.0,13845.0,28936.0,29744.0,15430.0,18972.0,34849.0,19380.0,34033.0
"Falls Church city, Virginia",78108.0,51,610,2018,47505.0,,41803.0,,23570.0,9519.0,81997.0,39179.0,69775.0
"Manassas Park city, Virginia",32753.0,51,685,2018,34491.0,33960.0,28473.0,,22294.0,19856.0,41472.0,21458.0,31420.0
"Poquoson city, Virginia",40291.0,51,735,2018,63128.0,,46452.0,,,22028.0,40605.0,30397.0,40277.0
"Sussex County, Virginia",24843.0,51,183,2018,14494.0,,14160.0,,9472.0,7785.0,24862.0,14186.0,18363.0
"Waynesboro city, Virginia",27776.0,51,820,2018,17191.0,23522.0,8159.0,,7372.0,7614.0,28684.0,13372.0,25421.0
"Roanoke city, Virginia",30384.0,51,770,2018,17721.0,38512.0,34355.0,,16287.0,16502.0,31191.0,15134.0,26119.0
"Salem city, Virginia",33017.0,51,775,2018,23324.0,1868.0,28164.0,,2108.0,8267.0,33036.0,20753.0,31274.0
"Norfolk city, Virginia",37818.0,51,710,2018,19121.0,25590.0,29159.0,27058.0,20172.0,22954.0,38782.0,22382.0,28508.0
"Charlotte County, Virginia",22344.0,51,37,2018,17119.0,,34287.0,,,4841.0,22556.0,7312.0,20585.0
"Fairfax County, Virginia",63643.0,51,59,2018,40999.0,41335.0,46921.0,39996.0,21685.0,28416.0,70602.0,27746.0,54725.0
"Greensville County, Virginia",23906.0,51,81,2018,13871.0,,,,3283.0,7142.0,24512.0,2598.0,17500.0
"James City County, Virginia",47788.0,51,95,2018,26245.0,40276.0,49651.0,,28262.0,15548.0,48423.0,34697.0,43815.0
"Russell County, Virginia",21984.0,51,167,2018,13312.0,,,,,13060.0,22007.0,15069.0,21754.0
"Smyth County, Virginia",22759.0,51,173,2018,11492.0,,17018.0,,15642.0,8591.0,22930.0,13513.0,22297.0
"Lexington city, Virginia",19017.0,51,678,2018,9993.0,,11719.0,,,6139.0,19690.0,6572.0,17762.0
"Campbell County, Virginia",29244.0,51,31,2018,23543.0,7934.0,12554.0,,26346.0,12887.0,29476.0,20633.0,27842.0
"Henry County, Virginia",22045.0,51,89,2018,22396.0,,12037.0,,9591.0,13327.0,22072.0,13444.0,21501.0
"King George County, Virginia",39491.0,51,99,2018,29513.0,56463.0,48271.0,,42560.0,21134.0,40190.0,30336.0,37316.0
"Lancaster County, Virginia",45546.0,51,103,2018,19592.0,,14462.0,,,7888.0,45637.0,31289.0,37196.0
"Lee County, Virginia",19007.0,51,105,2018,7061.0,4113.0,185850.0,,,,19052.0,10200.0,18750.0
"Mathews County, Virginia",42311.0,51,115,2018,18338.0,,,,,22415.0,42451.0,22501.0,39119.0
"Middlesex County, Virginia",32958.0,51,119,2018,17712.0,52322.0,,,18819.0,15382.0,32940.0,78810.0,29707.0
"Prince George County, Virginia",31881.0,51,149,2018,26733.0,15179.0,20962.0,12882.0,16721.0,16743.0,32312.0,20858.0,28873.0
"Rockingham County, Virginia",30671.0,51,165,2018,20028.0,12642.0,22661.0,33070.0,19979.0,27605.0,31440.0,20631.0,30138.0
"Scott County, Virginia",21389.0,51,169,2018,5159.0,12321.0,19953.0,,,7557.0,21531.0,10207.0,21157.0
"Surry County, Virginia",33131.0,51,181,2018,23731.0,,,,26000.0,25461.0,32875.0,58914.0,28688.0
"Appomattox County, Virginia",29695.0,51,11,2018,16744.0,,3679.0,,94588.0,11879.0,29844.0,29709.0,26890.0
"Franklin County, Virginia",30221.0,51,67,2018,19429.0,20379.0,36066.0,,9819.0,12438.0,30540.0,14544.0,28866.0
"King and Queen County, Virginia",29406.0,51,97,2018,26151.0,31086.0,,,,6744.0,29732.0,20919.0,27306.0
"Montgomery County, Virginia",29981.0,51,121,2018,22742.0,19442.0,24081.0,10292.0,14162.0,20807.0,30209.0,23522.0,28920.0
"New Kent County, Virginia",37657.0,51,127,2018,33991.0,47947.0,26796.0,,21465.0,22858.0,37953.0,27849.0,36458.0
"Cumberland County, Virginia",28937.0,51,49,2018,19705.0,,28828.0,,,7084.0,28968.0,,25177.0
"Goochland County, Virginia",53788.0,51,75,2018,22757.0,12537.0,51170.0,,12865.0,19839.0,54414.0,28673.0,47806.0
"Halifax County, Virginia",26348.0,51,83,2018,17635.0,,30156.0,,18708.0,6375.0,26403.0,18311.0,22716.0
"Madison County, Virginia",31811.0,51,113,2018,25820.0,,7790.0,,23681.0,17270.0,32006.0,19410.0,30351.0
"Prince William County, Virginia",43799.0,51,153,2018,40099.0,26845.0,32834.0,28618.0,20781.0,23656.0,50091.0,23325.0,39262.0
"Southampton County, Virginia",29480.0,51,175,2018,19584.0,18152.0,,,26934.0,17971.0,29799.0,15913.0,25643.0
"Highland County, Virginia",30957.0,51,91,2018,,,,,,27713.0,30957.0,,30967.0
"Brunswick County, Virginia",28610.0,51,25,2018,14989.0,,2646.0,,9585.0,18168.0,29181.0,7913.0,20657.0
"Caroline County, Virginia",31582.0,51,33,2018,33004.0,97000.0,11454.0,,30994.0,20796.0,31719.0,25074.0,31536.0
"Gloucester County, Virginia",33551.0,51,73,2018,32242.0,,33734.0,,,26575.0,33924.0,22971.0,33295.0
"Northampton County, Virginia",31417.0,51,131,2018,17910.0,,31062.0,,15396.0,13853.0,34458.0,11277.0,26467.0
"Patrick County, Virginia",23416.0,51,141,2018,18311.0,13652.0,19613.0,,26927.0,12342.0,23810.0,9325.0,23016.0
"Powhatan County, Virginia",38510.0,51,145,2018,14829.0,20011.0,46696.0,,17446.0,29072.0,38830.0,24588.0,35641.0
"Rockbridge County, Virginia",32257.0,51,163,2018,25280.0,31301.0,36235.0,,4520.0,11153.0,32523.0,6157.0,31594.0
"Shenandoah County, Virginia",28446.0,51,171,2018,33801.0,49787.0,25475.0,,12111.0,13914.0,29362.0,15053.0,28064.0
"Fauquier County, Virginia",47084.0,51,61,2018,33862.0,24007.0,31094.0,61611.0,16574.0,20076.0,48891.0,22836.0,44724.0
"Charles City County, Virginia",45312.0,51,36,2018,32116.0,29078.0,9632.0,,16918.0,17597.0,45591.0,33380.0,37059.0
"Culpeper County, Virginia",34098.0,51,47,2018,22523.0,24016.0,30265.0,,17632.0,10732.0,35587.0,17183.0,30812.0
"Dinwiddie County, Virginia",29280.0,51,53,2018,23869.0,,26472.0,,15247.0,8662.0,29900.0,14507.0,27106.0
"Greene County, Virginia",33180.0,51,79,2018,28849.0,,33928.0,,35603.0,20258.0,34334.0,19227.0,32565.0
"Hanover County, Virginia",40682.0,51,85,2018,35815.0,30477.0,34540.0,4378.0,34228.0,18811.0,41129.0,25234.0,39604.0
"Lunenburg County, Virginia",20624.0,51,111,2018,14453.0,,30073.0,,7016.0,14533.0,21032.0,9586.0,18677.0
"Orange County, Virginia",33122.0,51,137,2018,26297.0,,26186.0,,26188.0,12329.0,33859.0,18939.0,31362.0
"Harrisonburg city, Virginia",22488.0,51,660,2018,19970.0,,16621.0,,21704.0,18090.0,24638.0,15524.0,21793.0
"Emporia city, Virginia",24098.0,51,595,2018,17461.0,,,,,6973.0,25252.0,13826.0,18694.0
"Wythe County, Virginia",27051.0,51,197,2018,20345.0,7942.0,17066.0,,,7370.0,27203.0,13145.0,26513.0
"Chesapeake city, Virginia",37151.0,51,550,2018,28513.0,37874.0,43152.0,18582.0,21990.0,18699.0,37782.0,24572.0,33844.0
"Albemarle County, Virginia",45118.0,51,3,2018,29424.0,18758.0,34124.0,,18442.0,17868.0,46297.0,23974.0,42085.0
"Bedford County, Virginia",33112.0,51,19,2018,21459.0,,26880.0,,10615.0,12472.0,33300.0,21564.0,31796.0
"Botetourt County, Virginia",34876.0,51,23,2018,31309.0,22368.0,12834.0,,14027.0,8117.0,34784.0,27076.0,33983.0
"Wise County, Virginia",22480.0,51,195,2018,11249.0,28086.0,65409.0,,18638.0,8737.0,22580.0,8543.0,21828.0
"Bristol city, Virginia",24369.0,51,520,2018,15423.0,,,,,6971.0,24528.0,,22900.0
"Portsmouth city, Virginia",32098.0,51,740,2018,20620.0,35966.0,29749.0,14879.0,21664.0,13923.0,32584.0,21351.0,25179.0
"Williamsburg city, Virginia",33657.0,51,830,2018,22898.0,4539.0,5387.0,,8195.0,12430.0,35816.0,10637.0,29203.0
"Alleghany County, Virginia",28303.0,51,5,2018,11552.0,,,,14559.0,6335.0,28226.0,21347.0,26918.0
"Carroll County, Virginia",25244.0,51,35,2018,2402.0,18707.0,,,,11028.0,25534.0,13132.0,24868.0
"Washington County, Virginia",26230.0,51,191,2018,14191.0,17638.0,48576.0,,13519.0,23913.0,26334.0,11127.0,26085.0
"Northumberland County, Virginia",38817.0,51,133,2018,22658.0,,112507.0,,,10663.0,38866.0,26863.0,34006.0
"Page County, Virginia",25529.0,51,139,2018,20019.0,,15128.0,,6957.0,12648.0,25721.0,11908.0,25021.0
"Warren County, Virginia",32169.0,51,187,2018,26995.0,,24656.0,,16202.0,15189.0,32466.0,22243.0,31007.0
"Alexandria city, Virginia",72844.0,51,510,2018,34716.0,43386.0,55875.0,38663.0,23382.0,36213.0,81358.0,28327.0,59239.0
"Fredericksburg city, Virginia",40318.0,51,630,2018,29412.0,83355.0,27397.0,,13644.0,19995.0,40479.0,20584.0,34722.0
"Hampton city, Virginia",33670.0,51,650,2018,25138.0,26270.0,25693.0,45619.0,19818.0,17855.0,33996.0,23870.0,28384.0
"Arlington County, Virginia",78958.0,51,13,2018,38827.0,40942.0,56170.0,23602.0,24547.0,52394.0,84447.0,38256.0,69051.0
"Hopewell city, Virginia",25789.0,51,670,2018,18276.0,,10666.0,,24212.0,13423.0,26525.0,17745.0,22038.0
"Buchanan County, Virginia",18964.0,51,27,2018,4275.0,65982.0,36595.0,,35367.0,23552.0,18977.0,16953.0,18865.0
"Frederick County, Virginia",34785.0,51,69,2018,30356.0,16278.0,38246.0,40723.0,24603.0,11899.0,36224.0,17818.0,33961.0
"Stafford County, Virginia",43757.0,51,179,2018,41674.0,58856.0,36685.0,38011.0,22933.0,21835.0,44394.0,28598.0,40850.0
"York County, Virginia",41346.0,51,199,2018,34487.0,24953.0,38609.0,25005.0,31968.0,17454.0,42242.0,25888.0,39071.0
"Richmond city, Virginia",46552.0,51,760,2018,18904.0,23572.0,29141.0,31405.0,19808.0,17133.0,50324.0,16170.0,31635.0
"Nelson County, Virginia",38519.0,51,125,2018,23091.0,,,,15995.0,,39191.0,17326.0,36002.0
"Pittsylvania County, Virginia",26389.0,51,143,2018,20130.0,51380.0,22939.0,,12282.0,10450.0,26579.0,11019.0,24443.0
"Norton city, Virginia",21511.0,51,720,2018,15063.0,,23869.0,,,,21405.0,,20917.0
"Fluvanna County, Virginia",38206.0,51,65,2018,28235.0,1313.0,329314.0,,11440.0,14683.0,38366.0,159305.0,39900.0
"Amelia County, Virginia",31404.0,51,7,2018,22438.0,,,,,19882.0,32120.0,16267.0,29114.0
"Winchester city, Virginia",31809.0,51,840,2018,21882.0,32281.0,65743.0,,10116.0,7701.0,35583.0,13472.0,29727.0
"Accomack County, Virginia",27590.0,51,1,2018,16740.0,24782.0,33091.0,,12097.0,32706.0,29647.0,12415.0,24355.0
"Floyd County, Virginia",26379.0,51,63,2018,18779.0,49809.0,,,,12282.0,26698.0,14282.0,26134.0
"Grayson County, Virginia",21719.0,51,77,2018,8402.0,,34180.0,,12715.0,14057.0,22046.0,10525.0,20930.0
"Nottoway County, Virginia",24486.0,51,135,2018,21941.0,,1570.0,,10166.0,1399.0,24886.0,11208.0,23109.0
"Harrison County, West Virginia",28159.0,54,33,2018,24518.0,,48861.0,,7051.0,12442.0,28307.0,15584.0,27869.0
"Ohio County, West Virginia",31285.0,54,69,2018,13862.0,5483.0,32730.0,,52985.0,10745.0,31343.0,22078.0,30258.0
"Calhoun County, West Virginia",19919.0,54,13,2018,,,,,,20188.0,20205.0,5852.0,19911.0
"Morgan County, West Virginia",27866.0,54,65,2018,42559.0,16150.0,38735.0,,,14609.0,28124.0,9229.0,27642.0
"Raleigh County, West Virginia",24789.0,54,81,2018,17333.0,17589.0,61354.0,,17840.0,10567.0,24865.0,16583.0,24170.0
"Braxton County, West Virginia",21723.0,54,7,2018,3504.0,,,,,18133.0,21858.0,6980.0,21596.0
"Barbour County, West Virginia",22780.0,54,1,2018,4840.0,,7785.0,,,8655.0,22846.0,5261.0,22237.0
"McDowell County, West Virginia",15167.0,54,47,2018,11330.0,,,,5514.0,,15186.0,5522.0,14489.0
"Wayne County, West Virginia",21429.0,54,99,2018,9104.0,,32277.0,,4254.0,5940.0,21354.0,25455.0,21240.0
"Wyoming County, West Virginia",21099.0,54,109,2018,9655.0,,,,,9217.0,21116.0,,20831.0
"Jackson County, West Virginia",24684.0,54,35,2018,,42718.0,38375.0,,,5630.0,24769.0,7821.0,24661.0
"Mercer County, West Virginia",22368.0,54,55,2018,15988.0,27256.0,30868.0,,13818.0,9617.0,22458.0,10964.0,21821.0
"Upshur County, West Virginia",22010.0,54,97,2018,12069.0,,8767.0,,,10801.0,22114.0,14005.0,21701.0
"Webster County, West Virginia",20473.0,54,101,2018,,,,,,,20473.0,,20507.0
"Berkeley County, West Virginia",29589.0,54,3,2018,23994.0,28062.0,31458.0,,19101.0,19130.0,29783.0,22108.0,28736.0
"Fayette County, West Virginia",21666.0,54,19,2018,17634.0,20942.0,5830.0,,25942.0,23278.0,21802.0,11282.0,21466.0
"Grant County, West Virginia",22604.0,54,23,2018,39028.0,,,,,16682.0,22584.0,25782.0,22828.0
"Hampshire County, West Virginia",23228.0,54,27,2018,15741.0,,,,,12776.0,23360.0,16401.0,23011.0
"Summers County, West Virginia",21390.0,54,89,2018,14048.0,,,,,8720.0,21350.0,21810.0,20784.0
"Brooke County, West Virginia",26078.0,54,9,2018,15135.0,,6841.0,,10614.0,5518.0,26172.0,10257.0,25537.0
"Doddridge County, West Virginia",22942.0,54,17,2018,7515.0,,,,,14717.0,23088.0,2341.0,22598.0
"Mineral County, West Virginia",23684.0,54,57,2018,15042.0,,113077.0,,12204.0,5728.0,23845.0,5930.0,23546.0
"Greenbrier County, West Virginia",24437.0,54,25,2018,25058.0,,9168.0,,5026.0,10890.0,24483.0,19137.0,23936.0
"Hardy County, West Virginia",26215.0,54,31,2018,35221.0,,30028.0,,,3313.0,26424.0,10095.0,26596.0
"Marion County, West Virginia",26683.0,54,49,2018,17032.0,6890.0,11629.0,,8419.0,12482.0,26698.0,23864.0,25909.0
"Mingo County, West Virginia",19368.0,54,59,2018,14983.0,,,,4072.0,2539.0,19368.0,,19025.0
"Hancock County, West Virginia",26061.0,54,29,2018,28135.0,,29258.0,,,6882.0,26192.0,15653.0,25637.0
"Lewis County, West Virginia",22889.0,54,41,2018,5060.0,,,,,6722.0,23092.0,4125.0,22575.0
"Nicholas County, West Virginia",22144.0,54,67,2018,15013.0,,,,19061.0,13446.0,22152.0,26622.0,21941.0
"Pocahontas County, West Virginia",24276.0,54,75,2018,14819.0,,,,21290.0,,24270.0,24038.0,24109.0
"Tyler County, West Virginia",24680.0,54,95,2018,,,16817.0,,,,24706.0,21358.0,24422.0
"Randolph County, West Virginia",24484.0,54,83,2018,11278.0,26234.0,12071.0,,,26499.0,24543.0,17239.0,24162.0
"Taylor County, West Virginia",24676.0,54,91,2018,11970.0,,15332.0,,,14775.0,24757.0,13344.0,24258.0
"Wirt County, West Virginia",21663.0,54,105,2018,,,,,,,21746.0,14394.0,21314.0
"Clay County, West Virginia",16710.0,54,15,2018,,,,,,,16711.0,,16780.0
"Gilmer County, West Virginia",19441.0,54,21,2018,5277.0,,20108.0,,8414.0,8102.0,19763.0,6328.0,17313.0
"Monongalia County, West Virginia",31734.0,54,61,2018,22635.0,22372.0,26950.0,,18222.0,12149.0,31876.0,21534.0,30641.0
"Monroe County, West Virginia",23741.0,54,63,2018,25205.0,10240.0,,,,6444.0,23728.0,25204.0,23412.0
"Wetzel County, West Virginia",23043.0,54,103,2018,,,,,,8507.0,23072.0,14987.0,22789.0
"Cabell County, West Virginia",25447.0,54,11,2018,13987.0,17891.0,34483.0,13077.0,5186.0,8743.0,25477.0,17412.0,24506.0
"Kanawha County, West Virginia",29337.0,54,39,2018,19212.0,9875.0,60731.0,,14630.0,11351.0,29345.0,23620.0,28405.0
"Pendleton County, West Virginia",25050.0,54,71,2018,19738.0,,,,,7451.0,25244.0,,24739.0
"Preston County, West Virginia",24662.0,54,77,2018,5848.0,14090.0,8851.0,,3800.0,9022.0,24978.0,5522.0,23337.0
"Kitsap County, Washington",38378.0,53,35,2018,26144.0,23436.0,32375.0,30483.0,23155.0,19519.0,39098.0,23613.0,35826.0
"King County, Washington",56263.0,53,33,2018,27730.0,25834.0,48026.0,23120.0,19518.0,26565.0,58176.0,24909.0,49298.0
"Pend Oreille County, Washington",27431.0,53,51,2018,,24803.0,26275.0,18983.0,15357.0,17531.0,27541.0,18935.0,26739.0
"San Juan County, Washington",43737.0,53,55,2018,34456.0,25530.0,28597.0,18576.0,15665.0,30178.0,44590.0,18422.0,42307.0
"Whitman County, Washington",23654.0,53,75,2018,20774.0,14228.0,20185.0,9444.0,20353.0,10349.0,24271.0,12189.0,22585.0
"Yakima County, Washington",24039.0,53,77,2018,17422.0,17092.0,41084.0,19857.0,15704.0,13698.0,32065.0,14181.0,22459.0
"Cowlitz County, Washington",28358.0,53,15,2018,21459.0,16420.0,32216.0,22986.0,16251.0,14945.0,29320.0,13378.0,27264.0
"Ferry County, Washington",25923.0,53,19,2018,17491.0,18735.0,9035.0,13027.0,12500.0,14097.0,25832.0,19516.0,23640.0
"Lewis County, Washington",26222.0,53,41,2018,16031.0,26217.0,55969.0,31493.0,13745.0,16150.0,27319.0,13623.0,25813.0
"Grays Harbor County, Washington",26165.0,53,27,2018,10625.0,17167.0,37742.0,22143.0,15466.0,17807.0,27486.0,13891.0,25374.0
"Island County, Washington",37057.0,53,29,2018,24342.0,26150.0,29846.0,30916.0,25224.0,23015.0,38060.0,21687.0,35364.0
"Wahkiakum County, Washington",31178.0,53,69,2018,,32812.0,,,2952.0,7969.0,31873.0,16056.0,29452.0
"Franklin County, Washington",26334.0,53,21,2018,18745.0,17016.0,33489.0,27031.0,14863.0,11397.0,33768.0,15379.0,23373.0
"Grant County, Washington",27215.0,53,25,2018,19556.0,24723.0,26585.0,38012.0,14498.0,11821.0,31115.0,14014.0,23633.0
"Whatcom County, Washington",32407.0,53,73,2018,22762.0,18172.0,28571.0,25352.0,17363.0,18091.0,33240.0,17911.0,30586.0
"Okanogan County, Washington",26402.0,53,47,2018,25037.0,22005.0,14449.0,18826.0,14832.0,13384.0,28246.0,12473.0,23961.0
"Kittitas County, Washington",29428.0,53,37,2018,18960.0,38126.0,15176.0,16717.0,16037.0,11866.0,30173.0,16514.0,27948.0
"Benton County, Washington",33768.0,53,5,2018,23370.0,24473.0,47985.0,27139.0,17630.0,14304.0,36444.0,16343.0,31580.0
"Columbia County, Washington",32650.0,53,13,2018,18770.0,,12400.0,,,25561.0,33819.0,18263.0,31206.0
"Asotin County, Washington",28455.0,53,3,2018,,11534.0,75749.0,,19404.0,12080.0,28814.0,11429.0,27896.0
"Garfield County, Washington",26923.0,53,23,2018,,,12368.0,,,6759.0,27528.0,,25539.0
"Mason County, Washington",29318.0,53,45,2018,28097.0,16897.0,24701.0,26291.0,9516.0,16879.0,29797.0,10851.0,27253.0
"Stevens County, Washington",26395.0,53,65,2018,28682.0,15594.0,15925.0,29432.0,14081.0,14539.0,26753.0,11771.0,25197.0
"Spokane County, Washington",31530.0,53,63,2018,19108.0,16957.0,24442.0,17266.0,19341.0,15733.0,31915.0,19435.0,29982.0
"Chelan County, Washington",31048.0,53,7,2018,18328.0,18139.0,20843.0,47590.0,14340.0,28272.0,34605.0,16060.0,29204.0
"Rock County, Wisconsin",29780.0,55,105,2018,17855.0,19215.0,23593.0,21125.0,16873.0,8576.0,30893.0,12989.0,28103.0
"Waushara County, Wisconsin",28648.0,55,137,2018,7636.0,16275.0,18234.0,,9652.0,10019.0,29294.0,10916.0,27347.0
"Adams County, Wisconsin",26676.0,55,1,2018,8064.0,6787.0,9008.0,,18616.0,15579.0,27058.0,10981.0,25591.0
"Bayfield County, Wisconsin",31763.0,55,7,2018,12949.0,18392.0,18667.0,,21724.0,19142.0,32095.0,8854.0,29886.0
"Lafayette County, Wisconsin",28478.0,55,65,2018,16529.0,8733.0,14351.0,,23261.0,25571.0,28922.0,16120.0,28198.0
"Monroe County, Wisconsin",28015.0,55,81,2018,35412.0,26893.0,25196.0,23520.0,20093.0,12942.0,28364.0,16762.0,27729.0
"Pierce County, Wisconsin",33121.0,55,93,2018,13238.0,19114.0,10186.0,,27405.0,23072.0,33266.0,24528.0,32525.0
"Wood County, Wisconsin",30280.0,55,141,2018,25758.0,20020.0,42738.0,,12472.0,12229.0,30494.0,15622.0,30006.0
"Ashland County, Wisconsin",24526.0,55,3,2018,2816.0,16757.0,18849.0,,15276.0,28441.0,24762.0,11613.0,23505.0
"Calumet County, Wisconsin",34713.0,55,15,2018,16221.0,52429.0,21573.0,,19159.0,10036.0,35508.0,14518.0,34015.0
"Florence County, Wisconsin",30836.0,55,37,2018,,34100.0,,,,19265.0,30926.0,25884.0,30674.0
"Clark County, Wisconsin",24373.0,55,19,2018,13541.0,31705.0,39968.0,,12135.0,13299.0,24771.0,11795.0,24114.0
"Jefferson County, Wisconsin",31183.0,55,55,2018,13613.0,44170.0,20937.0,,17189.0,15085.0,31994.0,14769.0,30329.0
"Kenosha County, Wisconsin",32794.0,55,59,2018,17528.0,30475.0,34723.0,32895.0,16759.0,12701.0,34555.0,17617.0,30740.0
"Iron County, Wisconsin",28721.0,55,51,2018,12113.0,15493.0,120250.0,,6357.0,15798.0,28524.0,38025.0,28550.0
"St. Croix County, Wisconsin",38153.0,55,109,2018,14831.0,28724.0,23624.0,,15881.0,21136.0,38491.0,18719.0,37419.0
"Oconto County, Wisconsin",29793.0,55,83,2018,25342.0,22896.0,18958.0,,10644.0,14290.0,29998.0,15467.0,29392.0
"Lincoln County, Wisconsin",30047.0,55,69,2018,18752.0,26883.0,41153.0,,,9891.0,30233.0,14774.0,29642.0
"Waupaca County, Wisconsin",31205.0,55,135,2018,10220.0,20348.0,31269.0,,18079.0,9879.0,31613.0,13953.0,30627.0
"Barron County, Wisconsin",28879.0,55,5,2018,16232.0,14172.0,27403.0,,21134.0,11502.0,29091.0,17979.0,28326.0
"Sawyer County, Wisconsin",34337.0,55,113,2018,33119.0,14674.0,19133.0,,12502.0,19540.0,34417.0,13508.0,30094.0
"Green Lake County, Wisconsin",28391.0,55,47,2018,19553.0,20668.0,17870.0,,18161.0,8584.0,28961.0,14850.0,27915.0
"Marquette County, Wisconsin",26529.0,55,77,2018,9910.0,33210.0,28282.0,,17696.0,7575.0,26819.0,16917.0,26068.0
"Marinette County, Wisconsin",27026.0,55,75,2018,11493.0,22993.0,51562.0,,17831.0,23842.0,27127.0,20657.0,26959.0
"Racine County, Wisconsin",33840.0,55,101,2018,14653.0,27785.0,37956.0,67128.0,17717.0,7011.0,35629.0,17443.0,30386.0
"Winnebago County, Wisconsin",34156.0,55,139,2018,10607.0,25266.0,31139.0,,22128.0,9149.0,34915.0,14262.0,33000.0
"Forest County, Wisconsin",26104.0,55,41,2018,12981.0,21666.0,26995.0,,14622.0,8697.0,26272.0,14006.0,24808.0
"Grant County, Wisconsin",25327.0,55,43,2018,6498.0,26865.0,29234.0,,21546.0,10729.0,25550.0,11701.0,24974.0
"Rusk County, Wisconsin",24724.0,55,107,2018,19543.0,20538.0,40394.0,,15980.0,28112.0,24852.0,14805.0,24731.0
"Sheboygan County, Wisconsin",31861.0,55,117,2018,14933.0,27005.0,17671.0,,16969.0,10476.0,32743.0,15099.0,30151.0
"Langlade County, Wisconsin",26743.0,55,67,2018,11905.0,23266.0,16847.0,,9346.0,14705.0,27045.0,8966.0,26212.0
"Outagamie County, Wisconsin",33812.0,55,87,2018,16724.0,19149.0,19417.0,6862.0,14613.0,13516.0,33982.0,19648.0,32098.0
"Vernon County, Wisconsin",27005.0,55,123,2018,9351.0,16130.0,30272.0,,10488.0,15168.0,27074.0,19318.0,26726.0
"Columbia County, Wisconsin",33939.0,55,21,2018,7300.0,16154.0,26268.0,22706.0,16292.0,16197.0,34270.0,17542.0,33012.0
"Kewaunee County, Wisconsin",30477.0,55,61,2018,29435.0,18157.0,30056.0,,10656.0,16351.0,30754.0,15314.0,30098.0
"Brown County, Wisconsin",33807.0,55,9,2018,13030.0,17162.0,26556.0,,13633.0,11745.0,34714.0,13372.0,31213.0
"Marathon County, Wisconsin",33407.0,55,73,2018,13111.0,18388.0,19176.0,33281.0,11977.0,11263.0,33828.0,13100.0,31879.0
"Oneida County, Wisconsin",33357.0,55,85,2018,14963.0,20659.0,28310.0,,,19116.0,33531.0,15625.0,32784.0
"Trempealeau County, Wisconsin",29019.0,55,121,2018,12378.0,17711.0,19257.0,,11337.0,10621.0,29450.0,11493.0,27733.0
"Washburn County, Wisconsin",29876.0,55,129,2018,11447.0,20123.0,22838.0,,41357.0,16111.0,30035.0,16178.0,29336.0
"Dodge County, Wisconsin",29594.0,55,27,2018,9442.0,19587.0,34989.0,,15147.0,10919.0,30013.0,16718.0,28543.0
"Walworth County, Wisconsin",31542.0,55,127,2018,13124.0,33674.0,23210.0,,15428.0,16378.0,32938.0,15137.0,30593.0
"Crawford County, Wisconsin",26972.0,55,23,2018,3088.0,8281.0,8645.0,,17320.0,8971.0,27070.0,12387.0,26038.0
"Manitowoc County, Wisconsin",29548.0,55,71,2018,9869.0,34917.0,16053.0,,16399.0,14678.0,30086.0,15581.0,28803.0
"Sauk County, Wisconsin",29960.0,55,111,2018,20946.0,23037.0,35847.0,,40216.0,10635.0,30367.0,22321.0,29608.0
