NAME,B19301A_001E,state,county,year,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,B19301H_001E,B19301I_001E,B19301_001E
"Benton County, Mississippi",21671.0,28,9,2018,19154.0,,,,12125.0,4183.0,21778.0,11770.0,20363.0
"Franklin County, Mississippi",26316.0,28,37,2018,16690.0,,,,,,26461.0,,22769.0
"Jasper County, Mississippi",31420.0,28,61,2018,14399.0,,,,,2232.0,31420.0,37408.0,21929.0
"Jones County, Mississippi",27209.0,28,67,2018,13121.0,15578.0,42265.0,,7500.0,8697.0,28019.0,13014.0,22836.0
"Monroe County, Mississippi",26348.0,28,95,2018,16711.0,,16793.0,,,4952.0,26515.0,16068.0,23158.0
"Sunflower County, Mississippi",27082.0,28,133,2018,11576.0,11796.0,6952.0,,11831.0,14750.0,28129.0,7096.0,15464.0
"Webster County, Mississippi",23016.0,28,155,2018,13913.0,,18536.0,,,11065.0,23241.0,9949.0,21109.0
"Adams County, Mississippi",25227.0,28,1,2018,13154.0,6993.0,5827.0,,,9896.0,27943.0,3366.0,17851.0
"Clay County, Mississippi",30597.0,28,25,2018,14911.0,,,,,13220.0,30859.0,,21076.0
"Covington County, Mississippi",22125.0,28,31,2018,12377.0,,,,,6480.0,21899.0,52954.0,18353.0
"Humphreys County, Mississippi",32546.0,28,53,2018,11846.0,,59233.0,,22003.0,,33369.0,17679.0,16604.0
"Saline County, Missouri",24501.0,29,195,2018,14987.0,45631.0,19028.0,5322.0,8926.0,10661.0,25056.0,12564.0,22802.0
"Madison County, Missouri",22455.0,29,123,2018,,21215.0,45840.0,,,4273.0,22485.0,21268.0,22119.0
"Wright County, Missouri",18955.0,29,229,2018,131513.0,9104.0,125239.0,,15228.0,8012.0,19088.0,9770.0,19909.0
"Vernon County, Missouri",24906.0,29,217,2018,9022.0,20260.0,21259.0,,43600.0,8232.0,25079.0,13913.0,24388.0
