NAME,B19202B_001E,state,county,year,B19202C_001E,B19202D_001E,B19202F_001E,B19202G_001E,B19202H_001E,B19202I_001E
"Laclede County, Missouri",,29,105,2018,,,63382.0,,22817.0,63113.0
"Maries County, Missouri",,29,125,2018,,,,,23802.0,
"Phelps County, Missouri",,29,161,2018,,,,,24503.0,11656.0
"Platte County, Missouri",32405.0,29,165,2018,,,82188.0,37321.0,46778.0,57543.0
"St. Francois County, Missouri",42817.0,29,187,2018,,45776.0,,17083.0,23954.0,115852.0
"Andrew County, Missouri",,29,3,2018,,,,,29740.0,
"Carroll County, Missouri",11419.0,29,33,2018,,,,,26136.0,15913.0
"Daviess County, Missouri",,29,61,2018,,,,,26406.0,
"Knox County, Missouri",,29,103,2018,,,,,19364.0,
"Marion County, Missouri",25117.0,29,127,2018,,,,,29939.0,
"Osage County, Missouri",,29,151,2018,,,,20769.0,28534.0,
"Ripley County, Missouri",,29,181,2018,,,,8833.0,18739.0,
"Warren County, Missouri",,29,219,2018,,,,41131.0,30293.0,
"Audrain County, Missouri",23776.0,29,7,2018,,,,27778.0,30501.0,
"Christian County, Missouri",,29,43,2018,,40735.0,,72526.0,31037.0,
"Greene County, Missouri",15951.0,29,77,2018,36375.0,13018.0,,27788.0,27825.0,26718.0
"Harrison County, Missouri",,29,81,2018,,,,,21998.0,
"St. Clair County, Missouri",,29,185,2018,,,,19886.0,22250.0,
"Adair County, Missouri",18611.0,29,1,2018,9293.0,2499.0,,,19121.0,
"Scotland County, Missouri",,29,199,2018,,,,,19563.0,
"Sullivan County, Missouri",,29,211,2018,,,,63125.0,22438.0,39881.0
"Clark County, Missouri",,29,45,2018,,,,,24199.0,
"Jefferson County, Missouri",51509.0,29,99,2018,18250.0,68125.0,37987.0,26350.0,36346.0,35385.0
"Lewis County, Missouri",14375.0,29,111,2018,,,,,24425.0,
"New Madrid County, Missouri",13977.0,29,143,2018,,,,13523.0,21949.0,
"Perry County, Missouri",,29,157,2018,,,,,28876.0,
"Ralls County, Missouri",,29,173,2018,,,,,28309.0,
"Ray County, Missouri",,29,177,2018,,,,6628.0,29389.0,31083.0
"St. Louis County, Missouri",29746.0,29,189,2018,39135.0,43856.0,21583.0,33580.0,42717.0,38901.0
"Stone County, Missouri",,29,209,2018,,,,14246.0,26260.0,
"Barry County, Missouri",,29,9,2018,,37043.0,,,21842.0,
"Boone County, Missouri",28427.0,29,19,2018,,20239.0,,35547.0,32496.0,28661.0
"Cedar County, Missouri",,29,39,2018,,,,,25792.0,
"Crawford County, Missouri",,29,55,2018,,,,13438.0,22444.0,16023.0
"Iron County, Missouri",,29,93,2018,,,,16528.0,23723.0,
"Livingston County, Missouri",,29,117,2018,,,,,27271.0,
"Moniteau County, Missouri",,29,135,2018,,,,,27866.0,
"Oregon County, Missouri",,29,149,2018,,,,21750.0,19754.0,
"Dunklin County, Missouri",12077.0,29,69,2018,,,,,19471.0,
"Pettis County, Missouri",27436.0,29,159,2018,,,,25750.0,25725.0,21399.0
"Ste. Genevieve County, Missouri",,29,186,2018,,,,,36101.0,
"Randolph County, Missouri",15865.0,29,175,2018,,,,21250.0,22578.0,21250.0
