NAME,B23025_001E,state,county,year,B23025_007E,B23025_005E,B23025_004E,B23025_003E,B23025_002E
"Saline County, Missouri",18420.0,29,195,2018,7465.0,432.0,10523.0,10955.0,10955.0
"Madison County, Missouri",9705.0,29,123,2018,4431.0,217.0,5035.0,5252.0,5274.0
"Wright County, Missouri",14214.0,29,229,2018,6934.0,585.0,6688.0,7273.0,7280.0
"Vernon County, Missouri",16280.0,29,217,2018,6360.0,364.0,9527.0,9891.0,9920.0
"Nodaway County, Missouri",19303.0,29,147,2018,7788.0,443.0,11062.0,11505.0,11515.0
"Chariton County, Missouri",6031.0,29,41,2018,2767.0,106.0,3158.0,3264.0,3264.0
"Grundy County, Missouri",7939.0,29,79,2018,3181.0,168.0,4590.0,4758.0,4758.0
"Morgan County, Missouri",16053.0,29,141,2018,8373.0,292.0,7368.0,7660.0,7680.0
"Wayne County, Missouri",10855.0,29,223,2018,6199.0,420.0,4236.0,4656.0,4656.0
"Bollinger County, Missouri",9956.0,29,17,2018,4661.0,236.0,5059.0,5295.0,5295.0
"Cape Girardeau County, Missouri",63224.0,29,31,2018,23418.0,2041.0,37627.0,39668.0,39806.0
"Shelby County, Missouri",4777.0,29,205,2018,1725.0,105.0,2945.0,3050.0,3052.0
"Webster County, Missouri",28748.0,29,225,2018,12404.0,767.0,15534.0,16301.0,16344.0
"Atchison County, Missouri",4366.0,29,5,2018,1627.0,90.0,2649.0,2739.0,2739.0
"Bates County, Missouri",12927.0,29,13,2018,4962.0,350.0,7612.0,7962.0,7965.0
"Benton County, Missouri",16151.0,29,15,2018,8989.0,589.0,6573.0,7162.0,7162.0
"Carter County, Missouri",4855.0,29,35,2018,2214.0,186.0,2433.0,2619.0,2641.0
"Dade County, Missouri",6269.0,29,57,2018,2872.0,291.0,3106.0,3397.0,3397.0
"Linn County, Missouri",9580.0,29,115,2018,3927.0,157.0,5496.0,5653.0,5653.0
"Howell County, Missouri",31719.0,29,91,2018,14309.0,789.0,16617.0,17406.0,17410.0
"Johnson County, Missouri",43250.0,29,101,2018,14611.0,1314.0,24266.0,25580.0,28639.0
"Laclede County, Missouri",27657.0,29,105,2018,11466.0,1109.0,15006.0,16115.0,16191.0
"Maries County, Missouri",7263.0,29,125,2018,3250.0,274.0,3677.0,3951.0,4013.0
"Phelps County, Missouri",36548.0,29,161,2018,16220.0,1226.0,19026.0,20252.0,20328.0
"Platte County, Missouri",77929.0,29,165,2018,22855.0,2028.0,52703.0,54731.0,55074.0
"St. Francois County, Missouri",54059.0,29,187,2018,25438.0,1630.0,26991.0,28621.0,28621.0
"Andrew County, Missouri",13991.0,29,3,2018,5211.0,276.0,8476.0,8752.0,8780.0
"Carroll County, Missouri",7045.0,29,33,2018,3000.0,346.0,3699.0,4045.0,4045.0
"Daviess County, Missouri",6425.0,29,61,2018,2800.0,115.0,3510.0,3625.0,3625.0
"Knox County, Missouri",3136.0,29,103,2018,1448.0,113.0,1575.0,1688.0,1688.0
"Marion County, Missouri",22508.0,29,127,2018,8706.0,712.0,13090.0,13802.0,13802.0
"Osage County, Missouri",10800.0,29,151,2018,3635.0,174.0,6991.0,7165.0,7165.0
"Ripley County, Missouri",10861.0,29,181,2018,5354.0,374.0,5129.0,5503.0,5507.0
"Warren County, Missouri",26569.0,29,219,2018,10698.0,897.0,14974.0,15871.0,15871.0
"Audrain County, Missouri",20455.0,29,7,2018,8877.0,827.0,10751.0,11578.0,11578.0
"Christian County, Missouri",65172.0,29,43,2018,23362.0,1778.0,40014.0,41792.0,41810.0
"Greene County, Missouri",234490.0,29,77,2018,89815.0,6408.0,138126.0,144534.0,144675.0
"Harrison County, Missouri",6699.0,29,81,2018,2751.0,178.0,3769.0,3947.0,3948.0
"St. Clair County, Missouri",7741.0,29,185,2018,3995.0,154.0,3592.0,3746.0,3746.0
"Adair County, Missouri",21380.0,29,1,2018,9769.0,751.0,10827.0,11578.0,11611.0
"Scotland County, Missouri",3654.0,29,199,2018,1452.0,110.0,2092.0,2202.0,2202.0
"Sullivan County, Missouri",5030.0,29,211,2018,2287.0,84.0,2648.0,2732.0,2743.0
"Clark County, Missouri",5394.0,29,45,2018,1986.0,123.0,3267.0,3390.0,3408.0
"Jefferson County, Missouri",176587.0,29,99,2018,59467.0,6624.0,110438.0,117062.0,117120.0
"Lewis County, Missouri",8008.0,29,111,2018,3248.0,123.0,4637.0,4760.0,4760.0
"New Madrid County, Missouri",14109.0,29,143,2018,6858.0,629.0,6622.0,7251.0,7251.0
"Perry County, Missouri",15100.0,29,157,2018,5514.0,359.0,9181.0,9540.0,9586.0
"Ralls County, Missouri",8274.0,29,173,2018,3029.0,234.0,5006.0,5240.0,5245.0
"Ray County, Missouri",18278.0,29,177,2018,6964.0,563.0,10745.0,11308.0,11314.0
"St. Louis County, Missouri",803924.0,29,189,2018,279075.0,27141.0,497435.0,524576.0,524849.0
"Stone County, Missouri",27071.0,29,209,2018,14113.0,866.0,12088.0,12954.0,12958.0
"Barry County, Missouri",28596.0,29,9,2018,13285.0,721.0,14590.0,15311.0,15311.0
"Boone County, Missouri",144697.0,29,19,2018,46968.0,4162.0,93375.0,97537.0,97729.0
"Cedar County, Missouri",10995.0,29,39,2018,5232.0,520.0,5243.0,5763.0,5763.0
"Crawford County, Missouri",19262.0,29,55,2018,8761.0,1058.0,9443.0,10501.0,10501.0
"Iron County, Missouri",8347.0,29,93,2018,4161.0,302.0,3884.0,4186.0,4186.0
"Livingston County, Missouri",12162.0,29,117,2018,5391.0,154.0,6605.0,6759.0,6771.0
"Moniteau County, Missouri",12372.0,29,135,2018,5368.0,365.0,6627.0,6992.0,7004.0
"Oregon County, Missouri",8598.0,29,149,2018,4378.0,125.0,4095.0,4220.0,4220.0
"Dunklin County, Missouri",23485.0,29,69,2018,11198.0,930.0,11346.0,12276.0,12287.0
"Pettis County, Missouri",33088.0,29,159,2018,13206.0,1173.0,18609.0,19782.0,19882.0
"Ste. Genevieve County, Missouri",14471.0,29,186,2018,5315.0,398.0,8758.0,9156.0,9156.0
"Randolph County, Missouri",20086.0,29,175,2018,9191.0,624.0,10263.0,10887.0,10895.0
"Franklin County, Missouri",81828.0,29,71,2018,29252.0,2246.0,50288.0,52534.0,52576.0
"Howard County, Missouri",8086.0,29,89,2018,3153.0,205.0,4727.0,4932.0,4933.0
"Jackson County, Missouri",544741.0,29,95,2018,182392.0,18308.0,343721.0,362029.0,362349.0
"Miller County, Missouri",19795.0,29,131,2018,8281.0,674.0,10823.0,11497.0,11514.0
"Pulaski County, Missouri",42298.0,29,169,2018,12618.0,1583.0,16357.0,17940.0,29680.0
