NAME,B17015_038E,state,county,year
"Iron County, Missouri",77.0,29,93,2018
"Livingston County, Missouri",176.0,29,117,2018
"Moniteau County, Missouri",67.0,29,135,2018
"Oregon County, Missouri",143.0,29,149,2018
"Dunklin County, Missouri",345.0,29,69,2018
"Pettis County, Missouri",505.0,29,159,2018
"Ste. Genevieve County, Missouri",223.0,29,186,2018
"Randolph County, Missouri",315.0,29,175,2018
"Franklin County, Missouri",1446.0,29,71,2018
"Howard County, Missouri",63.0,29,89,2018
"Jackson County, Missouri",8529.0,29,95,2018
"Miller County, Missouri",215.0,29,131,2018
"Pulaski County, Missouri",219.0,29,169,2018
"Putnam County, Missouri",18.0,29,171,2018
"Taney County, Missouri",776.0,29,213,2018
"Texas County, Missouri",369.0,29,215,2018
"Buchanan County, Missouri",996.0,29,21,2018
"Caldwell County, Missouri",90.0,29,25,2018
"Callaway County, Missouri",391.0,29,27,2018
"Cass County, Missouri",1399.0,29,37,2018
"Clinton County, Missouri",338.0,29,49,2018
"Cooper County, Missouri",203.0,29,53,2018
"Dallas County, Missouri",159.0,29,59,2018
"Gentry County, Missouri",55.0,29,75,2018
"Hickory County, Missouri",87.0,29,85,2018
"Lincoln County, Missouri",668.0,29,113,2018
"Mississippi County, Missouri",212.0,29,133,2018
"Monroe County, Missouri",87.0,29,137,2018
"Newton County, Missouri",693.0,29,145,2018
"Ozark County, Missouri",111.0,29,153,2018
"Pike County, Missouri",175.0,29,163,2018
"St. Charles County, Missouri",4494.0,29,183,2018
"Custer County, Montana",140.0,30,17,2018
"Hill County, Montana",252.0,30,41,2018
"Powder River County, Montana",21.0,30,75,2018
"Park County, Montana",161.0,30,67,2018
"Roosevelt County, Montana",100.0,30,85,2018
"Blaine County, Montana",82.0,30,5,2018
"Liberty County, Montana",20.0,30,51,2018
"Richland County, Montana",231.0,30,83,2018
"Teton County, Montana",51.0,30,99,2018
"Toole County, Montana",47.0,30,101,2018
"Fallon County, Montana",11.0,30,25,2018
"Daniels County, Montana",47.0,30,19,2018
"Judith Basin County, Montana",27.0,30,45,2018
"Silver Bow County, Montana",357.0,30,93,2018
"Deer Lodge County, Montana",164.0,30,23,2018
"Jefferson County, Montana",107.0,30,43,2018
"McCone County, Montana",0.0,30,55,2018
"Wheatland County, Montana",12.0,30,107,2018
"Rosebud County, Montana",96.0,30,87,2018
"Carter County, Montana",0.0,30,11,2018
"Dawson County, Montana",115.0,30,21,2018
"Broadwater County, Montana",26.0,30,7,2018
"Lake County, Montana",350.0,30,47,2018
"Pondera County, Montana",27.0,30,73,2018
"Yellowstone County, Montana",2446.0,30,111,2018
"Ravalli County, Montana",391.0,30,81,2018
"Valley County, Montana",158.0,30,105,2018
"Fergus County, Montana",121.0,30,27,2018
"Mineral County, Montana",32.0,30,61,2018
"Petroleum County, Montana",3.0,30,69,2018
"Sanders County, Montana",44.0,30,89,2018
"Flathead County, Montana",867.0,30,29,2018
"Wibaux County, Montana",8.0,30,109,2018
"Meagher County, Montana",7.0,30,59,2018
"Carbon County, Montana",153.0,30,9,2018
"Phillips County, Montana",19.0,30,71,2018
"Adams County, Nebraska",323.0,31,1,2018
"Lancaster County, Nebraska",3621.0,31,109,2018
"Boone County, Nebraska",45.0,31,11,2018
"Rock County, Nebraska",2.0,31,149,2018
"Banner County, Nebraska",0.0,31,7,2018
"Sherman County, Nebraska",34.0,31,163,2018
"Richardson County, Nebraska",95.0,31,147,2018
"Howard County, Nebraska",20.0,31,93,2018
"Holt County, Nebraska",116.0,31,89,2018
"Furnas County, Nebraska",51.0,31,65,2018
"Gosper County, Nebraska",12.0,31,73,2018
"Saline County, Nebraska",185.0,31,151,2018
"Sarpy County, Nebraska",2199.0,31,153,2018
"Thurston County, Nebraska",95.0,31,173,2018
"Washington County, Nebraska",149.0,31,177,2018
"Boyd County, Nebraska",16.0,31,15,2018
"Cherry County, Nebraska",74.0,31,31,2018
"Dodge County, Nebraska",544.0,31,53,2018
"Fillmore County, Nebraska",36.0,31,59,2018
"Garden County, Nebraska",1.0,31,69,2018
"Hooker County, Nebraska",2.0,31,91,2018
"Morrill County, Nebraska",65.0,31,123,2018
"Nemaha County, Nebraska",79.0,31,127,2018
"Seward County, Nebraska",189.0,31,159,2018
"Thomas County, Nebraska",0.0,31,171,2018
"Dakota County, Nebraska",297.0,31,43,2018
"Webster County, Nebraska",28.0,31,181,2018
"Antelope County, Nebraska",75.0,31,3,2018
"Butler County, Nebraska",86.0,31,23,2018
"Clay County, Nebraska",72.0,31,35,2018
"Custer County, Nebraska",202.0,31,41,2018
"Gage County, Nebraska",214.0,31,67,2018
"Hamilton County, Nebraska",122.0,31,81,2018
"Kearney County, Nebraska",56.0,31,99,2018
"Keith County, Nebraska",92.0,31,101,2018
"Madison County, Nebraska",253.0,31,119,2018
"Perkins County, Nebraska",4.0,31,135,2018
"Saunders County, Nebraska",225.0,31,155,2018
"Wayne County, Nebraska",39.0,31,179,2018
"Keya Paha County, Nebraska",4.0,31,103,2018
"Knox County, Nebraska",70.0,31,107,2018
"Lincoln County, Nebraska",371.0,31,111,2018
"Pierce County, Nebraska",87.0,31,139,2018
"Sioux County, Nebraska",10.0,31,165,2018
"Cass County, Nebraska",312.0,31,25,2018
"Dixon County, Nebraska",59.0,31,51,2018
"Dundy County, Nebraska",21.0,31,57,2018
"Greeley County, Nebraska",14.0,31,77,2018
"Hall County, Nebraska",929.0,31,79,2018
"Otoe County, Nebraska",142.0,31,131,2018
"Red Willow County, Nebraska",142.0,31,145,2018
"Dawes County, Nebraska",131.0,31,45,2018
"Cheyenne County, Nebraska",67.0,31,33,2018
"Dawson County, Nebraska",427.0,31,47,2018
"Valley County, Nebraska",42.0,31,175,2018
"McPherson County, Nebraska",0.0,31,117,2018
"Nance County, Nebraska",47.0,31,125,2018
"Stanton County, Nebraska",59.0,31,167,2018
"Harlan County, Nebraska",42.0,31,83,2018
"Blaine County, Nebraska",4.0,31,9,2018
"Buffalo County, Nebraska",343.0,31,19,2018
"Deuel County, Nebraska",30.0,31,49,2018
"Hitchcock County, Nebraska",27.0,31,87,2018
"Platte County, Nebraska",300.0,31,141,2018
"Thayer County, Nebraska",72.0,31,169,2018
"Box Butte County, Nebraska",143.0,31,13,2018
