state,county,year,population
Alabama,Alabama,2010,"4,785,437"
Alabama,Autauga County,2010,"54,773"
Alabama,Baldwin County,2010,"183,112"
Alabama,Barbour County,2010,"27,327"
Alabama,Bibb County,2010,"22,870"
Alabama,Blount County,2010,"57,376"
Alabama,Bullock County,2010,"10,876"
Alabama,Butler County,2010,"20,932"
Alabama,Calhoun County,2010,"118,408"
Alabama,Chambers County,2010,"34,122"
Alabama,Cherokee County,2010,"25,963"
Alabama,Chilton County,2010,"43,653"
Alabama,Choctaw County,2010,"13,849"
Alabama,Clarke County,2010,"25,766"
Alabama,Clay County,2010,"13,898"
Alabama,Cleburne County,2010,"15,004"
Alabama,Coffee County,2010,"50,208"
Alabama,Colbert County,2010,"54,524"
Alabama,Conecuh County,2010,"13,236"
Alabama,Coosa County,2010,"11,780"
Alabama,Covington County,2010,"37,809"
Alabama,Crenshaw County,2010,"13,869"
Alabama,Cullman County,2010,"80,456"
Alabama,Dale County,2010,"50,394"
Alabama,Dallas County,2010,"43,854"
Alabama,DeKalb County,2010,"71,163"
Alabama,Elmore County,2010,"79,552"
Alabama,Escambia County,2010,"38,345"
Alabama,Etowah County,2010,"104,459"
Alabama,Fayette County,2010,"17,229"
Alabama,Franklin County,2010,"31,746"
Alabama,Geneva County,2010,"26,777"
Alabama,Greene County,2010,"8,991"
Alabama,Hale County,2010,"15,745"
Alabama,Henry County,2010,"17,296"
Alabama,Houston County,2010,"101,798"
Alabama,Jackson County,2010,"53,184"
Alabama,Jefferson County,2010,"658,215"
Alabama,Lamar County,2010,"14,496"
Alabama,Lauderdale County,2010,"92,737"
Alabama,Lawrence County,2010,"34,342"
Alabama,Lee County,2010,"140,794"
Alabama,Limestone County,2010,"83,181"
Alabama,Lowndes County,2010,"11,289"
Alabama,Macon County,2010,"21,505"
Alabama,Madison County,2010,"336,095"
Alabama,Marengo County,2010,"20,956"
Alabama,Marion County,2010,"30,816"
Alabama,Marshall County,2010,"93,122"
Alabama,Mobile County,2010,"413,315"
Alabama,Monroe County,2010,"23,005"
Alabama,Montgomery County,2010,"229,505"
Alabama,Morgan County,2010,"119,608"
Alabama,Perry County,2010,"10,563"
Alabama,Pickens County,2010,"19,749"
Alabama,Pike County,2010,"32,970"
Alabama,Randolph County,2010,"22,937"
Alabama,Russell County,2010,"53,321"
Alabama,St. Clair County,2010,"83,571"
Alabama,Shelby County,2010,"196,032"
Alabama,Sumter County,2010,"13,730"
Alabama,Talladega County,2010,"82,172"
Alabama,Tallapoosa County,2010,"41,476"
Alabama,Tuscaloosa County,2010,"194,996"
Alabama,Walker County,2010,"66,997"
Alabama,Washington County,2010,"17,626"
Alabama,Wilcox County,2010,"11,560"
Alabama,Winston County,2010,"24,412"
Alaska,Alaska,2010,"713,910"
Alaska,Aleutians East Borough,2010,"3,166"
Alaska,Aleutians West Census Area,2010,"5,559"
Alaska,Anchorage Municipality,2010,"293,321"
Alaska,Bethel Census Area,2010,"17,084"
Alaska,Bristol Bay Borough,2010,"1,002"
Alaska,Denali Borough,2010,"1,835"
Alaska,Dillingham Census Area,2010,"4,850"
Alaska,Fairbanks North Star Borough,2010,"98,264"
Alaska,Haines Borough,2010,"2,501"
Alaska,Hoonah-Angoon Census Area,2010,"2,107"
Alaska,Juneau City and Borough,2010,"31,387"
Alaska,Kenai Peninsula Borough,2010,"55,554"
Alaska,Ketchikan Gateway Borough,2010,"13,573"
Alaska,Kodiak Island Borough,2010,"13,646"
Alaska,Kusilvak Census Area,2010,"7,467"
Alaska,Lake and Peninsula Borough,2010,"1,639"
Alaska,Matanuska-Susitna Borough,2010,"89,732"
Alaska,Nome Census Area,2010,"9,543"
Alaska,North Slope Borough,2010,"9,478"
Alaska,Northwest Arctic Borough,2010,"7,560"
Alaska,Petersburg Borough,2010,"3,219"
Alaska,Prince of Wales-Hyder Census Area,2010,"6,211"
Alaska,Sitka City and Borough,2010,"8,881"
Alaska,Skagway Municipality,2010,968
Alaska,Southeast Fairbanks Census Area,2010,"7,061"
Alaska,Valdez-Cordova Census Area,2010,"9,657"
Alaska,Wrangell City and Borough,2010,"2,371"
Alaska,Yakutat City and Borough,2010,662
Alaska,Yukon-Koyukuk Census Area,2010,"5,612"
Arizona,Arizona,2010,"6,407,172"
Arizona,Apache County,2010,"71,829"
Arizona,Cochise County,2010,"131,822"
Arizona,Coconino County,2010,"134,612"
Arizona,Gila County,2010,"53,561"
Arizona,Graham County,2010,"37,152"
Arizona,Greenlee County,2010,"8,339"
Arizona,La Paz County,2010,"20,497"
Arizona,Maricopa County,2010,"3,825,110"
Arizona,Mohave County,2010,"200,314"
Arizona,Navajo County,2010,"107,697"
Arizona,Pima County,2010,"981,620"
Arizona,Pinal County,2010,"379,094"
Arizona,Santa Cruz County,2010,"47,415"
Arizona,Yavapai County,2010,"210,983"
Arizona,Yuma County,2010,"197,127"
Arkansas,Arkansas,2010,"2,921,964"
Arkansas,Arkansas County,2010,"19,009"
Arkansas,Ashley County,2010,"21,829"
Arkansas,Baxter County,2010,"41,510"
Arkansas,Benton County,2010,"222,593"
Arkansas,Boone County,2010,"36,893"
Arkansas,Bradley County,2010,"11,470"
Arkansas,Calhoun County,2010,"5,362"
Arkansas,Carroll County,2010,"27,553"
Arkansas,Chicot County,2010,"11,799"
Arkansas,Clark County,2010,"22,925"
Arkansas,Clay County,2010,"16,050"
Arkansas,Cleburne County,2010,"25,986"
Arkansas,Cleveland County,2010,"8,677"
Arkansas,Columbia County,2010,"24,723"
Arkansas,Conway County,2010,"21,219"
Arkansas,Craighead County,2010,"96,748"
Arkansas,Crawford County,2010,"61,956"
Arkansas,Crittenden County,2010,"50,958"
Arkansas,Cross County,2010,"17,862"
Arkansas,Dallas County,2010,"8,066"
Arkansas,Desha County,2010,"12,954"
Arkansas,Drew County,2010,"18,666"
Arkansas,Faulkner County,2010,"114,026"
Arkansas,Franklin County,2010,"18,142"
Arkansas,Fulton County,2010,"12,215"
Arkansas,Garland County,2010,"96,067"
Arkansas,Grant County,2010,"17,886"
Arkansas,Greene County,2010,"42,201"
Arkansas,Hempstead County,2010,"22,596"
Arkansas,Hot Spring County,2010,"33,231"
Arkansas,Howard County,2010,"13,796"
Arkansas,Independence County,2010,"36,809"
Arkansas,Izard County,2010,"13,726"
Arkansas,Jackson County,2010,"18,057"
Arkansas,Jefferson County,2010,"77,341"
Arkansas,Johnson County,2010,"25,556"
Arkansas,Lafayette County,2010,"7,647"
Arkansas,Lawrence County,2010,"17,518"
Arkansas,Lee County,2010,"10,395"
Arkansas,Lincoln County,2010,"14,089"
Arkansas,Little River County,2010,"13,132"
Arkansas,Logan County,2010,"22,308"
Arkansas,Lonoke County,2010,"68,744"
Arkansas,Madison County,2010,"15,684"
Arkansas,Marion County,2010,"16,665"
Arkansas,Miller County,2010,"43,562"
Arkansas,Mississippi County,2010,"46,399"
Arkansas,Monroe County,2010,"8,138"
Arkansas,Montgomery County,2010,"9,510"
Arkansas,Nevada County,2010,"8,997"
Arkansas,Newton County,2010,"8,304"
Arkansas,Ouachita County,2010,"26,046"
Arkansas,Perry County,2010,"10,444"
Arkansas,Phillips County,2010,"21,676"
Arkansas,Pike County,2010,"11,264"
Arkansas,Poinsett County,2010,"24,515"
Arkansas,Polk County,2010,"20,667"
Arkansas,Pope County,2010,"62,109"
Arkansas,Prairie County,2010,"8,722"
Arkansas,Pulaski County,2010,"383,538"
Arkansas,Randolph County,2010,"17,955"
Arkansas,St. Francis County,2010,"28,194"
Arkansas,Saline County,2010,"107,656"
Arkansas,Scott County,2010,"11,275"
Arkansas,Searcy County,2010,"8,182"
Arkansas,Sebastian County,2010,"125,737"
Arkansas,Sevier County,2010,"17,151"
Arkansas,Sharp County,2010,"17,250"
Arkansas,Stone County,2010,"12,389"
Arkansas,Union County,2010,"41,573"
Arkansas,Van Buren County,2010,"17,310"
Arkansas,Washington County,2010,"204,024"
Arkansas,White County,2010,"77,356"
Arkansas,Woodruff County,2010,"7,236"
Arkansas,Yell County,2010,"22,146"
California,California,2010,"37,319,502"
California,Alameda County,2010,"1,512,986"
California,Alpine County,2010,"1,161"
California,Amador County,2010,"37,886"
California,Butte County,2010,"219,949"
California,Calaveras County,2010,"45,468"
California,Colusa County,2010,"21,437"
California,Contra Costa County,2010,"1,052,540"
California,Del Norte County,2010,"28,566"
California,El Dorado County,2010,"181,136"
California,Fresno County,2010,"932,039"
California,Glenn County,2010,"28,127"
California,Humboldt County,2010,"135,009"
California,Imperial County,2010,"174,716"
California,Inyo County,2010,"18,511"
California,Kern County,2010,"840,996"
California,Kings County,2010,"152,370"
California,Lake County,2010,"64,735"
California,Lassen County,2010,"34,831"
California,Los Angeles County,2010,"9,823,246"
California,Madera County,2010,"150,986"
California,Marin County,2010,"252,904"
California,Mariposa County,2010,"18,277"
California,Mendocino County,2010,"87,799"
California,Merced County,2010,"256,721"
California,Modoc County,2010,"9,694"
California,Mono County,2010,"14,257"
California,Monterey County,2010,"416,373"
California,Napa County,2010,"136,759"
California,Nevada County,2010,"98,790"
California,Orange County,2010,"3,015,171"
California,Placer County,2010,"350,021"
California,Plumas County,2010,"19,914"
California,Riverside County,2010,"2,201,576"
California,Sacramento County,2010,"1,421,383"
California,San Benito County,2010,"55,516"
California,San Bernardino County,2010,"2,040,848"
California,San Diego County,2010,"3,103,212"
California,San Francisco County,2010,"805,505"
California,San Joaquin County,2010,"687,127"
California,San Luis Obispo County,2010,"269,802"
California,San Mateo County,2010,"719,699"
California,Santa Barbara County,2010,"424,231"
California,Santa Clara County,2010,"1,786,040"
California,Santa Cruz County,2010,"263,147"
California,Shasta County,2010,"177,274"
California,Sierra County,2010,"3,220"
California,Siskiyou County,2010,"44,938"
California,Solano County,2010,"413,967"
California,Sonoma County,2010,"484,755"
California,Stanislaus County,2010,"515,145"
California,Sutter County,2010,"94,751"
California,Tehama County,2010,"63,559"
California,Trinity County,2010,"13,755"
California,Tulare County,2010,"442,969"
California,Tuolumne County,2010,"55,190"
California,Ventura County,2010,"825,097"
California,Yolo County,2010,"201,073"
California,Yuba County,2010,"72,348"
Colorado,Colorado,2010,"5,047,349"
Colorado,Adams County,2010,"443,691"
Colorado,Alamosa County,2010,"15,515"
Colorado,Arapahoe County,2010,"574,747"
Colorado,Archuleta County,2010,"12,046"
Colorado,Baca County,2010,"3,807"
Colorado,Bent County,2010,"6,500"
Colorado,Boulder County,2010,"295,037"
Colorado,Broomfield County,2010,"56,226"
Colorado,Chaffee County,2010,"17,808"
Colorado,Cheyenne County,2010,"1,833"
Colorado,Clear Creek County,2010,"9,083"
Colorado,Conejos County,2010,"8,312"
Colorado,Costilla County,2010,"3,529"
Colorado,Crowley County,2010,"5,861"
Colorado,Custer County,2010,"4,279"
Colorado,Delta County,2010,"30,860"
Colorado,Denver County,2010,"603,359"
Colorado,Dolores County,2010,"2,069"
Colorado,Douglas County,2010,"286,977"
Colorado,Eagle County,2010,"52,099"
Colorado,Elbert County,2010,"23,142"
Colorado,El Paso County,2010,"627,031"
Colorado,Fremont County,2010,"46,837"
Colorado,Garfield County,2010,"56,072"
Colorado,Gilpin County,2010,"5,471"
Colorado,Grand County,2010,"14,796"
Colorado,Gunnison County,2010,"15,291"
Colorado,Hinsdale County,2010,844
Colorado,Huerfano County,2010,"6,681"
Colorado,Jackson County,2010,"1,389"
Colorado,Jefferson County,2010,"535,548"
Colorado,Kiowa County,2010,"1,404"
Colorado,Kit Carson County,2010,"8,263"
Colorado,Lake County,2010,"7,264"
Colorado,La Plata County,2010,"51,411"
Colorado,Larimer County,2010,"300,441"
Colorado,Las Animas County,2010,"15,422"
Colorado,Lincoln County,2010,"5,471"
Colorado,Logan County,2010,"22,750"
Colorado,Mesa County,2010,"146,259"
Colorado,Mineral County,2010,704
Colorado,Moffat County,2010,"13,794"
Colorado,Montezuma County,2010,"25,576"
Colorado,Montrose County,2010,"41,186"
Colorado,Morgan County,2010,"28,241"
Colorado,Otero County,2010,"18,859"
Colorado,Ouray County,2010,"4,456"
Colorado,Park County,2010,"16,279"
Colorado,Phillips County,2010,"4,469"
Colorado,Pitkin County,2010,"17,154"
Colorado,Prowers County,2010,"12,545"
Colorado,Pueblo County,2010,"159,390"
Colorado,Rio Blanco County,2010,"6,623"
Colorado,Rio Grande County,2010,"12,023"
Colorado,Routt County,2010,"23,434"
Colorado,Saguache County,2010,"6,136"
Colorado,San Juan County,2010,708
Colorado,San Miguel County,2010,"7,357"
Colorado,Sedgwick County,2010,"2,371"
Colorado,Summit County,2010,"28,073"
Colorado,Teller County,2010,"23,469"
Colorado,Washington County,2010,"4,821"
Colorado,Weld County,2010,"254,207"
Colorado,Yuma County,2010,"10,049"
Connecticut,Connecticut,2010,"3,579,114"
Connecticut,Fairfield County,2010,"919,355"
Connecticut,Hartford County,2010,"895,236"
Connecticut,Litchfield County,2010,"189,763"
Connecticut,Middlesex County,2010,"165,616"
Connecticut,New Haven County,2010,"863,357"
Connecticut,New London County,2010,"274,004"
Connecticut,Tolland County,2010,"153,239"
Connecticut,Windham County,2010,"118,544"
Delaware,Delaware,2010,"899,593"
Delaware,Kent County,2010,"162,956"
Delaware,New Castle County,2010,"538,752"
Delaware,Sussex County,2010,"197,885"
District of Columbia,District of Columbia,2010,"605,226"
District of Columbia,District of Columbia,2010,"605,226"
Florida,Florida,2010,"18,845,537"
Florida,Alachua County,2010,"247,614"
Florida,Baker County,2010,"27,066"
Florida,Bay County,2010,"169,206"
Florida,Bradford County,2010,"28,536"
Florida,Brevard County,2010,"543,965"
Florida,Broward County,2010,"1,752,803"
Florida,Calhoun County,2010,"14,647"
Florida,Charlotte County,2010,"159,875"
Florida,Citrus County,2010,"141,173"
Florida,Clay County,2010,"191,451"
Florida,Collier County,2010,"322,581"
Florida,Columbia County,2010,"67,553"
Florida,DeSoto County,2010,"34,934"
Florida,Dixie County,2010,"16,400"
Florida,Duval County,2010,"865,628"
Florida,Escambia County,2010,"298,038"
Florida,Flagler County,2010,"96,066"
Florida,Franklin County,2010,"11,522"
Florida,Gadsden County,2010,"47,794"
Florida,Gilchrist County,2010,"17,000"
Florida,Glades County,2010,"12,869"
Florida,Gulf County,2010,"15,825"
Florida,Hamilton County,2010,"14,683"
Florida,Hardee County,2010,"27,730"
Florida,Hendry County,2010,"39,009"
Florida,Hernando County,2010,"172,969"
Florida,Highlands County,2010,"98,635"
Florida,Hillsborough County,2010,"1,233,498"
Florida,Holmes County,2010,"19,843"
Florida,Indian River County,2010,"138,270"
Florida,Jackson County,2010,"49,648"
Florida,Jefferson County,2010,"14,755"
Florida,Lafayette County,2010,"8,808"
Florida,Lake County,2010,"297,709"
Florida,Lee County,2010,"620,449"
Florida,Leon County,2010,"275,971"
Florida,Levy County,2010,"40,720"
Florida,Liberty County,2010,"8,349"
Florida,Madison County,2010,"19,248"
Florida,Manatee County,2010,"323,424"
Florida,Marion County,2010,"331,331"
Florida,Martin County,2010,"146,909"
Florida,Miami-Dade County,2010,"2,506,972"
Florida,Monroe County,2010,"73,220"
Florida,Nassau County,2010,"73,513"
Florida,Okaloosa County,2010,"180,715"
Florida,Okeechobee County,2010,"40,025"
Florida,Orange County,2010,"1,148,564"
Florida,Osceola County,2010,"269,837"
Florida,Palm Beach County,2010,"1,323,619"
Florida,Pasco County,2010,"465,487"
Florida,Pinellas County,2010,"916,412"
Florida,Polk County,2010,"603,102"
Florida,Putnam County,2010,"74,220"
Florida,St. Johns County,2010,"191,249"
Florida,St. Lucie County,2010,"278,264"
Florida,Santa Rosa County,2010,"152,908"
Florida,Sarasota County,2010,"379,930"
Florida,Seminole County,2010,"423,051"
Florida,Sumter County,2010,"94,278"
Florida,Suwannee County,2010,"42,328"
Florida,Taylor County,2010,"22,595"
Florida,Union County,2010,"15,542"
Florida,Volusia County,2010,"494,440"
Florida,Wakulla County,2010,"30,825"
Florida,Walton County,2010,"55,217"
Florida,Washington County,2010,"24,720"
Georgia,Georgia,2010,"9,711,881"
Georgia,Appling County,2010,"18,334"
Georgia,Atkinson County,2010,"8,364"
Georgia,Bacon County,2010,"11,062"
Georgia,Baker County,2010,"3,431"
Georgia,Baldwin County,2010,"45,704"
Georgia,Banks County,2010,"18,410"
Georgia,Barrow County,2010,"69,676"
Georgia,Bartow County,2010,"100,050"
Georgia,Ben Hill County,2010,"17,645"
Georgia,Berrien County,2010,"19,361"
Georgia,Bibb County,2010,"155,814"
Georgia,Bleckley County,2010,"13,036"
Georgia,Brantley County,2010,"18,479"
Georgia,Brooks County,2010,"16,246"
Georgia,Bryan County,2010,"30,377"
Georgia,Bulloch County,2010,"70,559"
Georgia,Burke County,2010,"23,336"
Georgia,Butts County,2010,"23,786"
Georgia,Calhoun County,2010,"6,697"
Georgia,Camden County,2010,"50,661"
Georgia,Candler County,2010,"11,025"
Georgia,Carroll County,2010,"110,655"
Georgia,Catoosa County,2010,"64,069"
Georgia,Charlton County,2010,"12,853"
Georgia,Chatham County,2010,"265,799"
Georgia,Chattahoochee County,2010,"11,182"
Georgia,Chattooga County,2010,"25,959"
Georgia,Cherokee County,2010,"215,197"
Georgia,Clarke County,2010,"117,403"
Georgia,Clay County,2010,"3,177"
Georgia,Clayton County,2010,"259,877"
Georgia,Clinch County,2010,"6,764"
Georgia,Cobb County,2010,"689,495"
Georgia,Coffee County,2010,"42,728"
Georgia,Colquitt County,2010,"45,634"
Georgia,Columbia County,2010,"124,955"
Georgia,Cook County,2010,"17,185"
Georgia,Coweta County,2010,"127,937"
Georgia,Crawford County,2010,"12,587"
Georgia,Crisp County,2010,"23,433"
Georgia,Dade County,2010,"16,630"
Georgia,Dawson County,2010,"22,328"
Georgia,Decatur County,2010,"27,817"
Georgia,DeKalb County,2010,"692,443"
Georgia,Dodge County,2010,"21,761"
Georgia,Dooly County,2010,"14,854"
Georgia,Dougherty County,2010,"94,513"
Georgia,Douglas County,2010,"132,573"
Georgia,Early County,2010,"10,983"
Georgia,Echols County,2010,"4,015"
Georgia,Effingham County,2010,"52,464"
Georgia,Elbert County,2010,"20,100"
Georgia,Emanuel County,2010,"22,607"
Georgia,Evans County,2010,"11,021"
Georgia,Fannin County,2010,"23,685"
Georgia,Fayette County,2010,"106,938"
Georgia,Floyd County,2010,"96,431"
Georgia,Forsyth County,2010,"176,723"
Georgia,Franklin County,2010,"22,074"
Georgia,Fulton County,2010,"925,632"
Georgia,Gilmer County,2010,"28,339"
Georgia,Glascock County,2010,"3,079"
Georgia,Glynn County,2010,"79,744"
Georgia,Gordon County,2010,"55,257"
Georgia,Grady County,2010,"25,021"
Georgia,Greene County,2010,"15,976"
Georgia,Gwinnett County,2010,"808,007"
Georgia,Habersham County,2010,"43,061"
Georgia,Hall County,2010,"180,033"
Georgia,Hancock County,2010,"9,433"
Georgia,Haralson County,2010,"28,758"
Georgia,Harris County,2010,"32,149"
Georgia,Hart County,2010,"25,240"
Georgia,Heard County,2010,"11,841"
Georgia,Henry County,2010,"205,039"
Georgia,Houston County,2010,"140,651"
Georgia,Irwin County,2010,"9,577"
Georgia,Jackson County,2010,"60,696"
Georgia,Jasper County,2010,"13,889"
Georgia,Jeff Davis County,2010,"15,111"
Georgia,Jefferson County,2010,"16,869"
Georgia,Jenkins County,2010,"8,320"
Georgia,Johnson County,2010,"9,986"
Georgia,Jones County,2010,"28,646"
Georgia,Lamar County,2010,"18,265"
Georgia,Lanier County,2010,"10,104"
Georgia,Laurens County,2010,"48,384"
Georgia,Lee County,2010,"28,414"
Georgia,Liberty County,2010,"62,765"
Georgia,Lincoln County,2010,"7,970"
Georgia,Long County,2010,"14,574"
Georgia,Lowndes County,2010,"109,689"
Georgia,Lumpkin County,2010,"30,282"
Georgia,McDuffie County,2010,"21,803"
Georgia,McIntosh County,2010,"14,311"
Georgia,Macon County,2010,"14,645"
Georgia,Madison County,2010,"28,212"
Georgia,Marion County,2010,"8,741"
Georgia,Meriwether County,2010,"21,818"
Georgia,Miller County,2010,"6,133"
Georgia,Mitchell County,2010,"23,502"
Georgia,Monroe County,2010,"26,179"
Georgia,Montgomery County,2010,"9,144"
Georgia,Morgan County,2010,"17,901"
Georgia,Murray County,2010,"39,533"
Georgia,Muscogee County,2010,"191,101"
Georgia,Newton County,2010,"100,133"
Georgia,Oconee County,2010,"32,925"
Georgia,Oglethorpe County,2010,"14,899"
Georgia,Paulding County,2010,"142,837"
Georgia,Peach County,2010,"27,857"
Georgia,Pickens County,2010,"29,436"
Georgia,Pierce County,2010,"18,815"
Georgia,Pike County,2010,"17,922"
Georgia,Polk County,2010,"41,547"
Georgia,Pulaski County,2010,"11,969"
Georgia,Putnam County,2010,"21,191"
Georgia,Quitman County,2010,"2,512"
Georgia,Rabun County,2010,"16,277"
Georgia,Randolph County,2010,"7,668"
Georgia,Richmond County,2010,"201,115"
Georgia,Rockdale County,2010,"85,354"
Georgia,Schley County,2010,"5,020"
Georgia,Screven County,2010,"14,501"
Georgia,Seminole County,2010,"8,727"
Georgia,Spalding County,2010,"64,096"
Georgia,Stephens County,2010,"26,117"
Georgia,Stewart County,2010,"6,102"
Georgia,Sumter County,2010,"32,684"
Georgia,Talbot County,2010,"6,880"
Georgia,Taliaferro County,2010,"1,703"
Georgia,Tattnall County,2010,"25,475"
Georgia,Taylor County,2010,"8,777"
Georgia,Telfair County,2010,"16,518"
Georgia,Terrell County,2010,"9,526"
Georgia,Thomas County,2010,"44,747"
Georgia,Tift County,2010,"40,251"
Georgia,Toombs County,2010,"27,244"
Georgia,Towns County,2010,"10,535"
Georgia,Treutlen County,2010,"6,894"
Georgia,Troup County,2010,"67,054"
Georgia,Turner County,2010,"8,910"
Georgia,Twiggs County,2010,"8,973"
Georgia,Union County,2010,"21,370"
Georgia,Upson County,2010,"27,054"
Georgia,Walker County,2010,"68,870"
Georgia,Walton County,2010,"83,992"
Georgia,Ware County,2010,"36,308"
Georgia,Warren County,2010,"5,782"
Georgia,Washington County,2010,"21,093"
Georgia,Wayne County,2010,"30,074"
Georgia,Webster County,2010,"2,781"
Georgia,Wheeler County,2010,"7,769"
Georgia,White County,2010,"27,203"
Georgia,Whitfield County,2010,"102,745"
Georgia,Wilcox County,2010,"9,314"
Georgia,Wilkes County,2010,"10,388"
Georgia,Wilkinson County,2010,"9,529"
Georgia,Worth County,2010,"21,692"
Hawaii,Hawaii,2010,"1,363,963"
Hawaii,Hawaii County,2010,"185,363"
Hawaii,Honolulu County,2010,"956,285"
Hawaii,Kalawao County,2010,90
Hawaii,Kauai County,2010,"67,205"
Hawaii,Maui County,2010,"155,020"
Idaho,Idaho,2010,"1,570,746"
Idaho,Ada County,2010,"393,354"
Idaho,Adams County,2010,"3,962"
Idaho,Bannock County,2010,"83,020"
Idaho,Bear Lake County,2010,"5,969"
Idaho,Benewah County,2010,"9,290"
Idaho,Bingham County,2010,"45,765"
Idaho,Blaine County,2010,"21,295"
Idaho,Boise County,2010,"7,005"
Idaho,Bonner County,2010,"40,902"
Idaho,Bonneville County,2010,"104,675"
Idaho,Boundary County,2010,"10,999"
Idaho,Butte County,2010,"2,915"
Idaho,Camas County,2010,"1,116"
Idaho,Canyon County,2010,"189,347"
Idaho,Caribou County,2010,"6,974"
Idaho,Cassia County,2010,"23,080"
Idaho,Clark County,2010,980
Idaho,Clearwater County,2010,"8,727"
Idaho,Custer County,2010,"4,357"
Idaho,Elmore County,2010,"27,121"
Idaho,Franklin County,2010,"12,781"
Idaho,Fremont County,2010,"13,225"
Idaho,Gem County,2010,"16,687"
Idaho,Gooding County,2010,"15,471"
Idaho,Idaho County,2010,"16,310"
Idaho,Jefferson County,2010,"26,223"
Idaho,Jerome County,2010,"22,442"
Idaho,Kootenai County,2010,"138,848"
Idaho,Latah County,2010,"37,255"
Idaho,Lemhi County,2010,"7,953"
Idaho,Lewis County,2010,"3,820"
Idaho,Lincoln County,2010,"5,206"
Idaho,Madison County,2010,"37,592"
Idaho,Minidoka County,2010,"20,083"
Idaho,Nez Perce County,2010,"39,315"
Idaho,Oneida County,2010,"4,290"
Idaho,Owyhee County,2010,"11,473"
Idaho,Payette County,2010,"22,637"
Idaho,Power County,2010,"7,872"
Idaho,Shoshone County,2010,"12,749"
Idaho,Teton County,2010,"10,151"
Idaho,Twin Falls County,2010,"77,545"
Idaho,Valley County,2010,"9,788"
Idaho,Washington County,2010,"10,177"
Illinois,Illinois,2010,"12,840,503"
Illinois,Adams County,2010,"67,160"
Illinois,Alexander County,2010,"8,206"
Illinois,Bond County,2010,"17,787"
Illinois,Boone County,2010,"54,101"
Illinois,Brown County,2010,"6,919"
Illinois,Bureau County,2010,"34,959"
Illinois,Calhoun County,2010,"5,096"
Illinois,Carroll County,2010,"15,394"
Illinois,Cass County,2010,"13,633"
Illinois,Champaign County,2010,"201,546"
Illinois,Christian County,2010,"34,763"
Illinois,Clark County,2010,"16,291"
Illinois,Clay County,2010,"13,826"
Illinois,Clinton County,2010,"37,843"
Illinois,Coles County,2010,"53,866"
Illinois,Cook County,2010,"5,199,016"
Illinois,Crawford County,2010,"19,801"
Illinois,Cumberland County,2010,"11,053"
Illinois,DeKalb County,2010,"105,145"
Illinois,De Witt County,2010,"16,590"
Illinois,Douglas County,2010,"19,983"
Illinois,DuPage County,2010,"917,983"
Illinois,Edgar County,2010,"18,508"
Illinois,Edwards County,2010,"6,734"
Illinois,Effingham County,2010,"34,224"
Illinois,Fayette County,2010,"22,131"
Illinois,Ford County,2010,"14,081"
Illinois,Franklin County,2010,"40,035"
Illinois,Fulton County,2010,"37,076"
Illinois,Gallatin County,2010,"5,573"
Illinois,Greene County,2010,"13,890"
Illinois,Grundy County,2010,"50,154"
Illinois,Hamilton County,2010,"8,446"
Illinois,Hancock County,2010,"19,091"
Illinois,Hardin County,2010,"4,319"
Illinois,Henderson County,2010,"7,343"
Illinois,Henry County,2010,"50,452"
Illinois,Iroquois County,2010,"29,701"
Illinois,Jackson County,2010,"60,373"
Illinois,Jasper County,2010,"9,725"
Illinois,Jefferson County,2010,"38,755"
Illinois,Jersey County,2010,"22,995"
Illinois,Jo Daviess County,2010,"22,648"
Illinois,Johnson County,2010,"12,604"
Illinois,Kane County,2010,"516,068"
Illinois,Kankakee County,2010,"113,418"
Illinois,Kendall County,2010,"115,373"
Illinois,Knox County,2010,"52,912"
Illinois,Lake County,2010,"704,170"
Illinois,LaSalle County,2010,"113,823"
Illinois,Lawrence County,2010,"16,940"
Illinois,Lee County,2010,"35,983"
Illinois,Livingston County,2010,"38,854"
Illinois,Logan County,2010,"30,283"
Illinois,McDonough County,2010,"32,634"
Illinois,McHenry County,2010,"309,112"
Illinois,McLean County,2010,"169,810"
Illinois,Macon County,2010,"110,787"
Illinois,Macoupin County,2010,"47,797"
Illinois,Madison County,2010,"269,310"
Illinois,Marion County,2010,"39,416"
Illinois,Marshall County,2010,"12,637"
Illinois,Mason County,2010,"14,651"
Illinois,Massac County,2010,"15,380"
Illinois,Menard County,2010,"12,696"
Illinois,Mercer County,2010,"16,409"
Illinois,Monroe County,2010,"32,994"
Illinois,Montgomery County,2010,"30,097"
Illinois,Morgan County,2010,"35,503"
Illinois,Moultrie County,2010,"14,859"
Illinois,Ogle County,2010,"53,414"
Illinois,Peoria County,2010,"186,222"
Illinois,Perry County,2010,"22,315"
Illinois,Piatt County,2010,"16,709"
Illinois,Pike County,2010,"16,394"
Illinois,Pope County,2010,"4,474"
Illinois,Pulaski County,2010,"6,126"
Illinois,Putnam County,2010,"6,012"
Illinois,Randolph County,2010,"33,464"
Illinois,Richland County,2010,"16,194"
Illinois,Rock Island County,2010,"147,610"
Illinois,St. Clair County,2010,"270,353"
Illinois,Saline County,2010,"24,902"
Illinois,Sangamon County,2010,"197,769"
Illinois,Schuyler County,2010,"7,535"
Illinois,Scott County,2010,"5,327"
Illinois,Shelby County,2010,"22,354"
Illinois,Stark County,2010,"5,969"
