NAME,B19050_001E,state,county,year
"Washington County, Mississippi",904573700.0,28,151,2018
"Perry County, Mississippi",251317900.0,28,111,2018
"Choctaw County, Mississippi",155550000.0,28,19,2018
"Itawamba County, Mississippi",467661500.0,28,57,2018
"Carroll County, Mississippi",211868900.0,28,15,2018
"Grenada County, Mississippi",445434200.0,28,43,2018
"Jefferson County, Mississippi",,28,63,2018
"Greene County, Mississippi",240368400.0,28,41,2018
"Marshall County, Mississippi",731794600.0,28,93,2018
"Quitman County, Mississippi",112414200.0,28,119,2018
"Bolivar County, Mississippi",550300000.0,28,11,2018
"Lamar County, Mississippi",1686957400.0,28,73,2018
"Lee County, Mississippi",2105276600.0,28,81,2018
"Pike County, Mississippi",662615800.0,28,113,2018
"Tallahatchie County, Mississippi",202815000.0,28,135,2018
"Smith County, Mississippi",348423800.0,28,129,2018
"Stone County, Mississippi",368573900.0,28,131,2018
"Warren County, Mississippi",1091610600.0,28,149,2018
"Clarke County, Mississippi",342683900.0,28,23,2018
"Kemper County, Mississippi",146995800.0,28,69,2018
"Montgomery County, Mississippi",235435400.0,28,97,2018
"Oktibbeha County, Mississippi",1041146200.0,28,105,2018
"Pearl River County, Mississippi",1241186200.0,28,109,2018
"Leake County, Mississippi",390700500.0,28,79,2018
"Noxubee County, Mississippi",183268000.0,28,103,2018
"Neshoba County, Mississippi",561698200.0,28,99,2018
"Rankin County, Mississippi",4420311200.0,28,121,2018
"Tate County, Mississippi",665591000.0,28,137,2018
"Lawrence County, Mississippi",259653100.0,28,77,2018
"Panola County, Mississippi",649186700.0,28,107,2018
"Yalobusha County, Mississippi",255707700.0,28,161,2018
"Chickasaw County, Mississippi",318685300.0,28,17,2018
"Copiah County, Mississippi",504106000.0,28,29,2018
"George County, Mississippi",452170900.0,28,39,2018
"Hinds County, Mississippi",5330880900.0,28,49,2018
"Newton County, Mississippi",448233900.0,28,101,2018
"Union County, Mississippi",522482000.0,28,145,2018
"Sharkey County, Mississippi",76432300.0,28,125,2018
"Tippah County, Mississippi",420091500.0,28,139,2018
"Forrest County, Mississippi",1566369600.0,28,35,2018
"Hancock County, Mississippi",1225188700.0,28,45,2018
"Lafayette County, Mississippi",1333583000.0,28,71,2018
"Issaquena County, Mississippi",,28,55,2018
"Lowndes County, Mississippi",1388460800.0,28,87,2018
"Leflore County, Mississippi",451117400.0,28,83,2018
"Wilkinson County, Mississippi",107028900.0,28,157,2018
"Harrison County, Mississippi",4768876500.0,28,47,2018
"Jefferson Davis County, Mississippi",207953900.0,28,65,2018
"Lincoln County, Mississippi",727734600.0,28,85,2018
"Scott County, Mississippi",593651400.0,28,123,2018
"Winston County, Mississippi",436596200.0,28,159,2018
"Yazoo County, Mississippi",451110200.0,28,163,2018
"Benton County, Mississippi",150844800.0,28,9,2018
"Franklin County, Mississippi",169954200.0,28,37,2018
"Jasper County, Mississippi",356866500.0,28,61,2018
"Jones County, Mississippi",1463253700.0,28,67,2018
"Monroe County, Mississippi",788485300.0,28,95,2018
"Sunflower County, Mississippi",396106200.0,28,133,2018
"Webster County, Mississippi",200542100.0,28,155,2018
"Adams County, Mississippi",527731200.0,28,1,2018
"Clay County, Mississippi",403847200.0,28,25,2018
"Covington County, Mississippi",328384100.0,28,31,2018
"Humphreys County, Mississippi",137327600.0,28,53,2018
"Saline County, Missouri",492981600.0,29,195,2018
"Madison County, Missouri",267190900.0,29,123,2018
"Wright County, Missouri",354609700.0,29,229,2018
"Vernon County, Missouri",492803700.0,29,217,2018
"Nodaway County, Missouri",480344700.0,29,147,2018
"Chariton County, Missouri",171436800.0,29,41,2018
"Grundy County, Missouri",224802700.0,29,79,2018
"Morgan County, Missouri",408108200.0,29,141,2018
"Wayne County, Missouri",242151500.0,29,223,2018
"Bollinger County, Missouri",250334700.0,29,17,2018
"Cape Girardeau County, Missouri",2005407400.0,29,31,2018
"Shelby County, Missouri",138707200.0,29,205,2018
"Webster County, Missouri",805491100.0,29,225,2018
"Atchison County, Missouri",152256700.0,29,5,2018
"Bates County, Missouri",439889000.0,29,13,2018
"Benton County, Missouri",436138700.0,29,15,2018
"Carter County, Missouri",131697300.0,29,35,2018
"Dade County, Missouri",161097800.0,29,57,2018
"Linn County, Missouri",289046500.0,29,115,2018
"Howell County, Missouri",812375400.0,29,91,2018
"Johnson County, Missouri",1259588100.0,29,101,2018
"Laclede County, Missouri",770469500.0,29,105,2018
"Maries County, Missouri",208489100.0,29,125,2018
"Phelps County, Missouri",1071664900.0,29,161,2018
"Platte County, Missouri",3815969200.0,29,165,2018
"St. Francois County, Missouri",1457438100.0,29,187,2018
"Andrew County, Missouri",480068500.0,29,3,2018
"Carroll County, Missouri",212356900.0,29,33,2018
"Daviess County, Missouri",185927400.0,29,61,2018
"Knox County, Missouri",82417100.0,29,103,2018
"Marion County, Missouri",673290100.0,29,127,2018
"Osage County, Missouri",342594000.0,29,151,2018
"Ripley County, Missouri",224269000.0,29,181,2018
"Warren County, Missouri",903355700.0,29,219,2018
"Audrain County, Missouri",540730400.0,29,7,2018
"Christian County, Missouri",2204350200.0,29,43,2018
"Greene County, Missouri",7535517100.0,29,77,2018
"Harrison County, Missouri",174483900.0,29,81,2018
"St. Clair County, Missouri",213034100.0,29,185,2018
"Adair County, Missouri",528768800.0,29,1,2018
"Scotland County, Missouri",114347000.0,29,199,2018
"Sullivan County, Missouri",119092900.0,29,211,2018
"Clark County, Missouri",190790900.0,29,45,2018
"Jefferson County, Missouri",6337809400.0,29,99,2018
"Lewis County, Missouri",217749100.0,29,111,2018
"New Madrid County, Missouri",357703300.0,29,143,2018
"Perry County, Missouri",470875700.0,29,157,2018
"Ralls County, Missouri",264795300.0,29,173,2018
"Ray County, Missouri",615033500.0,29,177,2018
"St. Louis County, Missouri",39082647700.0,29,189,2018
"Stone County, Missouri",846592800.0,29,209,2018
"Barry County, Missouri",748271000.0,29,9,2018
"Boone County, Missouri",5113809600.0,29,19,2018
"Cedar County, Missouri",308682200.0,29,39,2018
"Crawford County, Missouri",489051600.0,29,55,2018
"Iron County, Missouri",206589200.0,29,93,2018
"Livingston County, Missouri",345419400.0,29,117,2018
"Moniteau County, Missouri",346886900.0,29,135,2018
"Oregon County, Missouri",181273800.0,29,149,2018
"Dunklin County, Missouri",597615000.0,29,69,2018
"Pettis County, Missouri",928848300.0,29,159,2018
"Ste. Genevieve County, Missouri",504649300.0,29,186,2018
"Randolph County, Missouri",484517800.0,29,175,2018
"Franklin County, Missouri",2943153300.0,29,71,2018
"Howard County, Missouri",224469100.0,29,89,2018
"Jackson County, Missouri",20314658500.0,29,95,2018
"Miller County, Missouri",571183500.0,29,131,2018
"Pulaski County, Missouri",916754000.0,29,169,2018
"Putnam County, Missouri",94251100.0,29,171,2018
"Taney County, Missouri",1189027700.0,29,213,2018
"Texas County, Missouri",475321800.0,29,215,2018
"Buchanan County, Missouri",2125825300.0,29,21,2018
"Caldwell County, Missouri",214073600.0,29,25,2018
"Callaway County, Missouri",1056772500.0,29,27,2018
"Cass County, Missouri",3248556000.0,29,37,2018
"Clinton County, Missouri",570003100.0,29,49,2018
"Cooper County, Missouri",387355500.0,29,53,2018
"Dallas County, Missouri",362642100.0,29,59,2018
"Gentry County, Missouri",137553200.0,29,75,2018
"Hickory County, Missouri",179268300.0,29,85,2018
"Lincoln County, Missouri",1326183600.0,29,113,2018
"Mississippi County, Missouri",248130500.0,29,133,2018
"Monroe County, Missouri",207288100.0,29,137,2018
"Newton County, Missouri",1536283000.0,29,145,2018
"Ozark County, Missouri",176101500.0,29,153,2018
"Pike County, Missouri",405439200.0,29,163,2018
"St. Charles County, Missouri",14241099200.0,29,183,2018
"Custer County, Montana",345891300.0,30,17,2018
"Hill County, Montana",371060300.0,30,41,2018
"Powder River County, Montana",,30,75,2018
"Park County, Montana",522922300.0,30,67,2018
"Roosevelt County, Montana",186634900.0,30,85,2018
"Blaine County, Montana",113426800.0,30,5,2018
"Liberty County, Montana",74446700.0,30,51,2018
"Richland County, Montana",359270800.0,30,83,2018
"Teton County, Montana",165040500.0,30,99,2018
"Toole County, Montana",121663900.0,30,101,2018
"Fallon County, Montana",98961800.0,30,25,2018
"Daniels County, Montana",62019800.0,30,19,2018
"Judith Basin County, Montana",56100000.0,30,45,2018
"Silver Bow County, Montana",880568400.0,30,93,2018
"Deer Lodge County, Montana",216023600.0,30,23,2018
"Jefferson County, Montana",361669000.0,30,43,2018
"McCone County, Montana",43857500.0,30,55,2018
"Wheatland County, Montana",43448600.0,30,107,2018
"Rosebud County, Montana",208922100.0,30,87,2018
"Carter County, Montana",,30,11,2018
"Dawson County, Montana",299803000.0,30,21,2018
"Broadwater County, Montana",186591500.0,30,7,2018
"Lake County, Montana",732289200.0,30,47,2018
"Pondera County, Montana",136728700.0,30,73,2018
"Yellowstone County, Montana",5138350000.0,30,111,2018
"Ravalli County, Montana",1112178300.0,30,81,2018
"Valley County, Montana",223845300.0,30,105,2018
"Fergus County, Montana",324557300.0,30,27,2018
"Mineral County, Montana",,30,61,2018
"Petroleum County, Montana",12524100.0,30,69,2018
"Sanders County, Montana",264560900.0,30,89,2018
"Flathead County, Montana",2780236700.0,30,29,2018
"Wibaux County, Montana",,30,109,2018
"Meagher County, Montana",,30,59,2018
"Carbon County, Montana",321082800.0,30,9,2018
"Phillips County, Montana",97198400.0,30,71,2018
"Adams County, Nebraska",885784900.0,31,1,2018
"Lancaster County, Nebraska",9383126400.0,31,109,2018
"Boone County, Nebraska",165801600.0,31,11,2018
"Rock County, Nebraska",46270800.0,31,149,2018
"Banner County, Nebraska",24032000.0,31,7,2018
"Sherman County, Nebraska",83212200.0,31,163,2018
"Richardson County, Nebraska",230932100.0,31,147,2018
"Howard County, Nebraska",169407300.0,31,93,2018
"Holt County, Nebraska",309843700.0,31,89,2018
"Furnas County, Nebraska",130244700.0,31,65,2018
"Gosper County, Nebraska",,31,73,2018
"Saline County, Nebraska",310551000.0,31,151,2018
"Sarpy County, Nebraska",6150483600.0,31,153,2018
"Thurston County, Nebraska",141719500.0,31,173,2018
"Washington County, Nebraska",695627900.0,31,177,2018
"Boyd County, Nebraska",57614600.0,31,15,2018
"Cherry County, Nebraska",161057900.0,31,31,2018
"Dodge County, Nebraska",1010061500.0,31,53,2018
"Fillmore County, Nebraska",179946600.0,31,59,2018
"Garden County, Nebraska",,31,69,2018
"Hooker County, Nebraska",17437800.0,31,91,2018
"Morrill County, Nebraska",123563200.0,31,123,2018
"Nemaha County, Nebraska",192969300.0,31,127,2018
"Seward County, Nebraska",523672000.0,31,159,2018
"Thomas County, Nebraska",,31,171,2018
"Dakota County, Nebraska",516587000.0,31,43,2018
"Webster County, Nebraska",93923800.0,31,181,2018
"Antelope County, Nebraska",165534300.0,31,3,2018
"Butler County, Nebraska",225917600.0,31,23,2018
"Clay County, Nebraska",170269000.0,31,35,2018
"Custer County, Nebraska",363147100.0,31,41,2018
"Gage County, Nebraska",589753100.0,31,67,2018
"Hamilton County, Nebraska",294952800.0,31,81,2018
"Kearney County, Nebraska",196521000.0,31,99,2018
"Keith County, Nebraska",232603900.0,31,101,2018
"Madison County, Nebraska",959321400.0,31,119,2018
"Perkins County, Nebraska",97029600.0,31,135,2018
"Saunders County, Nebraska",666242400.0,31,155,2018
"Wayne County, Nebraska",253183300.0,31,179,2018
"Keya Paha County, Nebraska",23730500.0,31,103,2018
"Knox County, Nebraska",232569600.0,31,107,2018
"Lincoln County, Nebraska",1061809200.0,31,111,2018
"Pierce County, Nebraska",205654000.0,31,139,2018
"Sioux County, Nebraska",34690500.0,31,165,2018
"Cass County, Nebraska",852796900.0,31,25,2018
"Dixon County, Nebraska",155082100.0,31,51,2018
"Dundy County, Nebraska",51631100.0,31,57,2018
"Greeley County, Nebraska",62165100.0,31,77,2018
"Hall County, Nebraska",1625441100.0,31,79,2018
"Otoe County, Nebraska",454499700.0,31,131,2018
"Red Willow County, Nebraska",270822200.0,31,145,2018
"Dawes County, Nebraska",220352000.0,31,45,2018
"Cheyenne County, Nebraska",316465100.0,31,33,2018
"Dawson County, Nebraska",612658400.0,31,47,2018
"Valley County, Nebraska",124708200.0,31,175,2018
"McPherson County, Nebraska",12077700.0,31,117,2018
"Nance County, Nebraska",103844100.0,31,125,2018
"Stanton County, Nebraska",184132800.0,31,167,2018
"Harlan County, Nebraska",95337100.0,31,83,2018
"Blaine County, Nebraska",,31,9,2018
"Buffalo County, Nebraska",1436951500.0,31,19,2018
"Deuel County, Nebraska",50932800.0,31,49,2018
"Hitchcock County, Nebraska",72698200.0,31,87,2018
"Platte County, Nebraska",978065800.0,31,141,2018
"Thayer County, Nebraska",146715100.0,31,169,2018
"Box Butte County, Nebraska",322283100.0,31,13,2018
"Churchill County, Nevada",641667100.0,32,1,2018
"Douglas County, Nevada",1720429500.0,32,5,2018
"Pershing County, Nevada",116642700.0,32,27,2018
"Esmeralda County, Nevada",22711000.0,32,9,2018
"Humboldt County, Nevada",495297400.0,32,13,2018
"Mineral County, Nevada",,32,21,2018
"White Pine County, Nevada",252060600.0,32,33,2018
"Elko County, Nevada",1581170900.0,32,7,2018
"Lincoln County, Nevada",123655100.0,32,17,2018
"Nye County, Nevada",1047284500.0,32,23,2018
"Storey County, Nevada",134375900.0,32,29,2018
"Washoe County, Nevada",14748144200.0,32,31,2018
"Clark County, Nevada",58988418300.0,32,3,2018
"Carson City, Nevada",1591981600.0,32,510,2018
"Lyon County, Nevada",1381843500.0,32,19,2018
"Cheshire County, New Hampshire",2518142600.0,33,5,2018
"Merrimack County, New Hampshire",5288136400.0,33,13,2018
"Grafton County, New Hampshire",3104844300.0,33,9,2018
"Rockingham County, New Hampshire",13634829900.0,33,15,2018
"Belknap County, New Hampshire",2104800000.0,33,1,2018
"Sullivan County, New Hampshire",1319433300.0,33,19,2018
"Hillsborough County, New Hampshire",15864752500.0,33,11,2018
"Strafford County, New Hampshire",4264428600.0,33,17,2018
"Coos County, New Hampshire",843649600.0,33,7,2018
"Carroll County, New Hampshire",1686982400.0,33,3,2018
"Monmouth County, New Jersey",30089488900.0,34,25,2018
"Sussex County, New Jersey",5954184700.0,34,37,2018
"Cumberland County, New Jersey",3450364400.0,34,11,2018
"Essex County, New Jersey",28112349800.0,34,13,2018
"Ocean County, New Jersey",20300057400.0,34,29,2018
"Gloucester County, New Jersey",10701846300.0,34,15,2018
"Salem County, New Jersey",1987289300.0,34,33,2018
"Passaic County, New Jersey",14678346600.0,34,31,2018
"Camden County, New Jersey",16767876100.0,34,7,2018
"Bergen County, New Jersey",44307354700.0,34,3,2018
"Warren County, New Jersey",4015280600.0,34,41,2018
"Hudson County, New Jersey",24928950300.0,34,17,2018
"Burlington County, New Jersey",18120566200.0,34,5,2018
"Morris County, New Jersey",27200218500.0,34,27,2018
"Rio Arriba County, New Mexico",,35,39,2018
"San Miguel County, New Mexico",519759700.0,35,47,2018
"Torrance County, New Mexico",286347400.0,35,57,2018
"Otero County, New Mexico",1319527600.0,35,35,2018
"Cibola County, New Mexico",445094500.0,35,6,2018
"Guadalupe County, New Mexico",56589200.0,35,19,2018
"Catron County, New Mexico",66397600.0,35,3,2018
"Grant County, New Mexico",673294800.0,35,17,2018
"Luna County, New Mexico",369914200.0,35,29,2018
"McKinley County, New Mexico",986751800.0,35,31,2018
"Taos County, New Mexico",649250900.0,35,55,2018
"Colfax County, New Mexico",270338200.0,35,7,2018
"Eddy County, New Mexico",1619673400.0,35,15,2018
"Mora County, New Mexico",,35,33,2018
"Quay County, New Mexico",131489500.0,35,37,2018
"Lincoln County, New Mexico",486240900.0,35,27,2018
"Lea County, New Mexico",1632571700.0,35,25,2018
"Santa Fe County, New Mexico",5274595700.0,35,49,2018
"Sierra County, New Mexico",276354300.0,35,51,2018
"Socorro County, New Mexico",227634500.0,35,53,2018
