NAME,B19113A_001E,state,county,year,B19113B_001E,B19113C_001E,B19113D_001E,B19113E_001E,B19113F_001E,B19113G_001E,B19113H_001E
"Cape Girardeau County, Missouri",69189.0,29,31,2018,41418.0,41146.0,62153.0,,,35208.0,69221.0
"Shelby County, Missouri",59070.0,29,205,2018,,,,,,,59651.0
"Webster County, Missouri",55050.0,29,225,2018,92688.0,63792.0,113625.0,,,57885.0,55007.0
"Atchison County, Missouri",64259.0,29,5,2018,,,,,,,63241.0
"Bates County, Missouri",61583.0,29,13,2018,48182.0,,,,,,61697.0
"Benton County, Missouri",47028.0,29,15,2018,,,,,,,47328.0
"Carter County, Missouri",56934.0,29,35,2018,,,,,,27632.0,56934.0
"Dade County, Missouri",45149.0,29,57,2018,,,,,,,45522.0
"Linn County, Missouri",51424.0,29,115,2018,,,250001.0,,,,51978.0
"Howell County, Missouri",44395.0,29,91,2018,,77977.0,,,,60833.0,44534.0
"Johnson County, Missouri",68738.0,29,101,2018,56818.0,58368.0,51169.0,,,42243.0,68971.0
"Laclede County, Missouri",54644.0,29,105,2018,,,,,,24415.0,54512.0
"Maries County, Missouri",57234.0,29,125,2018,,,,,,,57536.0
"Phelps County, Missouri",60541.0,29,161,2018,2499.0,93558.0,,,,,60273.0
"Platte County, Missouri",97148.0,29,165,2018,61283.0,125139.0,83286.0,,76081.0,71913.0,98730.0
"St. Francois County, Missouri",57638.0,29,187,2018,,,,,,68000.0,57318.0
"Andrew County, Missouri",70886.0,29,3,2018,,,,,,,71636.0
"Carroll County, Missouri",58629.0,29,33,2018,,,,,,,58653.0
"Daviess County, Missouri",59591.0,29,61,2018,,,,,,50625.0,59567.0
"Knox County, Missouri",54323.0,29,103,2018,,,,,,,54323.0
"Marion County, Missouri",59415.0,29,127,2018,26532.0,,152742.0,,,,59131.0
"Osage County, Missouri",70796.0,29,151,2018,,,,,,,70708.0
"Ripley County, Missouri",41854.0,29,181,2018,,,,,,,42044.0
"Warren County, Missouri",70318.0,29,219,2018,18736.0,,,,,,70252.0
"Audrain County, Missouri",54345.0,29,7,2018,51750.0,77857.0,,,85526.0,108098.0,54881.0
"Christian County, Missouri",67061.0,29,43,2018,29816.0,33750.0,50655.0,,,58966.0,67245.0
"Greene County, Missouri",61409.0,29,77,2018,40234.0,48088.0,48125.0,,40213.0,40679.0,61634.0
"Harrison County, Missouri",53941.0,29,81,2018,,,,,,21513.0,54640.0
"St. Clair County, Missouri",51155.0,29,185,2018,,45417.0,,,,,51040.0
"Adair County, Missouri",62881.0,29,1,2018,2499.0,,80855.0,,,,62946.0
"Scotland County, Missouri",62031.0,29,199,2018,,,,,,,62031.0
"Sullivan County, Missouri",51859.0,29,211,2018,,38750.0,,,82778.0,,52591.0
"Clark County, Missouri",60417.0,29,45,2018,,,,,,,60417.0
"Jefferson County, Missouri",72145.0,29,99,2018,,62344.0,110000.0,,2499.0,50893.0,72194.0
"Lewis County, Missouri",58672.0,29,111,2018,90179.0,,,,,,58145.0
"New Madrid County, Missouri",49589.0,29,143,2018,27381.0,,,,,,50615.0
"Perry County, Missouri",66242.0,29,157,2018,,,79239.0,,,43571.0,66794.0
"Ralls County, Missouri",65324.0,29,173,2018,70000.0,,,,,,65247.0
"Ray County, Missouri",73425.0,29,177,2018,,,,,,44083.0,73338.0
"St. Louis County, Missouri",100543.0,29,189,2018,49425.0,54792.0,111526.0,160917.0,44125.0,60625.0,100955.0
"Stone County, Missouri",56643.0,29,209,2018,,56250.0,,,46830.0,,56700.0
"Barry County, Missouri",51754.0,29,9,2018,,37695.0,68393.0,,62712.0,,52039.0
"Boone County, Missouri",81724.0,29,19,2018,41661.0,62674.0,75385.0,,,46302.0,82584.0
"Cedar County, Missouri",47784.0,29,39,2018,,,,,,29808.0,48341.0
"Crawford County, Missouri",49955.0,29,55,2018,,,,,,,50221.0
"Iron County, Missouri",48671.0,29,93,2018,37500.0,30625.0,,,,,49425.0
"Livingston County, Missouri",60307.0,29,117,2018,,,,,,,60543.0
"Moniteau County, Missouri",65096.0,29,135,2018,,,,,,51136.0,65865.0
"Oregon County, Missouri",42663.0,29,149,2018,,,,,,,42598.0
"Dunklin County, Missouri",46380.0,29,69,2018,32806.0,,,,14609.0,32361.0,46865.0
"Pettis County, Missouri",54473.0,29,159,2018,32008.0,,,,52526.0,53490.0,55651.0
"Ste. Genevieve County, Missouri",69344.0,29,186,2018,,,,,,,69250.0
"Randolph County, Missouri",61444.0,29,175,2018,100653.0,,,,,39286.0,61585.0
"Franklin County, Missouri",68629.0,29,71,2018,,,,,,41250.0,68690.0
"Howard County, Missouri",62440.0,29,89,2018,50875.0,,,,,,62173.0
"Jackson County, Missouri",78952.0,29,95,2018,43614.0,57235.0,51283.0,64665.0,33212.0,60659.0,80311.0
"Miller County, Missouri",53669.0,29,131,2018,,23367.0,,,,37727.0,53500.0
"Pulaski County, Missouri",61720.0,29,169,2018,55337.0,48378.0,120434.0,,55383.0,91875.0,61293.0
"Putnam County, Missouri",49250.0,29,171,2018,,,,,,,49281.0
"Taney County, Missouri",51355.0,29,213,2018,,58822.0,71250.0,,32466.0,32778.0,51758.0
"Texas County, Missouri",47405.0,29,215,2018,,,,,,,46902.0
"Buchanan County, Missouri",62645.0,29,21,2018,62477.0,23792.0,,,73326.0,49519.0,62852.0
"Caldwell County, Missouri",58412.0,29,25,2018,,,,,,48125.0,58103.0
"Callaway County, Missouri",69172.0,29,27,2018,40511.0,64583.0,,,,47899.0,69544.0
"Cass County, Missouri",78305.0,29,37,2018,98611.0,83021.0,95329.0,,96696.0,52000.0,78580.0
"Clinton County, Missouri",67132.0,29,49,2018,63750.0,51250.0,,,,85625.0,67297.0
"Cooper County, Missouri",63939.0,29,53,2018,76818.0,,,,24583.0,,63914.0
"Dallas County, Missouri",52973.0,29,59,2018,,,,,,30750.0,52973.0
"Gentry County, Missouri",55359.0,29,75,2018,,,,,,,55359.0
"Hickory County, Missouri",47033.0,29,85,2018,,,,,,48553.0,46967.0
"Lincoln County, Missouri",71495.0,29,113,2018,64261.0,,,,,108036.0,71079.0
"Mississippi County, Missouri",45528.0,29,133,2018,19412.0,,,,,,45521.0
"Monroe County, Missouri",55592.0,29,137,2018,60556.0,,51250.0,,,,57171.0
"Newton County, Missouri",60660.0,29,145,2018,,63681.0,49770.0,56486.0,,50385.0,61382.0
"Ozark County, Missouri",41573.0,29,153,2018,,,,,,33661.0,42392.0
"Pike County, Missouri",59002.0,29,163,2018,32895.0,,,,,,59160.0
"St. Charles County, Missouri",96803.0,29,183,2018,82054.0,81250.0,111445.0,,42583.0,94740.0,97263.0
"Custer County, Montana",75530.0,30,17,2018,,81250.0,,,,36938.0,75127.0
